"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51179","0","10","70","0","2000","A","","Stafford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1418,24247,650454298,0,0,516,26827,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",44,3.2,1920,8.6,83034918,14.6,0,0.0,0,0.0,27,5.5,1413,5.6
"51179","1","10","71","0","2000","A","","Stafford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,156,5403415,0,0,665,34600,"",0.89,0.29,0.29,0.00,0.00,0.98,0.99,"",0,0.0,5,3.3,366072,7.3,0,0.0,0,0.0,23,3.6,1203,3.6
"51179","1","102","72","0","2000","A","","Stafford County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,156,5403415,0,0,665,34600,"",0.89,0.30,0.29,0.00,0.00,0.99,0.99,"",0,0.0,5,3.3,366072,7.3,0,0.0,0,0.0,23,3.6,1203,3.6
"51179","1","1021","73","0","2000","A","","Stafford County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.87,0.48,0.54,0.00,0.00,1.14,1.14,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","1026","73","0","2000","A","","Stafford County, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,66,2029098,0,0,591,30744,"",5.20,6.38,10.31,0.00,0.00,1.61,1.62,"",0,0.0,4,6.5,37721,1.9,0,0.0,0,0.0,-28,-4.5,-1418,-4.4
"51179","1","1028","73","0","2000","A","","Stafford County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,4,223572,0,0,1200,62392,"",0.84,0.01,0.02,0.00,0.00,1.66,1.67,"",0,0.0,0,0.0,-60467,-21.3,0,0.0,0,0.0,-61,-4.8,-3155,-4.8
"51179","1","48-49","74","0","2000","A","","Stafford County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.90,0.51,0.57,0.00,0.00,1.11,1.11,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","491","75","0","2000","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.92,0.53,0.60,0.00,0.00,1.14,1.14,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","4911","76","0","2000","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.92,0.53,0.60,0.00,0.00,1.14,1.14,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","49111","77","0","2000","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.92,0.53,0.60,0.00,0.00,1.14,1.14,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","491110","78","0","2000","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,87,3150745,0,0,700,36390,"",0.92,0.53,0.60,0.00,0.00,1.14,1.14,"",0,0.0,2,2.4,388818,14.1,0,0.0,0,0.0,72,11.5,3737,11.4
"51179","1","71","74","0","2000","A","","Stafford County, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,66,2029098,0,0,591,30744,"",7.17,9.02,12.57,0.00,0.00,1.39,1.39,"",0,0.0,4,6.5,37721,1.9,0,0.0,0,0.0,-28,-4.5,-1418,-4.4
