"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51181","0","10","70","0","2000","A","","Surry County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",110,1891,87419625,0,0,889,46229,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,4.8,-71,-3.6,2872346,3.4,0,0.0,0,0.0,60,7.2,3135,7.3
"51181","1","10","71","0","2000","A","","Surry County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,500988,0,0,464,24144,"",8.58,0.50,0.20,0.00,0.00,0.40,0.40,"",0,0.0,5,31.2,87007,21.0,0,0.0,0,0.0,-26,-5.3,-1332,-5.2
"51181","1","102","72","0","2000","A","","Surry County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,500988,0,0,464,24144,"",8.60,0.51,0.20,0.00,0.00,0.40,0.40,"",0,0.0,5,31.2,87007,21.0,0,0.0,0,0.0,-26,-5.3,-1332,-5.2
"51181","1","1021","73","0","2000","A","","Surry County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",14.96,1.26,0.57,0.00,0.00,0.46,0.46,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","1028","73","0","2000","A","","Surry County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,55902,0,0,339,17653,"",5.43,0.14,0.04,0.00,0.00,0.27,0.27,"",0,0.0,3,100.0,55902,100.0,0,0.0,0,0.0,339,100.0,17653,100.0
"51181","1","48-49","74","0","2000","A","","Surry County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",15.45,1.36,0.60,0.00,0.00,0.45,0.45,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","491","75","0","2000","A","","Surry County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",15.73,1.41,0.63,0.00,0.00,0.46,0.46,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","4911","76","0","2000","A","","Surry County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",15.73,1.41,0.63,0.00,0.00,0.46,0.46,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","49111","77","0","2000","A","","Surry County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",15.73,1.41,0.63,0.00,0.00,0.46,0.46,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","491110","78","0","2000","A","","Surry County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,18,445086,0,0,487,25313,"",15.73,1.41,0.63,0.00,0.00,0.46,0.46,"",0,0.0,2,12.5,31105,7.5,0,0.0,0,0.0,-3,-0.6,-163,-0.6
"51181","1","92","74","0","2000","A","","Surry County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,55902,0,0,339,17653,"",5.43,0.14,0.04,0.00,0.00,0.27,0.27,"",0,0.0,3,100.0,55902,100.0,0,0.0,0,0.0,339,100.0,17653,100.0
"51181","2","10","71","0","2000","A","","Surry County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,44,921208,0,0,406,21137,"",9.92,0.69,0.30,0.00,0.00,0.44,0.44,"",0,0.0,-1,-2.2,135290,17.2,0,0.0,0,0.0,66,19.4,3476,19.7
"51181","2","102","72","0","2000","A","","Surry County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,44,921208,0,0,406,21137,"",10.22,0.71,0.31,0.00,0.00,0.44,0.44,"",0,0.0,-1,-2.2,135290,17.2,0,0.0,0,0.0,66,19.4,3476,19.7
"51181","3","10","71","0","2000","A","","Surry County, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,404,10205433,0,0,485,25245,"",3.05,2.20,1.31,0.00,0.00,0.59,0.60,"",0,0.0,2,0.5,550178,5.7,0,0.0,0,0.0,23,5.0,1237,5.2
