"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51683","0","10","70","0","2000","A","","Manassas City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1226,19870,698861677,0,0,676,35172,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",10,0.8,-150,-0.7,-27612655,-3.8,0,0.0,0,0.0,-22,-3.2,-1115,-3.1
"51683","1","10","71","0","2000","A","","Manassas City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,792,29507681,0,0,716,37238,"",1.80,1.81,1.46,0.00,0.00,0.81,0.81,"",1,7.7,291,58.1,7406666,33.5,0,0.0,0,0.0,-132,-15.6,-6854,-15.5
"51683","1","102","72","0","2000","A","","Manassas City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,792,29507681,0,0,716,37238,"",1.80,1.84,1.49,0.00,0.00,0.81,0.81,"",1,7.7,291,58.1,7406666,33.5,0,0.0,0,0.0,-132,-15.6,-6854,-15.5
"51683","1","1021","73","0","2000","A","","Manassas City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,189,8298471,0,0,846,44004,"",0.67,1.26,1.33,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,597259,7.8,0,0.0,0,0.0,59,7.5,3076,7.5
"51683","1","1026","73","0","2000","A","","Manassas City, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,43,1218579,0,0,545,28339,"",6.01,5.07,5.77,0.00,0.00,1.14,1.14,"",0,0.0,4,10.3,37961,3.2,0,0.0,0,0.0,-40,-6.8,-2063,-6.8
"51683","1","1028","73","0","2000","A","","Manassas City, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,561,19990631,0,0,685,35645,"",2.68,2.52,1.83,0.00,0.00,0.73,0.73,"",1,10.0,287,104.7,6771446,51.2,0,0.0,0,0.0,-242,-26.1,-12556,-26.0
"51683","1","48-49","74","0","2000","A","","Manassas City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,189,8298471,0,0,846,44004,"",0.69,1.36,1.39,0.00,0.00,1.03,1.03,"",0,0.0,1,0.5,597259,7.8,0,0.0,0,0.0,59,7.5,3076,7.5
"51683","1","491","75","0","2000","A","","Manassas City, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,189,8298471,0,0,846,44004,"",0.71,1.40,1.47,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,597259,7.8,0,0.0,0,0.0,59,7.5,3076,7.5
"51683","1","4911","76","0","2000","A","","Manassas City, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,189,8298471,0,0,846,44004,"",0.71,1.40,1.47,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,597259,7.8,0,0.0,0,0.0,59,7.5,3076,7.5
"51683","1","49111","77","0","2000","A","","Manassas City, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,189,8298471,0,0,846,44004,"",0.71,1.40,1.47,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,597259,7.8,0,0.0,0,0.0,59,7.5,3076,7.5
