"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51775","0","10","70","0","2000","A","","Salem City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",946,25060,785983741,0,0,603,31364,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-0.8,-523,-2.0,24327473,3.2,0,0.0,0,0.0,30,5.2,1592,5.3
"51775","1","10","71","0","2000","A","","Salem City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,1942,82834160,0,0,820,42650,"",1.16,3.51,3.65,0.00,0.00,1.04,1.04,"",0,0.0,27,1.4,-1040424,-1.2,0,0.0,0,0.0,-22,-2.6,-1154,-2.6
"51775","1","102","72","0","2000","A","","Salem City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,1942,82834160,0,0,820,42650,"",1.17,3.57,3.72,0.00,0.00,1.04,1.04,"",0,0.0,27,1.4,-1040424,-1.2,0,0.0,0,0.0,-22,-2.6,-1154,-2.6
"51775","1","1021","73","0","2000","A","","Salem City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.87,2.22,1.21,0.00,0.00,0.55,0.55,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","1025","73","0","2000","A","","Salem City, Virginia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",15.03,31.84,37.42,0.00,0.00,1.17,1.18,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","1028","73","0","2000","A","","Salem City, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,26,887708,0,0,665,34586,"",1.26,0.09,0.07,0.00,0.00,0.79,0.79,"",0,0.0,13,100.0,328036,58.6,0,0.0,0,0.0,-137,-17.1,-7129,-17.1
"51775","1","48-49","74","0","2000","A","","Salem City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.90,2.39,1.27,0.00,0.00,0.53,0.53,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","491","75","0","2000","A","","Salem City, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.91,2.47,1.34,0.00,0.00,0.54,0.54,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","4911","76","0","2000","A","","Salem City, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.91,2.47,1.34,0.00,0.00,0.54,0.54,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","49111","77","0","2000","A","","Salem City, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.91,2.47,1.34,0.00,0.00,0.54,0.54,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","491110","78","0","2000","A","","Salem City, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,419,8505984,0,0,391,20313,"",0.91,2.47,1.34,0.00,0.00,0.54,0.54,"",0,0.0,43,11.4,922813,12.2,0,0.0,0,0.0,3,0.8,158,0.8
"51775","1","62","74","0","2000","A","","Salem City, Virginia","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",17.15,32.76,38.34,0.00,0.00,1.17,1.17,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","622","75","0","2000","A","","Salem City, Virginia","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",34.67,34.34,39.48,0.00,0.00,1.15,1.15,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","6221","76","0","2000","A","","Salem City, Virginia","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",37.13,35.30,40.58,0.00,0.00,1.15,1.15,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","62211","77","0","2000","A","","Salem City, Virginia","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",37.13,35.30,40.58,0.00,0.00,1.15,1.15,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","622110","78","0","2000","A","","Salem City, Virginia","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1498,73440468,0,0,943,49034,"",37.13,35.30,40.58,0.00,0.00,1.15,1.15,"",0,0.0,-27,-1.8,-2291273,-3.0,0,0.0,0,0.0,-12,-1.3,-623,-1.3
"51775","1","92","74","0","2000","A","","Salem City, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,26,887708,0,0,665,34586,"",1.26,0.09,0.07,0.00,0.00,0.79,0.79,"",0,0.0,13,100.0,328036,58.6,0,0.0,0,0.0,-137,-17.1,-7129,-17.1
"51775","1","922","75","0","2000","A","","Salem City, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",2.80,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"51775","1","9221","76","0","2000","A","","Salem City, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",2.80,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"51775","1","92219","77","0","2000","A","","Salem City, Virginia","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.69,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"51775","1","922190","78","0","2000","A","","Salem City, Virginia","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.69,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"51775","1","926","75","0","2000","A","","Salem City, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,426638,0,0,547,28443,"",1.57,0.28,0.21,0.00,0.00,0.76,0.76,"",0,0.0,12,400.0,260080,156.1,0,0.0,0,0.0,-583,-51.6,-30342,-51.6
"51775","1","9261","76","0","2000","A","","Salem City, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,426638,0,0,547,28443,"",1.57,0.28,0.21,0.00,0.00,0.76,0.76,"",0,0.0,12,400.0,260080,156.1,0,0.0,0,0.0,-583,-51.6,-30342,-51.6
"51775","1","92614","77","0","2000","A","","Salem City, Virginia","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,253927,0,0,1221,63482,"",2.02,0.40,0.60,0.00,0.00,1.51,1.51,"",0,0.0,1,33.3,88897,53.9,0,0.0,0,0.0,67,5.8,3471,5.8
