"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53023","0","10","70","0","2000","A","","Garfield County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",158,847,21059232,0,0,478,24878,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,76,9.9,3632073,20.8,0,0.0,0,0.0,44,10.1,2287,10.1
"53023","1","10","71","0","2000","A","","Garfield County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,130,4958133,0,0,734,38164,"",8.96,6.95,8.15,0.00,0.00,1.17,1.17,"",-1,-10.0,7,5.7,307176,6.6,0,0.0,0,0.0,4,0.5,197,0.5
"53023","1","102","72","0","2000","A","","Garfield County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,130,4958133,0,0,734,38164,"",8.98,7.08,8.32,0.00,0.00,1.18,1.17,"",-1,-10.0,7,5.7,307176,6.6,0,0.0,0,0.0,4,0.5,197,0.5
"53023","1","1021","73","0","2000","A","","Garfield County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",7.81,2.35,2.22,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","1024","73","0","2000","A","","Garfield County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",31.13,120.10,171.84,0.00,0.00,1.45,1.45,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","1028","73","0","2000","A","","Garfield County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,70,2222467,0,0,608,31599,"",9.46,7.39,6.76,0.00,0.00,0.91,0.91,"",-1,-16.7,8,12.9,260090,13.3,0,0.0,0,0.0,-2,-0.3,-138,-0.4
"53023","1","48-49","74","0","2000","A","","Garfield County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",8.07,2.54,2.33,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","491","75","0","2000","A","","Garfield County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",8.21,2.61,2.46,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","4911","76","0","2000","A","","Garfield County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",8.21,2.61,2.46,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","49111","77","0","2000","A","","Garfield County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",8.21,2.61,2.46,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","491110","78","0","2000","A","","Garfield County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,15,416956,0,0,532,27643,"",8.21,2.61,2.46,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,19800,5.0,0,0.0,0,0.0,17,3.3,868,3.2
"53023","1","54","74","0","2000","A","","Garfield County, Washington","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",32.63,123.94,173.60,0.00,0.00,1.42,1.42,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","541","75","0","2000","A","","Garfield County, Washington","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",32.63,123.94,173.60,0.00,0.00,1.42,1.42,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","5413","76","0","2000","A","","Garfield County, Washington","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",53.90,192.00,278.18,0.00,0.00,1.46,1.46,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","54133","77","0","2000","A","","Garfield County, Washington","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",54.67,204.01,294.11,0.00,0.00,1.46,1.46,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","541330","78","0","2000","A","","Garfield County, Washington","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,45,2318710,0,0,1002,52106,"",54.67,204.01,294.11,0.00,0.00,1.46,1.46,"",0,0.0,-1,-2.2,27286,1.2,0,0.0,0,0.0,41,4.3,2111,4.2
"53023","1","92","74","0","2000","A","","Garfield County, Washington","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,70,2222467,0,0,608,31599,"",9.46,7.39,6.76,0.00,0.00,0.91,0.91,"",-1,-16.7,8,12.9,260090,13.3,0,0.0,0,0.0,-2,-0.3,-138,-0.4
"53023","1","924","75","0","2000","A","","Garfield County, Washington","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,56,1835652,0,0,631,32828,"",8.31,76.77,77.08,0.00,0.00,1.00,1.00,"",-1,-50.0,5,9.8,140393,8.3,0,0.0,0,0.0,-3,-0.5,-143,-0.4
"53023","1","9241","76","0","2000","A","","Garfield County, Washington","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,56,1835652,0,0,631,32828,"",8.31,76.77,77.08,0.00,0.00,1.00,1.00,"",-1,-50.0,5,9.8,140393,8.3,0,0.0,0,0.0,-3,-0.5,-143,-0.4
"53023","1","92412","77","0","2000","A","","Garfield County, Washington","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,56,1835652,0,0,631,32828,"",8.47,90.93,98.70,0.00,0.00,1.09,1.09,"",-1,-50.0,5,9.8,140393,8.3,0,0.0,0,0.0,-3,-0.5,-143,-0.4
"53023","1","924120","78","0","2000","A","","Garfield County, Washington","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,56,1835652,0,0,631,32828,"",8.47,90.93,98.70,0.00,0.00,1.09,1.09,"",-1,-50.0,5,9.8,140393,8.3,0,0.0,0,0.0,-3,-0.5,-143,-0.4
"53023","1","926","75","0","2000","A","","Garfield County, Washington","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,386815,0,0,516,26831,"",18.83,7.68,7.14,0.00,0.00,0.90,0.90,"",0,0.0,4,40.0,119697,44.8,0,0.0,0,0.0,23,4.7,1188,4.6
"53023","1","9261","76","0","2000","A","","Garfield County, Washington","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,386815,0,0,516,26831,"",18.83,7.68,7.14,0.00,0.00,0.90,0.90,"",0,0.0,4,40.0,119697,44.8,0,0.0,0,0.0,23,4.7,1188,4.6
"53023","1","92614","77","0","2000","A","","Garfield County, Washington","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,311292,0,0,513,26682,"",36.32,35.13,27.36,0.00,0.00,0.80,0.80,"",0,0.0,2,20.0,48590,18.5,0,0.0,0,0.0,16,3.2,842,3.3
"53023","1","926140","78","0","2000","A","","Garfield County, Washington","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,311292,0,0,513,26682,"",36.32,35.13,27.36,0.00,0.00,0.80,0.80,"",0,0.0,2,20.0,48590,18.5,0,0.0,0,0.0,16,3.2,842,3.3
"53023","2","10","71","0","2000","A","","Garfield County, Washington","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,19,614937,0,0,609,31671,"",4.61,0.67,0.84,0.00,0.00,1.24,1.24,"",0,0.0,-2,-9.5,-11814,-1.9,0,0.0,0,0.0,37,6.5,1944,6.5
"53023","2","102","72","0","2000","A","","Garfield County, Washington","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,19,614937,0,0,609,31671,"",4.74,0.68,0.86,0.00,0.00,1.24,1.24,"",0,0.0,-2,-9.5,-11814,-1.9,0,0.0,0,0.0,37,6.5,1944,6.5
"53023","3","10","71","0","2000","A","","Garfield County, Washington","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,321,7947644,0,0,476,24772,"",2.83,3.90,4.24,0.00,0.00,1.09,1.09,"",0,0.0,68,26.9,2703238,51.5,0,0.0,0,0.0,77,19.3,4036,19.5
"53023","3","102","72","0","2000","A","","Garfield County, Washington","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,321,7947644,0,0,476,24772,"",2.92,3.93,4.28,0.00,0.00,1.09,1.09,"",0,0.0,68,26.9,2703238,51.5,0,0.0,0,0.0,77,19.3,4036,19.5
"53023","5","10","71","0","2000","A","","Garfield County, Washington","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",134,376,7538518,0,0,385,20031,"",0.88,0.52,0.42,0.00,0.00,0.80,0.80,"",-1,-0.7,1,0.3,633473,9.2,0,0.0,0,0.0,31,8.8,1613,8.8
"53023","5","101","72","0","2000","A","","Garfield County, Washington","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",71,68,1103342,0,0,314,16306,"",2.71,0.41,0.23,0.00,0.00,0.57,0.57,"",-7,-9.0,-11,-13.9,-127272,-10.3,0,0.0,0,0.0,15,5.0,778,5.0
"53023","5","1011","73","0","2000","A","","Garfield County, Washington","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",64,55,898727,0,0,317,16490,"",24.72,4.94,3.70,0.00,0.00,0.76,0.76,"",-6,-8.6,-5,-8.3,-7171,-0.8,0,0.0,0,0.0,25,8.6,1329,8.8
"53023","5","102","72","0","2000","A","","Garfield County, Washington","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",63,309,6435176,0,0,401,20848,"",0.50,0.56,0.49,0.00,0.00,0.88,0.88,"",6,10.5,13,4.4,760745,13.4,0,0.0,0,0.0,32,8.7,1656,8.6
"53023","5","1021","73","0","2000","A","","Garfield County, Washington","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,209,4877948,0,0,450,23395,"",0.70,1.24,1.33,0.00,0.00,1.08,1.07,"",4,18.2,23,12.4,728526,17.6,0,0.0,0,0.0,20,4.7,1036,4.6
"53023","5","11","74","0","2000","A","","Garfield County, Washington","Private","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",64,55,898727,0,0,317,16490,"",30.84,7.06,8.44,0.00,0.00,1.20,1.21,"",-6,-8.6,-5,-8.3,-7171,-0.8,0,0.0,0,0.0,25,8.6,1329,8.8
"53023","5","1111","76","0","2000","A","","Garfield County, Washington","Private","Oilseed and grain farming","County, NAICS 4-digit -- by ownership sector","All establishment sizes",60,52,885734,0,0,329,17088,"",491.68,287.42,309.15,0.00,0.00,1.08,1.08,"",-5,-7.7,-4,-7.1,-7286,-0.8,0,0.0,0,0.0,24,7.9,1236,7.8
"53023","5","42","74","0","2000","A","","Garfield County, Washington","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",8,132,3543849,0,0,518,26915,"",0.70,3.53,2.79,0.00,0.00,0.79,0.79,"",0,0.0,-2,-1.5,231852,7.0,0,0.0,0,0.0,42,8.8,2152,8.7
