"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54057","0","10","70","0","2000","A","","Mineral County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",499,6632,153153546,0,0,444,23095,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-6,-1.2,473,7.7,13450613,9.6,0,0.0,0,0.0,8,1.8,413,1.8
"54057","1","10","71","0","2000","A","","Mineral County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,85,2538137,0,0,576,29978,"",4.41,0.58,0.57,0.00,0.00,0.99,0.99,"",0,0.0,12,16.4,360475,16.6,0,0.0,0,0.0,1,0.2,79,0.3
"54057","1","102","72","0","2000","A","","Mineral County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,85,2538137,0,0,576,29978,"",4.43,0.59,0.59,0.00,0.00,0.99,0.99,"",0,0.0,12,16.4,360475,16.6,0,0.0,0,0.0,1,0.2,79,0.3
"54057","1","1021","73","0","2000","A","","Mineral County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,55,1790597,0,0,630,32755,"",6.59,1.10,1.31,0.00,0.00,1.20,1.20,"",0,0.0,-1,-1.8,105921,6.3,0,0.0,0,0.0,49,8.4,2537,8.4
"54057","1","1024","73","0","2000","A","","Mineral County, West Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,369016,0,0,681,35426,"",9.86,3.41,3.76,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,37689,11.4,0,0.0,0,0.0,64,10.4,3362,10.5
"54057","1","1028","73","0","2000","A","","Mineral County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,20,378524,0,0,372,19329,"",3.59,0.27,0.16,0.00,0.00,0.60,0.60,"",1,20.0,13,185.7,216865,134.1,0,0.0,0,0.0,-89,-19.3,-4620,-19.3
"54057","1","48-49","74","0","2000","A","","Mineral County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,55,1790597,0,0,630,32755,"",6.81,1.19,1.37,0.00,0.00,1.16,1.16,"",0,0.0,-1,-1.8,105921,6.3,0,0.0,0,0.0,49,8.4,2537,8.4
"54057","1","491","75","0","2000","A","","Mineral County, West Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,55,1790597,0,0,630,32755,"",6.94,1.22,1.45,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.8,105921,6.3,0,0.0,0,0.0,49,8.4,2537,8.4
"54057","1","4911","76","0","2000","A","","Mineral County, West Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,55,1790597,0,0,630,32755,"",6.94,1.22,1.45,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.8,105921,6.3,0,0.0,0,0.0,49,8.4,2537,8.4
"54057","1","49111","77","0","2000","A","","Mineral County, West Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,55,1790597,0,0,630,32755,"",6.94,1.22,1.45,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.8,105921,6.3,0,0.0,0,0.0,49,8.4,2537,8.4
