"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55000","0","10","50","0","2000","A","","Wisconsin -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",144921,2732587,84082647353,0,0,592,30770,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",801,0.6,43768,1.6,4396131262,5.5,0,0.0,0,0.0,22,3.9,1134,3.8
"55000","1","10","51","0","2000","A","","Wisconsin -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1234,32168,1291851056,0,0,772,40159,"",1.34,0.53,0.53,0.00,0.00,1.00,1.00,"",35,2.9,2079,6.9,105578654,8.9,0,0.0,0,0.0,14,1.8,733,1.9
"55000","1","102","52","0","2000","A","","Wisconsin -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1234,32168,1291851056,0,0,772,40159,"",1.34,0.54,0.54,0.00,0.00,1.00,1.00,"",35,2.9,2079,6.9,105578654,8.9,0,0.0,0,0.0,14,1.8,733,1.9
"55000","1","1021","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",686,16072,640831262,0,0,767,39873,"",1.95,0.78,0.85,0.00,0.00,1.09,1.09,"",7,1.0,-162,-1.0,23175965,3.8,0,0.0,0,0.0,35,4.8,1826,4.8
"55000","1","1023","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",29,201,10418373,0,0,996,51811,"",1.47,0.63,0.61,0.00,0.00,0.96,0.96,"",-1,-3.3,-8,-3.8,232889,2.3,0,0.0,0,0.0,58,6.2,3038,6.2
"55000","1","1024","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",23,408,17123927,0,0,807,41962,"",0.78,0.34,0.32,0.00,0.00,0.94,0.94,"",0,0.0,-12,-2.9,1406597,8.9,0,0.0,0,0.0,87,12.1,4547,12.2
"55000","1","1025","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",4,4198,186632944,0,0,855,44460,"",0.39,0.82,0.89,0.00,0.00,1.08,1.09,"",0,0.0,53,1.3,15527336,9.1,0,0.0,0,0.0,61,7.7,3180,7.7
"55000","1","1026","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",8,233,6371132,0,0,525,27324,"",0.41,0.20,0.25,0.00,0.00,1.25,1.25,"",0,0.0,8,3.6,1232493,24.0,0,0.0,0,0.0,85,19.3,4443,19.4
"55000","1","1028","53","0","2000","A","","Wisconsin -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",485,11057,430473418,0,0,749,38934,"",1.00,0.36,0.33,0.00,0.00,0.91,0.91,"",30,6.6,2201,24.9,64003374,17.5,0,0.0,0,0.0,-47,-5.9,-2446,-5.9
"55000","1","44-45","54","0","2000","A","","Wisconsin -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",1,21,610643,0,0,573,29787,"",0.12,0.02,0.03,0.00,0.00,1.81,1.81,"",0,0.0,1,5.0,68104,12.6,0,0.0,0,0.0,53,10.2,2773,10.3
"55000","1","445","55","0","2000","A","","Wisconsin -- Statewide","Federal Government","Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,610643,0,0,573,29787,"",0.30,0.09,0.10,0.00,0.00,1.18,1.18,"",0,0.0,1,5.0,68104,12.6,0,0.0,0,0.0,53,10.2,2773,10.3
"55000","1","4451","56","0","2000","A","","Wisconsin -- Statewide","Federal Government","Grocery stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,610643,0,0,573,29787,"",0.30,0.09,0.10,0.00,0.00,1.18,1.18,"",0,0.0,1,5.0,68104,12.6,0,0.0,0,0.0,53,10.2,2773,10.3
