"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55135","0","10","70","0","2000","A","","Waupaca County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1357,20756,523467552,0,0,485,25220,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",17,1.3,404,2.0,27993413,5.6,0,0.0,0,0.0,17,3.6,875,3.6
"55135","1","10","71","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,168,4976583,0,0,570,29652,"",2.20,0.37,0.33,0.00,0.00,0.90,0.90,"",1,5.6,19,12.8,544772,12.3,0,0.0,0,0.0,-3,-0.5,-142,-0.5
"55135","1","102","72","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,168,4976583,0,0,570,29652,"",2.21,0.37,0.34,0.00,0.00,0.90,0.90,"",1,5.6,19,12.8,544772,12.3,0,0.0,0,0.0,-3,-0.5,-142,-0.5
"55135","1","1021","73","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",3.94,0.87,0.92,0.00,0.00,1.05,1.05,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
"55135","1","1028","73","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,32,681762,0,0,414,21529,"",1.10,0.14,0.08,0.00,0.00,0.61,0.61,"",0,0.0,19,146.2,344420,102.1,0,0.0,0,0.0,-95,-18.7,-4929,-18.6
"55135","1","48-49","74","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",4.07,0.94,0.96,0.00,0.00,1.03,1.03,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
"55135","1","491","75","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",4.14,0.97,1.02,0.00,0.00,1.05,1.05,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
"55135","1","4911","76","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",4.14,0.97,1.02,0.00,0.00,1.05,1.05,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
"55135","1","49111","77","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",4.14,0.97,1.02,0.00,0.00,1.05,1.05,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
"55135","1","491110","78","0","2000","A","","Waupaca County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,136,4294821,0,0,607,31541,"",4.14,0.97,1.02,0.00,0.00,1.05,1.05,"",1,8.3,1,0.7,242812,6.0,0,0.0,0,0.0,29,5.0,1489,5.0
