"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56009","0","10","70","0","2000","A","","Converse County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",464,4368,114050982,0,0,502,26111,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-0.9,76,1.8,2912622,2.6,0,0.0,0,0.0,4,0.8,214,0.8
"56009","1","10","71","0","2000","A","","Converse County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,70,2441121,0,0,667,34667,"",3.73,0.73,0.74,0.00,0.00,1.01,1.01,"",0,0.0,1,1.4,75105,3.2,0,0.0,0,0.0,10,1.5,501,1.5
"56009","1","102","72","0","2000","A","","Converse County, Wyoming","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,70,2441121,0,0,667,34667,"",3.74,0.74,0.76,0.00,0.00,1.02,1.02,"",0,0.0,1,1.4,75105,3.2,0,0.0,0,0.0,10,1.5,501,1.5
"56009","1","1021","73","0","2000","A","","Converse County, Wyoming","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.55,0.67,0.74,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
"56009","1","1028","73","0","2000","A","","Converse County, Wyoming","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,47,1664950,0,0,675,35113,"",3.86,0.96,0.93,0.00,0.00,0.96,0.96,"",0,0.0,1,2.2,96332,6.1,0,0.0,0,0.0,23,3.5,1197,3.5
"56009","1","48-49","74","0","2000","A","","Converse County, Wyoming","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.66,0.72,0.78,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
"56009","1","491","75","0","2000","A","","Converse County, Wyoming","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.73,0.74,0.82,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
"56009","1","4911","76","0","2000","A","","Converse County, Wyoming","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.73,0.74,0.82,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
"56009","1","49111","77","0","2000","A","","Converse County, Wyoming","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.73,0.74,0.82,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
"56009","1","491110","78","0","2000","A","","Converse County, Wyoming","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,22,752988,0,0,651,33842,"",3.73,0.74,0.82,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,6361,0.9,0,0.0,0,0.0,-17,-2.5,-885,-2.5
