"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72125","0","10","70","0","2000","A","","San German Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",481,8423,142818482,0,0,326,16956,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,0.4,243,3.0,5504804,4.0,0,0.0,0,0.0,3,0.9,169,1.0
"72125","1","10","71","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,29,1412817,0,0,926,48164,"",0.98,0.16,0.34,0.00,0.00,2.17,2.17,"",0,0.0,-2,-6.5,-77098,-5.2,0,0.0,0,0.0,2,0.2,102,0.2
"72125","1","102","72","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,29,1412817,0,0,926,48164,"",0.98,0.16,0.35,0.00,0.00,2.17,2.18,"",0,0.0,-2,-6.5,-77098,-5.2,0,0.0,0,0.0,2,0.2,102,0.2
"72125","1","1021","73","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.86,0.27,0.64,0.00,0.00,2.42,2.42,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","1023","73","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",15.28,8.11,14.20,0.00,0.00,1.75,1.75,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","1028","73","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",0.62,0.05,0.08,0.00,0.00,1.67,1.68,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","1","48-49","74","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.88,0.29,0.67,0.00,0.00,2.36,2.36,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","491","75","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.90,0.30,0.71,0.00,0.00,2.42,2.42,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","4911","76","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.90,0.30,0.71,0.00,0.00,2.42,2.42,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","49111","77","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.90,0.30,0.71,0.00,0.00,2.42,2.42,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","491110","78","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,17,816159,0,0,937,48726,"",0.90,0.30,0.71,0.00,0.00,2.42,2.42,"",0,0.0,0,0.0,-49071,-5.7,0,0.0,0,0.0,-42,-4.3,-2170,-4.3
"72125","1","52","74","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",15.40,8.28,14.26,0.00,0.00,1.72,1.72,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","522","75","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",17.78,17.05,36.59,0.00,0.00,2.14,2.15,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","5222","76","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",17.82,17.51,37.81,0.00,0.00,2.16,2.16,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","52229","77","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",17.82,17.51,37.81,0.00,0.00,2.16,2.16,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","522292","78","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,414895,0,0,997,51862,"",35.18,28.28,64.64,0.00,0.00,2.28,2.29,"",0,0.0,-1,-11.1,-12127,-2.8,0,0.0,0,0.0,85,9.3,4415,9.3
"72125","1","92","74","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",0.62,0.05,0.08,0.00,0.00,1.67,1.68,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","1","924","75","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",2.73,0.69,1.13,0.00,0.00,1.78,1.78,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","1","9241","76","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",2.73,0.69,1.13,0.00,0.00,1.78,1.78,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","1","92412","77","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",2.78,0.82,1.44,0.00,0.00,1.93,1.93,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","1","924120","78","0","2000","A","","San German Municipio, Puerto Rico","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,181763,0,0,763,39657,"",2.78,0.82,1.44,0.00,0.00,1.93,1.93,"",0,0.0,0,0.0,-15900,-8.0,0,0.0,0,0.0,3,0.4,124,0.3
"72125","2","1028","73","0","2000","A","","San German Municipio, Puerto Rico","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,425,5882764,0,0,266,13831,"",4.36,3.54,2.71,0.00,0.00,0.76,0.76,"",0,0.0,70,19.7,941640,19.1,0,0.0,0,0.0,-1,-0.4,-71,-0.5
