"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1302","0","10","40","0","2000","A","","Bay City, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2704,40916,1261287316,0,0,593,30826,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",78,3.0,686,1.7,59228954,4.9,0,0.0,0,0.0,18,3.1,946,3.2
"C1302","1","10","41","0","2000","A","","Bay City, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22,314,11726278,0,0,717,37305,"",1.28,0.35,0.32,0.00,0.00,0.92,0.92,"",0,0.0,30,10.6,667034,6.0,0,0.0,0,0.0,-33,-4.4,-1682,-4.3
"C1302","5","10","41","0","2000","A","","Bay City, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2597,34843,1062294480,0,0,586,30488,"",0.99,1.01,0.99,0.00,0.00,0.99,0.99,"",77,3.1,452,1.3,49465298,4.9,0,0.0,0,0.0,20,3.5,1038,3.5
"C1302","5","101","42","0","2000","A","","Bay City, MI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",523,8392,377624729,0,0,865,45000,"",1.17,1.04,1.32,0.00,0.00,1.27,1.27,"",2,0.4,215,2.6,19415255,5.4,0,0.0,0,0.0,23,2.7,1192,2.7
"C1302","5","1011","43","0","2000","A","","Bay City, MI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",28,209,3313713,0,0,305,15861,"",0.63,0.39,0.23,0.00,0.00,0.59,0.59,"",-1,-3.4,-48,-18.7,-291393,-8.1,0,0.0,0,0.0,35,13.0,1806,12.8
"C1302","5","1012","43","0","2000","A","","Bay City, MI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",330,2009,60560315,0,0,580,30151,"",1.25,0.96,0.90,0.00,0.00,0.94,0.94,"",2,0.6,223,12.5,8433738,16.2,0,0.0,0,0.0,19,3.4,957,3.3
"C1302","5","1013","43","0","2000","A","","Bay City, MI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",166,6174,313750701,0,0,977,50817,"",1.20,1.13,1.53,0.00,0.00,1.35,1.36,"",2,1.2,39,0.6,11272910,3.7,0,0.0,0,0.0,29,3.1,1511,3.1
"C1302","5","102","42","0","2000","A","","Bay City, MI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2074,26452,684669751,0,0,498,25884,"",0.96,1.00,0.88,0.00,0.00,0.88,0.88,"",75,3.8,237,0.9,30050043,4.6,0,0.0,0,0.0,18,3.8,912,3.7
"C1302","5","1021","43","0","2000","A","","Bay City, MI MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",682,9802,228953949,0,0,449,23359,"",1.07,1.21,1.04,0.00,0.00,0.87,0.87,"",28,4.3,229,2.4,7988245,3.6,0,0.0,0,0.0,5,1.1,277,1.2
"C1302","5","1022","43","0","2000","A","","Bay City, MI MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",23,437,13062539,0,0,575,29903,"",0.46,0.38,0.22,0.00,0.00,0.58,0.59,"",1,4.5,39,9.8,1363590,11.7,0,0.0,0,0.0,10,1.8,533,1.8
