"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1398","0","10","40","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3239,65006,1758110077,0,0,520,27045,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",54,1.7,780,1.2,69437194,4.1,0,0.0,0,0.0,14,2.8,752,2.9
"C1398","1","10","41","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",37,655,22917566,0,0,673,34984,"",1.80,0.46,0.45,0.00,0.00,0.99,0.99,"",5,15.6,153,30.5,3329630,17.0,0,0.0,0,0.0,-77,-10.3,-4016,-10.3
"C1398","2","10","41","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",54,9160,336188378,0,0,706,36701,"",2.02,4.19,5.53,0.00,0.00,1.32,1.32,"",-1,-1.8,121,1.3,33862001,11.2,0,0.0,0,0.0,63,9.8,3253,9.7
"C1398","3","10","41","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",141,6212,143432767,0,0,444,23090,"",2.43,0.98,0.92,0.00,0.00,0.93,0.93,"",0,0.0,524,9.2,11547267,8.8,0,0.0,0,0.0,-2,-0.4,-97,-0.4
"C1398","5","10","41","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3007,48979,1255571366,0,0,493,25635,"",0.96,0.89,0.84,0.00,0.00,0.95,0.95,"",50,1.7,-18,0.0,20698296,1.7,0,0.0,0,0.0,8,1.6,432,1.7
"C1398","5","101","42","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",565,19300,640845054,0,0,639,33204,"",1.05,1.50,1.60,0.00,0.00,1.07,1.07,"",12,2.2,-432,-2.2,-10469547,-1.6,0,0.0,0,0.0,4,0.6,197,0.6
"C1398","5","1013","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",153,16402,566728221,0,0,664,34552,"",0.92,1.89,1.99,0.00,0.00,1.05,1.05,"",0,0.0,-539,-3.2,-18252447,-3.1,0,0.0,0,0.0,0,0.0,22,0.1
"C1398","5","102","42","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2442,29678,614726312,0,0,398,20713,"",0.94,0.70,0.56,0.00,0.00,0.80,0.80,"",38,1.6,413,1.4,31167843,5.3,0,0.0,0,0.0,15,3.9,772,3.9
"C1398","5","1021","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",759,10384,220464438,0,0,408,21232,"",1.00,0.80,0.72,0.00,0.00,0.90,0.90,"",7,0.9,-40,-0.4,6954878,3.3,0,0.0,0,0.0,14,3.6,750,3.7
"C1398","5","1022","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",49,687,20466565,0,0,573,29809,"",0.81,0.38,0.25,0.00,0.00,0.66,0.66,"",3,6.5,28,4.2,1864435,10.0,0,0.0,0,0.0,30,5.5,1570,5.6
"C1398","5","1023","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",281,1559,36841356,0,0,455,23636,"",0.96,0.41,0.24,0.00,0.00,0.59,0.59,"",5,1.8,-91,-5.5,-1826222,-4.7,0,0.0,0,0.0,4,0.9,202,0.9
"C1398","5","1024","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",430,4303,112030814,0,0,501,26038,"",0.85,0.52,0.41,0.00,0.00,0.80,0.80,"",18,4.4,176,4.3,13025052,13.2,0,0.0,0,0.0,40,8.7,2046,8.5
"C1398","5","1025","43","0","2000","A","","Blacksburg-Christiansburg-Radford, VA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",287,5192,142148721,0,0,526,27376,"",1.03,0.72,0.82,0.00,0.00,1.14,1.14,"",2,0.7,121,2.4,7725795,5.7,0,0.0,0,0.0,16,3.1,867,3.3
