"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1662","0","10","40","0","2000","A","","Charleston, WV MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8247,141614,4280799556,0,0,581,30229,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",30,0.4,576,0.4,160973802,3.9,0,0.0,0,0.0,19,3.4,1018,3.5
"C1662","1","10","41","0","2000","A","","Charleston, WV MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,2840,117764968,0,0,797,41469,"",1.76,0.91,0.95,0.00,0.00,1.05,1.05,"",3,3.4,94,3.4,6841042,6.2,0,0.0,0,0.0,20,2.6,1077,2.7
"C1662","2","10","41","0","2000","A","","Charleston, WV MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",135,11351,355272534,0,0,602,31300,"",1.99,2.38,2.40,0.00,0.00,1.01,1.01,"",0,0.0,146,1.3,27292921,8.3,0,0.0,0,0.0,39,6.9,2029,6.9
"C1662","3","10","41","0","2000","A","","Charleston, WV MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",107,12503,326750372,0,0,503,26133,"",0.72,0.91,0.86,0.00,0.00,0.94,0.94,"",-4,-3.6,40,0.3,11352347,3.6,0,0.0,0,0.0,16,3.3,826,3.3
"C1662","5","10","41","0","2000","A","","Charleston, WV MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7914,114920,3481011682,0,0,583,30291,"",0.99,0.96,0.96,0.00,0.00,1.00,1.00,"",32,0.4,295,0.3,115487492,3.4,0,0.0,0,0.0,18,3.2,930,3.2
"C1662","5","101","42","0","2000","A","","Charleston, WV MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1380,22696,1021469854,0,0,866,45006,"",1.01,0.81,1.05,0.00,0.00,1.30,1.30,"",-9,-0.6,-145,-0.6,34213336,3.5,0,0.0,0,0.0,35,4.2,1782,4.1
"C1662","5","1013","43","0","2000","A","","Charleston, WV MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",209,10034,502558582,0,0,963,50088,"",0.49,0.53,0.72,0.00,0.00,1.36,1.36,"",-2,-0.9,-83,-0.8,12904832,2.6,0,0.0,0,0.0,32,3.4,1690,3.5
"C1662","5","102","42","0","2000","A","","Charleston, WV MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6534,92224,2459541828,0,0,513,26669,"",0.99,1.00,0.93,0.00,0.00,0.92,0.92,"",41,0.6,440,0.5,81274156,3.4,0,0.0,0,0.0,15,3.0,757,2.9
"C1662","5","1021","43","0","2000","A","","Charleston, WV MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2161,30061,840001396,0,0,537,27943,"",1.11,1.07,1.13,0.00,0.00,1.06,1.06,"",-22,-1.0,-906,-2.9,15878059,1.9,0,0.0,0,0.0,25,4.9,1330,5.0
"C1662","5","1022","43","0","2000","A","","Charleston, WV MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",134,3955,157949143,0,0,768,39936,"",0.87,1.00,0.80,0.00,0.00,0.80,0.80,"",-6,-4.3,-77,-1.9,2347527,1.5,0,0.0,0,0.0,26,3.5,1348,3.5
