"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1978","0","10","40","0","2000","A","","Des Moines-West Des Moines, IA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",17210,291539,9612030314,0,0,634,32970,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",221,1.3,3004,1.0,374664348,4.1,0,0.0,0,0.0,18,2.9,955,3.0
"C1978","1","10","41","0","2000","A","","Des Moines-West Des Moines, IA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,5995,265001291,0,0,850,44207,"",0.80,0.93,0.95,0.00,0.00,1.02,1.02,"",2,2.3,-269,-4.3,11022298,4.3,0,0.0,0,0.0,70,9.0,3659,9.0
"C1978","5","10","41","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16592,253845,8324837589,0,0,631,32795,"",1.00,1.03,1.02,0.00,0.00,0.99,0.99,"",214,1.3,2665,1.1,308992446,3.9,0,0.0,0,0.0,17,2.8,882,2.8
"C1978","5","101","42","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2418,37950,1399846126,0,0,709,36887,"",0.85,0.66,0.64,0.00,0.00,0.97,0.97,"",37,1.6,-691,-1.8,28259029,2.1,0,0.0,0,0.0,26,3.8,1391,3.9
"C1978","5","1011","43","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",126,1440,43721980,0,0,584,30354,"",0.45,0.38,0.39,0.00,0.00,1.05,1.05,"",5,4.1,-19,-1.3,2019803,4.8,0,0.0,0,0.0,34,6.2,1763,6.2
"C1978","5","1012","43","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1598,14390,539587858,0,0,721,37496,"",0.95,0.96,1.05,0.00,0.00,1.09,1.09,"",14,0.9,99,0.7,20949027,4.0,0,0.0,0,0.0,23,3.3,1203,3.3
"C1978","5","1013","43","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",694,22119,816536288,0,0,710,36916,"",0.79,0.57,0.52,0.00,0.00,0.92,0.92,"",19,2.8,-773,-3.4,5290199,0.7,0,0.0,0,0.0,28,4.1,1478,4.2
"C1978","5","102","42","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",14174,215895,6924991463,0,0,617,32076,"",1.03,1.14,1.16,0.00,0.00,1.02,1.02,"",176,1.3,3356,1.6,280733417,4.2,0,0.0,0,0.0,16,2.7,815,2.6
"C1978","5","1021","43","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",4590,66289,2055170214,0,0,596,31003,"",1.13,1.14,1.23,0.00,0.00,1.07,1.07,"",-34,-0.7,1247,1.9,-31016616,-1.5,0,0.0,0,0.0,-21,-3.4,-1071,-3.3
"C1978","5","1022","43","0","2000","A","","Des Moines-West Des Moines, IA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",379,10596,444442991,0,0,807,41946,"",1.18,1.30,1.00,0.00,0.00,0.77,0.77,"",24,6.8,183,1.8,53726792,13.8,0,0.0,0,0.0,85,11.8,4422,11.8
