"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2458","0","10","40","0","2000","A","","Green Bay, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7263,158233,4858855424,0,0,591,30707,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",113,1.6,3675,2.4,258871305,5.6,0,0.0,0,0.0,19,3.3,945,3.2
"C2458","1","10","41","0","2000","A","","Green Bay, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",54,1326,54544448,0,0,791,41137,"",1.17,0.38,0.39,0.00,0.00,1.02,1.02,"",2,3.8,135,11.3,4998400,10.1,0,0.0,0,0.0,-9,-1.1,-455,-1.1
"C2458","2","10","41","0","2000","A","","Green Bay, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,1750,65119510,0,0,716,37209,"",0.43,0.33,0.39,0.00,0.00,1.18,1.18,"",0,0.0,20,1.2,5937610,10.0,0,0.0,0,0.0,58,8.8,3008,8.8
"C2458","3","10","41","0","2000","A","","Green Bay, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",224,12708,401572326,0,0,608,31599,"",1.72,0.83,0.93,0.00,0.00,1.12,1.12,"",2,0.9,264,2.1,23980147,6.4,0,0.0,0,0.0,24,4.1,1256,4.1
"C2458","5","10","41","0","2000","A","","Green Bay, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6959,142449,4337619140,0,0,586,30450,"",0.99,1.06,1.05,0.00,0.00,0.99,0.99,"",108,1.6,3257,2.3,223955148,5.4,0,0.0,0,0.0,18,3.2,896,3.0
"C2458","5","101","42","0","2000","A","","Green Bay, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1642,44285,1623798733,0,0,705,36667,"",1.37,1.42,1.47,0.00,0.00,1.04,1.04,"",59,3.7,1024,2.4,65410024,4.2,0,0.0,0,0.0,12,1.7,644,1.8
"C2458","5","1011","43","0","2000","A","","Green Bay, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",85,933,23134784,0,0,477,24789,"",0.71,0.45,0.41,0.00,0.00,0.92,0.92,"",10,13.3,84,9.9,4128155,21.7,0,0.0,0,0.0,47,10.9,2404,10.7
"C2458","5","1012","43","0","2000","A","","Green Bay, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1007,8900,323704774,0,0,699,36372,"",1.42,1.10,1.24,0.00,0.00,1.13,1.13,"",42,4.4,521,6.2,32389641,11.1,0,0.0,0,0.0,30,4.5,1604,4.6
"C2458","5","1013","43","0","2000","A","","Green Bay, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",550,34452,1276959175,0,0,713,37065,"",1.48,1.63,1.62,0.00,0.00,0.99,0.99,"",6,1.1,419,1.2,28892228,2.3,0,0.0,0,0.0,8,1.1,393,1.1
"C2458","5","102","42","0","2000","A","","Green Bay, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5317,98164,2713820407,0,0,532,27646,"",0.91,0.96,0.90,0.00,0.00,0.94,0.94,"",49,0.9,2233,2.3,158545124,6.2,0,0.0,0,0.0,20,3.9,1009,3.8
