"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2610","0","10","40","0","2000","A","","Holland-Grand Haven, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5654,118885,3791892950,0,0,613,31896,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",316,5.9,4811,4.2,261052519,7.4,0,0.0,0,0.0,18,3.0,944,3.0
"C2610","1","10","41","0","2000","A","","Holland-Grand Haven, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,544,20287771,0,0,717,37282,"",0.72,0.21,0.19,0.00,0.00,0.89,0.89,"",-4,-13.3,37,7.3,1485186,7.9,0,0.0,0,0.0,4,0.6,226,0.6
"C2610","5","10","41","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5554,106748,3390086296,0,0,611,31758,"",1.02,1.06,1.05,0.00,0.00,1.00,1.00,"",320,6.1,4598,4.5,252646693,8.1,0,0.0,0,0.0,20,3.4,1044,3.4
"C2610","5","101","42","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1793,53462,2116529070,0,0,761,39589,"",1.92,2.27,2.46,0.00,0.00,1.08,1.08,"",88,5.2,1950,3.8,144190582,7.3,0,0.0,0,0.0,25,3.4,1300,3.4
"C2610","5","1011","43","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",159,3232,57588664,0,0,343,17820,"",1.72,2.07,1.32,0.00,0.00,0.64,0.64,"",11,7.4,141,4.6,3216956,5.9,0,0.0,0,0.0,5,1.5,230,1.3
"C2610","5","1012","43","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",997,6013,222382219,0,0,711,36986,"",1.80,0.99,1.10,0.00,0.00,1.11,1.11,"",62,6.6,367,6.5,13805501,6.6,0,0.0,0,0.0,1,0.1,46,0.1
"C2610","5","1013","43","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",637,44218,1836558187,0,0,799,41534,"",2.20,2.79,2.99,0.00,0.00,1.07,1.07,"",14,2.2,1444,3.4,127168125,7.4,0,0.0,0,0.0,30,3.9,1571,3.9
"C2610","5","102","42","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3762,53286,1273557226,0,0,460,23900,"",0.83,0.69,0.54,0.00,0.00,0.79,0.78,"",234,6.6,2647,5.2,108456111,9.3,0,0.0,0,0.0,18,4.1,892,3.9
"C2610","5","1021","43","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1290,18237,486791347,0,0,513,26693,"",0.97,0.77,0.74,0.00,0.00,0.96,0.96,"",71,5.8,658,3.7,36044642,8.0,0,0.0,0,0.0,20,4.1,1052,4.1
"C2610","5","1022","43","0","2000","A","","Holland-Grand Haven, MI MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",55,693,21869985,0,0,607,31558,"",0.52,0.21,0.12,0.00,0.00,0.60,0.60,"",8,17.0,55,8.6,1037220,5.0,0,0.0,0,0.0,-21,-3.3,-1082,-3.3
