"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2778","0","10","40","0","2000","A","","Johnstown, PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3593,58304,1450957328,0,0,479,24886,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",58,1.6,-346,-0.6,12676247,0.9,0,0.0,0,0.0,7,1.5,363,1.5
"C2778","1","10","41","0","2000","A","","Johnstown, PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47,1346,56239861,0,0,804,41783,"",2.06,1.05,1.34,0.00,0.00,1.28,1.28,"",2,4.4,80,6.3,3853636,7.4,0,0.0,0,0.0,8,1.0,406,1.0
"C2778","2","10","41","0","2000","A","","Johnstown, PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,2126,83737081,0,0,757,39381,"",0.95,1.08,1.67,0.00,0.00,1.54,1.54,"",5,21.7,66,3.2,3062802,3.8,0,0.0,0,0.0,4,0.5,216,0.6
"C2778","3","10","41","0","2000","A","","Johnstown, PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",176,6376,164654640,0,0,497,25823,"",2.74,1.13,1.27,0.00,0.00,1.13,1.13,"",-2,-1.1,28,0.4,4198312,2.6,0,0.0,0,0.0,11,2.3,547,2.2
"C2778","5","10","41","0","2000","A","","Johnstown, PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3343,48455,1146325746,0,0,455,23657,"",0.96,0.98,0.93,0.00,0.00,0.95,0.95,"",54,1.6,-521,-1.1,1561497,0.1,0,0.0,0,0.0,5,1.1,283,1.2
"C2778","5","101","42","0","2000","A","","Johnstown, PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",558,9302,254472917,0,0,526,27357,"",0.94,0.81,0.77,0.00,0.00,0.95,0.96,"",4,0.7,-792,-7.8,-24361531,-8.7,0,0.0,0,0.0,-5,-0.9,-268,-1.0
"C2778","5","1011","43","0","2000","A","","Johnstown, PA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",42,274,7305728,0,0,514,26704,"",0.71,0.36,0.44,0.00,0.00,1.22,1.22,"",-1,-2.3,-41,-13.0,-1707080,-18.9,0,0.0,0,0.0,-36,-6.5,-1908,-6.7
"C2778","5","1012","43","0","2000","A","","Johnstown, PA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",349,2100,53955595,0,0,494,25692,"",0.99,0.70,0.69,0.00,0.00,0.99,0.99,"",5,1.5,-36,-1.7,-629243,-1.2,0,0.0,0,0.0,3,0.6,134,0.5
"C2778","5","1013","43","0","2000","A","","Johnstown, PA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",167,6928,193211594,0,0,536,27887,"",0.91,0.89,0.82,0.00,0.00,0.92,0.92,"",0,0.0,-715,-9.4,-22025208,-10.2,0,0.0,0,0.0,-6,-1.1,-275,-1.0
"C2778","5","102","42","0","2000","A","","Johnstown, PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2785,39153,891852829,0,0,438,22779,"",0.97,1.03,0.99,0.00,0.00,0.96,0.96,"",50,1.8,271,0.7,25923028,3.0,0,0.0,0,0.0,10,2.3,508,2.3
"C2778","5","1021","43","0","2000","A","","Johnstown, PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",843,12394,254192530,0,0,394,20509,"",1.00,1.07,1.01,0.00,0.00,0.94,0.94,"",5,0.6,79,0.6,16887754,7.1,0,0.0,0,0.0,23,6.2,1240,6.4
"C2778","5","1022","43","0","2000","A","","Johnstown, PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",68,1067,30804018,0,0,555,28863,"",1.01,0.66,0.46,0.00,0.00,0.70,0.70,"",7,11.5,11,1.0,-1001897,-3.2,0,0.0,0,0.0,-24,-4.1,-1249,-4.1
"C2778","5","1023","43","0","2000","A","","Johnstown, PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",302,3229,96818651,0,0,577,29986,"",0.93,0.95,0.77,0.00,0.00,0.81,0.81,"",9,3.1,101,3.2,3221640,3.4,0,0.0,0,0.0,2,0.3,68,0.2
"C2778","5","1024","43","0","2000","A","","Johnstown, PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",328,4890,140659825,0,0,553,28763,"",0.59,0.65,0.63,0.00,0.00,0.96,0.96,"",9,2.8,112,2.3,3393214,2.5,0,0.0,0,0.0,0,0.0,31,0.1
"C2778","5","1025","43","0","2000","A","","Johnstown, PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",496,10928,298304799,0,0,525,27297,"",1.61,1.69,2.10,0.00,0.00,1.24,1.24,"",5,1.0,176,1.6,4962103,1.7,0,0.0,0,0.0,0,0.0,15,0.1
"C2778","5","1026","43","0","2000","A","","Johnstown, PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",371,4651,43522576,0,0,180,9358,"",1.30,0.87,0.77,0.00,0.00,0.88,0.88,"",5,1.4,-181,-3.7,-1248209,-2.8,0,0.0,0,0.0,2,1.1,92,1.0
"C2778","5","1027","43","0","2000","A","","Johnstown, PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",369,1973,27069190,0,0,264,13721,"",0.85,1.06,0.92,0.00,0.00,0.87,0.87,"",5,1.4,-31,-1.5,-218466,-0.8,0,0.0,0,0.0,2,0.8,102,0.7
"C2778","5","11","44","0","2000","A","","Johnstown, PA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",14,57,1054234,0,0,355,18468,"",0.30,0.11,0.14,0.00,0.00,1.35,1.35,"",2,16.7,6,11.8,157450,17.6,0,0.0,0,0.0,19,5.7,998,5.7
"C2778","5","111","45","0","2000","A","","Johnstown, PA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",5,25,540980,0,0,423,22006,"",0.23,0.10,0.16,0.00,0.00,1.67,1.67,"",1,25.0,0,0.0,-8013,-1.5,0,0.0,0,0.0,5,1.2,264,1.2
"C2778","5","113","45","0","2000","A","","Johnstown, PA MSA","Private","Forestry and logging","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",7,29,484012,0,0,317,16500,"",1.06,0.78,0.67,0.00,0.00,0.84,0.85,"",1,16.7,6,26.1,173476,55.9,0,0.0,0,0.0,53,20.1,2749,20.0
