"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2866","0","10","40","0","2000","A","","Killeen-Temple, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5006,104558,2585235775,0,0,475,24725,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",101,2.1,1759,1.7,144939641,5.9,0,0.0,0,0.0,18,3.9,986,4.2
"C2866","1","10","41","0","2000","A","","Killeen-Temple, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",61,6665,210834549,0,0,608,31634,"",1.92,2.89,2.82,0.00,0.00,0.98,0.98,"",1,1.7,-309,-4.4,7975592,3.9,0,0.0,0,0.0,49,8.8,2546,8.8
"C2866","2","10","41","0","2000","A","","Killeen-Temple, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",61,3802,114199147,0,0,578,30038,"",1.48,1.08,1.28,0.00,0.00,1.18,1.18,"",0,0.0,-158,-4.0,3078317,2.8,0,0.0,0,0.0,38,7.0,1980,7.1
"C2866","3","10","41","0","2000","A","","Killeen-Temple, TX MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",149,16955,427790934,0,0,485,25231,"",1.66,1.67,1.86,0.00,0.00,1.11,1.11,"",4,2.8,-402,-2.3,21209735,5.2,0,0.0,0,0.0,35,7.8,1807,7.7
"C2866","5","10","41","0","2000","A","","Killeen-Temple, TX MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4735,77136,1832411145,0,0,457,23756,"",0.98,0.87,0.84,0.00,0.00,0.96,0.96,"",95,2.0,2629,3.5,112675997,6.6,0,0.0,0,0.0,13,2.9,674,2.9
"C2866","5","101","42","0","2000","A","","Killeen-Temple, TX MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",790,15088,471549712,0,0,601,31253,"",0.95,0.73,0.80,0.00,0.00,1.10,1.10,"",-3,-0.4,620,4.3,15646027,3.4,0,0.0,0,0.0,-5,-0.8,-259,-0.8
"C2866","5","1011","43","0","2000","A","","Killeen-Temple, TX MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",65,353,9753309,0,0,532,27643,"",0.79,0.26,0.33,0.00,0.00,1.28,1.27,"",0,0.0,5,1.4,489961,5.3,0,0.0,0,0.0,20,3.9,1011,3.8
"C2866","5","1012","43","0","2000","A","","Killeen-Temple, TX MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",527,4947,135591768,0,0,527,27407,"",1.07,0.92,0.98,0.00,0.00,1.06,1.06,"",1,0.2,-78,-1.6,5162751,4.0,0,0.0,0,0.0,28,5.6,1451,5.6
"C2866","5","1013","43","0","2000","A","","Killeen-Temple, TX MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",198,9788,326204635,0,0,641,33328,"",0.77,0.70,0.78,0.00,0.00,1.11,1.11,"",-3,-1.5,693,7.6,9993315,3.2,0,0.0,0,0.0,-28,-4.2,-1440,-4.1
"C2866","5","102","42","0","2000","A","","Killeen-Temple, TX MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3945,62048,1360861433,0,0,422,21932,"",0.98,0.91,0.85,0.00,0.00,0.93,0.93,"",97,2.5,2009,3.3,97029970,7.7,0,0.0,0,0.0,17,4.2,882,4.2
