"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2934","0","10","40","0","2000","A","","Lake Charles, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4845,87714,2488772185,0,0,546,28374,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,0.3,-103,-0.1,23319172,0.9,0,0.0,0,0.0,6,1.1,299,1.1
"C2934","1","10","41","0","2000","A","","Lake Charles, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",37,718,29844452,0,0,799,41571,"",1.20,0.37,0.41,0.00,0.00,1.12,1.12,"",3,8.8,36,5.3,1602293,5.7,0,0.0,0,0.0,3,0.4,170,0.4
"C2934","2","10","41","0","2000","A","","Lake Charles, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,3349,86621221,0,0,497,25864,"",1.58,1.13,1.01,0.00,0.00,0.89,0.89,"",-2,-3.1,94,2.9,2913639,3.5,0,0.0,0,0.0,2,0.4,149,0.6
"C2934","3","10","41","0","2000","A","","Lake Charles, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",121,9642,227403865,0,0,454,23585,"",1.40,1.13,1.03,0.00,0.00,0.91,0.91,"",4,3.4,-50,-0.5,1158123,0.5,0,0.0,0,0.0,5,1.1,242,1.0
"C2934","5","10","41","0","2000","A","","Lake Charles, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4624,74005,2144902647,0,0,557,28983,"",0.99,1.00,1.02,0.00,0.00,1.02,1.02,"",10,0.2,-182,-0.2,17645117,0.8,0,0.0,0,0.0,6,1.1,309,1.1
"C2934","5","101","42","0","2000","A","","Lake Charles, LA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",789,22896,1016523050,0,0,854,44397,"",0.98,1.32,1.80,0.00,0.00,1.36,1.36,"",-30,-3.7,-641,-2.7,-9332400,-0.9,0,0.0,0,0.0,16,1.9,812,1.9
"C2934","5","1011","43","0","2000","A","","Lake Charles, LA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",129,1603,89113719,0,0,1069,55595,"",1.62,1.39,3.11,0.00,0.00,2.23,2.23,"",-5,-3.7,-220,-12.1,-7291652,-7.6,0,0.0,0,0.0,52,5.1,2717,5.1
"C2934","5","1012","43","0","2000","A","","Lake Charles, LA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",488,10197,321117879,0,0,606,31492,"",1.03,2.27,2.41,0.00,0.00,1.06,1.06,"",-31,-6.0,68,0.7,13109975,4.3,0,0.0,0,0.0,21,3.6,1084,3.6
"C2934","5","1013","43","0","2000","A","","Lake Charles, LA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",172,11097,606291452,0,0,1051,54638,"",0.69,0.95,1.50,0.00,0.00,1.58,1.58,"",7,4.2,-487,-4.2,-15150723,-2.4,0,0.0,0,0.0,19,1.8,993,1.9
"C2934","5","102","42","0","2000","A","","Lake Charles, LA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3836,51109,1128379597,0,0,425,22078,"",0.99,0.90,0.73,0.00,0.00,0.81,0.81,"",41,1.1,458,0.9,26977517,2.4,0,0.0,0,0.0,7,1.7,333,1.5
