"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3170","0","10","40","0","2000","A","","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12219,193265,7579221542,0,0,754,39217,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",63,0.5,5243,2.8,811891468,12.0,0,0.0,0,0.0,62,9.0,3225,9.0
"C3170","1","10","41","0","2000","A","","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",62,3724,198050980,0,0,1023,53187,"",0.80,0.87,0.90,0.00,0.00,1.04,1.04,"",0,0.0,-119,-3.1,13725385,7.4,0,0.0,0,0.0,101,11.0,5223,10.9
"C3170","2","10","41","0","2000","A","","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",102,1560,41824234,0,0,516,26816,"",1.01,0.24,0.16,0.00,0.00,0.67,0.67,"",5,5.2,17,1.1,1984322,5.0,0,0.0,0,0.0,19,3.8,993,3.8
"C3170","3","10","41","0","2000","A","","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,13104,422162566,0,0,620,32217,"",0.52,0.70,0.63,0.00,0.00,0.90,0.90,"",-5,-4.2,167,1.3,10651171,2.6,0,0.0,0,0.0,8,1.3,409,1.3
"C3170","5","10","41","0","2000","A","","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",11942,174877,6917183762,0,0,761,39554,"",1.01,1.07,1.08,0.00,0.00,1.01,1.01,"",63,0.5,5178,3.1,785530590,12.8,0,0.0,0,0.0,66,9.5,3421,9.5
"C3170","5","101","42","0","2000","A","","Manchester-Nashua, NH MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1959,48765,2446915723,0,0,965,50178,"",0.97,1.28,1.42,0.00,0.00,1.11,1.11,"",3,0.2,1212,2.5,285526472,13.2,0,0.0,0,0.0,91,10.4,4725,10.4
"C3170","5","1011","43","0","2000","A","","Manchester-Nashua, NH MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",55,267,7678609,0,0,553,28741,"",0.27,0.11,0.09,0.00,0.00,0.84,0.84,"",3,5.8,9,3.5,874260,12.8,0,0.0,0,0.0,45,8.9,2333,8.8
"C3170","5","1012","43","0","2000","A","","Manchester-Nashua, NH MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1095,7003,298424427,0,0,820,42615,"",0.91,0.71,0.74,0.00,0.00,1.04,1.04,"",10,0.9,323,4.8,28014770,10.4,0,0.0,0,0.0,42,5.4,2137,5.3
"C3170","5","1013","43","0","2000","A","","Manchester-Nashua, NH MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",810,41495,2140812687,0,0,992,51592,"",1.29,1.61,1.74,0.00,0.00,1.08,1.08,"",-9,-1.1,880,2.2,256637442,13.6,0,0.0,0,0.0,100,11.2,5200,11.2
"C3170","5","102","42","0","2000","A","","Manchester-Nashua, NH MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",9983,126113,4470268039,0,0,682,35447,"",1.02,1.00,0.95,0.00,0.00,0.95,0.95,"",60,0.6,3967,3.2,500004118,12.6,0,0.0,0,0.0,57,9.1,2943,9.1
