"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3890","0","10","40","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",61414,961985,35672369727,0,0,713,37082,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",789,1.3,21383,2.3,3287559987,10.2,0,0.0,0,0.0,51,7.7,2652,7.7
"C3890","1","10","41","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",232,18761,894493014,0,0,917,47679,"",0.59,0.88,0.87,0.00,0.00,0.98,0.98,"",2,0.9,704,3.9,73479051,8.9,0,0.0,0,0.0,43,4.9,2210,4.9
"C3890","2","10","41","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",194,12277,488675540,0,0,765,39805,"",0.38,0.38,0.40,0.00,0.00,1.04,1.04,"",7,3.7,315,2.6,46719340,10.6,0,0.0,0,0.0,54,7.6,2857,7.7
"C3890","3","10","41","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",277,90332,3110451564,0,0,662,34434,"",0.25,0.97,0.98,0.00,0.00,1.01,1.01,"",0,0.0,2771,3.2,168869056,5.7,0,0.0,0,0.0,16,2.5,839,2.5
"C3890","5","10","41","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",60712,840615,31178749609,0,0,713,37090,"",1.02,1.03,1.03,0.00,0.00,1.00,1.00,"",780,1.3,17593,2.1,2998492540,10.6,0,0.0,0,0.0,55,8.4,2850,8.3
"C3890","5","101","42","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",12343,209343,10170038389,0,0,934,48581,"",1.21,1.10,1.26,0.00,0.00,1.14,1.14,"",-235,-1.9,2071,1.0,1297815527,14.6,0,0.0,0,0.0,111,13.5,5776,13.5
"C3890","5","1011","43","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",884,13730,300047922,0,0,420,21853,"",0.88,1.09,0.73,0.00,0.00,0.67,0.67,"",-13,-1.4,568,4.3,15515489,5.5,0,0.0,0,0.0,4,1.0,235,1.1
"C3890","5","1012","43","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",7869,52895,2221915876,0,0,808,42007,"",1.31,1.07,1.16,0.00,0.00,1.08,1.08,"",-149,-1.9,497,0.9,185962446,9.1,0,0.0,0,0.0,61,8.2,3152,8.1
"C3890","5","1013","43","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",3590,142719,7648074591,0,0,1031,53589,"",1.14,1.11,1.32,0.00,0.00,1.19,1.19,"",-73,-2.0,1006,0.7,1096337592,16.7,0,0.0,0,0.0,142,16.0,7356,15.9
"C3890","5","102","42","0","2000","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",48370,631272,21008711220,0,0,640,33280,"",0.98,1.01,0.95,0.00,0.00,0.94,0.94,"",1016,2.1,15522,2.5,1700677013,8.8,0,0.0,0,0.0,37,6.1,1923,6.1
