"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3966","0","10","40","0","2000","A","","Rapid City, SD MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3859,55108,1333953248,0,0,466,24206,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",52,1.4,1405,2.6,85676614,6.9,0,0.0,0,0.0,19,4.3,962,4.1
"C3966","1","10","41","0","2000","A","","Rapid City, SD MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,2605,97083599,0,0,717,37274,"",2.41,2.14,2.52,0.00,0.00,1.18,1.18,"",2,3.5,63,2.5,8537806,9.6,0,0.0,0,0.0,47,7.0,2444,7.0
"C3966","2","10","41","0","2000","A","","Rapid City, SD MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,1232,41968554,0,0,655,34079,"",1.57,0.66,0.91,0.00,0.00,1.37,1.37,"",0,0.0,25,2.1,3151703,8.1,0,0.0,0,0.0,36,5.8,1908,5.9
"C3966","3","10","41","0","2000","A","","Rapid City, SD MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,4706,123259321,0,0,504,26193,"",0.41,0.88,1.04,0.00,0.00,1.18,1.18,"",0,0.0,56,1.2,6873875,5.9,0,0.0,0,0.0,23,4.8,1162,4.6
"C3966","5","10","41","0","2000","A","","Rapid City, SD MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3722,46566,1071641774,0,0,443,23014,"",1.00,1.00,0.95,0.00,0.00,0.95,0.95,"",50,1.4,1261,2.8,67113230,6.7,0,0.0,0,0.0,17,4.0,841,3.8
"C3966","5","101","42","0","2000","A","","Rapid City, SD MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",670,8860,240536984,0,0,522,27149,"",1.05,0.81,0.79,0.00,0.00,0.97,0.98,"",24,3.7,363,4.3,19888717,9.0,0,0.0,0,0.0,23,4.6,1181,4.5
"C3966","5","1012","43","0","2000","A","","Rapid City, SD MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",482,3863,109275772,0,0,544,28285,"",1.28,1.37,1.53,0.00,0.00,1.12,1.12,"",22,4.8,382,11.0,14186538,14.9,0,0.0,0,0.0,19,3.6,970,3.6
"C3966","5","102","42","0","2000","A","","Rapid City, SD MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3052,37706,831104790,0,0,424,22042,"",0.99,1.05,1.00,0.00,0.00,0.95,0.95,"",26,0.9,898,2.4,47224513,6.0,0,0.0,0,0.0,14,3.4,745,3.5
"C3966","5","1021","43","0","2000","A","","Rapid City, SD MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1060,11755,267126831,0,0,437,22724,"",1.17,1.07,1.15,0.00,0.00,1.07,1.07,"",6,0.6,18,0.2,8871164,3.4,0,0.0,0,0.0,14,3.3,721,3.3
"C3966","5","1022","43","0","2000","A","","Rapid City, SD MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",60,1017,30766788,0,0,582,30252,"",0.83,0.66,0.50,0.00,0.00,0.75,0.75,"",0,0.0,102,11.1,4947857,19.2,0,0.0,0,0.0,39,7.2,2037,7.2
