"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4034","0","10","40","0","2000","A","","Rochester, MN MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4129,94485,3273655460,0,0,666,34647,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",134,3.4,2978,3.3,195502806,6.4,0,0.0,0,0.0,19,2.9,1009,3.0
"C4034","1","10","41","0","2000","A","","Rochester, MN MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47,1109,49143743,0,0,852,44317,"",1.79,0.53,0.52,0.00,0.00,0.98,0.98,"",3,6.8,85,8.3,4337274,9.7,0,0.0,0,0.0,11,1.3,578,1.3
"C4034","2","10","41","0","2000","A","","Rochester, MN MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,1023,40743503,0,0,766,39847,"",0.97,0.32,0.36,0.00,0.00,1.12,1.12,"",0,0.0,28,2.8,2945569,7.8,0,0.0,0,0.0,35,4.8,1853,4.9
"C4034","3","10","41","0","2000","A","","Rochester, MN MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",93,7453,224840743,0,0,580,30167,"",1.26,0.81,0.77,0.00,0.00,0.95,0.95,"",0,0.0,194,2.7,12616914,5.9,0,0.0,0,0.0,18,3.2,933,3.2
"C4034","5","10","41","0","2000","A","","Rochester, MN MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3957,84901,2958927471,0,0,670,34852,"",0.99,1.06,1.07,0.00,0.00,1.00,1.01,"",132,3.5,2673,3.3,175603049,6.3,0,0.0,0,0.0,19,2.9,1003,3.0
"C4034","5","101","42","0","2000","A","","Rochester, MN MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",787,20349,926169936,0,0,875,45514,"",1.15,1.09,1.25,0.00,0.00,1.14,1.14,"",53,7.2,61,0.3,43598925,4.9,0,0.0,0,0.0,38,4.5,2013,4.6
"C4034","5","1011","43","0","2000","A","","Rochester, MN MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",65,494,10598138,0,0,413,21468,"",0.96,0.40,0.28,0.00,0.00,0.71,0.71,"",-2,-3.0,-12,-2.4,512051,5.1,0,0.0,0,0.0,30,7.8,1542,7.7
"C4034","5","1012","43","0","2000","A","","Rochester, MN MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",546,4040,152794000,0,0,727,37823,"",1.35,0.83,0.87,0.00,0.00,1.04,1.04,"",52,10.5,335,9.0,15426088,11.2,0,0.0,0,0.0,14,2.0,748,2.0
"C4034","5","1013","43","0","2000","A","","Rochester, MN MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",176,15816,762777798,0,0,927,48230,"",0.83,1.26,1.44,0.00,0.00,1.14,1.14,"",2,1.1,-261,-1.6,27660786,3.8,0,0.0,0,0.0,48,5.5,2505,5.5
"C4034","5","102","42","0","2000","A","","Rochester, MN MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3169,64552,2032757535,0,0,606,31490,"",0.96,1.05,1.00,0.00,0.00,0.95,0.95,"",78,2.5,2612,4.2,132004124,6.9,0,0.0,0,0.0,16,2.7,803,2.6
"C4034","5","1021","43","0","2000","A","","Rochester, MN MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1062,15546,344851933,0,0,427,22182,"",1.09,0.83,0.61,0.00,0.00,0.73,0.73,"",33,3.2,468,3.1,14287059,4.3,0,0.0,0,0.0,5,1.2,259,1.2
"C4034","5","1022","43","0","2000","A","","Rochester, MN MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",67,1039,37634497,0,0,697,36219,"",0.87,0.39,0.25,0.00,0.00,0.63,0.63,"",-1,-1.5,117,12.7,7302889,24.1,0,0.0,0,0.0,65,10.3,3333,10.1
"C4034","5","1023","43","0","2000","A","","Rochester, MN MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",399,2670,85877893,0,0,619,32168,"",1.07,0.48,0.30,0.00,0.00,0.62,0.62,"",13,3.4,102,4.0,5172311,6.4,0,0.0,0,0.0,15,2.5,741,2.4
"C4034","5","1024","43","0","2000","A","","Rochester, MN MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",465,5669,183161336,0,0,621,32309,"",0.72,0.47,0.36,0.00,0.00,0.78,0.78,"",15,3.3,-56,-1.0,-18780723,-9.3,0,0.0,0,0.0,-57,-8.4,-2965,-8.4
"C4034","5","1025","43","0","2000","A","","Rochester, MN MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",325,29199,1233807766,0,0,813,42256,"",0.92,2.79,3.84,0.00,0.00,1.38,1.38,"",12,3.8,1732,6.3,112798876,10.1,0,0.0,0,0.0,28,3.6,1443,3.5
"C4034","5","1026","43","0","2000","A","","Rochester, MN MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",403,7804,94915388,0,0,234,12163,"",1.23,0.90,0.74,0.00,0.00,0.82,0.82,"",8,2.0,243,3.2,7781537,8.9,0,0.0,0,0.0,12,5.4,639,5.5
"C4034","5","1027","43","0","2000","A","","Rochester, MN MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",449,2625,52508722,0,0,385,20005,"",0.90,0.87,0.79,0.00,0.00,0.91,0.91,"",-1,-0.2,6,0.2,3442175,7.0,0,0.0,0,0.0,25,6.9,1267,6.8
"C4034","5","111","45","0","2000","A","","Rochester, MN MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",12,94,1556478,0,0,319,16573,"",0.48,0.22,0.20,0.00,0.00,0.91,0.91,"",-2,-14.3,-4,-4.1,133319,9.4,0,0.0,0,0.0,40,14.3,2051,14.1
"C4034","5","112","45","0","2000","A","","Rochester, MN MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",33,324,7161408,0,0,426,22132,"",3.07,2.26,2.31,0.00,0.00,1.02,1.02,"",0,0.0,-8,-2.4,363952,5.4,0,0.0,0,0.0,32,8.1,1642,8.0
