"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4090","0","10","40","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",53698,807808,29383038423,0,0,699,36374,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3536,-6.2,26543,3.4,2783420602,10.5,0,0.0,0,0.0,44,6.7,2327,6.8
"C4090","1","10","41","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",186,15450,752048186,0,0,936,48676,"",0.55,0.87,0.89,0.00,0.00,1.02,1.02,"",5,2.8,-1615,-9.5,-46154226,-5.8,0,0.0,0,0.0,36,4.0,1902,4.1
"C4090","5","10","41","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47382,595947,19950993807,0,0,644,33478,"",0.91,0.87,0.80,0.00,0.00,0.92,0.92,"",-1925,-3.9,19334,3.4,1720538380,9.4,0,0.0,0,0.0,36,5.9,1862,5.9
"C4090","5","101","42","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",7215,112960,5030847436,0,0,856,44537,"",0.81,0.71,0.75,0.00,0.00,1.06,1.07,"",-529,-6.8,4715,4.4,628061887,14.3,0,0.0,0,0.0,74,9.5,3863,9.5
"C4090","5","1011","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",902,9902,215664014,0,0,419,21779,"",1.03,0.93,0.64,0.00,0.00,0.68,0.68,"",-89,-9.0,335,3.5,4458566,2.1,0,0.0,0,0.0,-6,-1.4,-297,-1.3
"C4090","5","1012","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",4620,52221,1974338244,0,0,727,37807,"",0.88,1.26,1.25,0.00,0.00,0.99,0.99,"",-308,-6.2,4380,9.2,274820483,16.2,0,0.0,0,0.0,44,6.4,2283,6.4
"C4090","5","1013","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1693,50836,2840845178,0,0,1075,55882,"",0.62,0.47,0.60,0.00,0.00,1.26,1.26,"",-132,-7.2,-2,0.0,348782838,14.0,0,0.0,0,0.0,132,14.0,6862,14.0
"C4090","5","102","42","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",40167,482987,14920146371,0,0,594,30891,"",0.93,0.92,0.82,0.00,0.00,0.89,0.89,"",-1397,-3.4,14619,3.1,1092476493,7.9,0,0.0,0,0.0,26,4.6,1368,4.6
"C4090","5","1021","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",8024,136808,4031128937,0,0,567,29466,"",0.64,0.85,0.79,0.00,0.00,0.93,0.93,"",-611,-7.1,4199,3.2,333299223,9.0,0,0.0,0,0.0,31,5.8,1581,5.7
"C4090","5","1022","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",624,18814,902769642,0,0,923,47984,"",0.62,0.83,0.66,0.00,0.00,0.80,0.80,"",-31,-4.7,433,2.4,29805849,3.4,0,0.0,0,0.0,10,1.1,490,1.0
"C4090","5","1023","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",4303,51997,2123622479,0,0,785,40841,"",0.89,1.10,0.83,0.00,0.00,0.75,0.75,"",-9,-0.2,-1699,-3.2,37054306,1.8,0,0.0,0,0.0,38,5.1,1982,5.1
"C4090","5","1024","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",6787,104893,3857265607,0,0,707,36773,"",0.81,1.01,0.85,0.00,0.00,0.84,0.84,"",-489,-6.7,5209,5.2,360955353,10.3,0,0.0,0,0.0,32,4.7,1699,4.8
"C4090","5","1025","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",4330,69631,2361331972,0,0,652,33912,"",0.94,0.78,0.82,0.00,0.00,1.05,1.05,"",-180,-4.0,2913,4.4,159646558,7.3,0,0.0,0,0.0,17,2.7,912,2.8
"C4090","5","1026","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",3787,71296,939115823,0,0,253,13172,"",0.89,0.97,0.82,0.00,0.00,0.84,0.85,"",-257,-6.4,4306,6.4,110573814,13.3,0,0.0,0,0.0,15,6.3,804,6.5
"C4090","5","1027","43","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",12300,29455,702351049,0,0,459,23845,"",1.90,1.14,1.18,0.00,0.00,1.04,1.04,"",181,1.5,-752,-2.5,60730259,9.5,0,0.0,0,0.0,51,12.5,2604,12.3
"C4090","5","111","45","0","2000","A","","Sacramento--Roseville--Arden-Arcade, CA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",567,5630,123040103,0,0,420,21854,"",1.73,1.57,1.78,0.00,0.00,1.14,1.14,"",-63,-10.0,-186,-3.2,-2273237,-1.8,0,0.0,0,0.0,6,1.4,307,1.4
