"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4726","0","10","40","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",33648,692900,19642043209,0,0,545,28348,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",380,1.1,11035,1.6,1094513551,5.9,0,0.0,0,0.0,22,4.2,1147,4.2
"C4726","1","10","41","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",267,47003,2016205076,0,0,825,42895,"",1.25,3.07,3.55,0.00,0.00,1.16,1.16,"",9,3.5,261,0.6,128790180,6.8,0,0.0,0,0.0,48,6.2,2515,6.2
"C4726","2","10","41","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",253,18592,587588738,0,0,608,31604,"",0.91,0.80,0.87,0.00,0.00,1.09,1.08,"",2,0.8,340,1.9,44671831,8.2,0,0.0,0,0.0,36,6.3,1859,6.2
"C4726","3","10","41","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",350,77652,2244177335,0,0,556,28901,"",0.58,1.15,1.28,0.00,0.00,1.11,1.11,"",1,0.3,1907,2.5,127542377,6.0,0,0.0,0,0.0,19,3.5,957,3.4
"C4726","5","10","41","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32779,549653,14794072060,0,0,518,26915,"",1.01,0.94,0.89,0.00,0.00,0.95,0.95,"",369,1.1,8527,1.6,793509163,5.7,0,0.0,0,0.0,20,4.0,1042,4.0
"C4726","5","101","42","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",5576,109028,3842877166,0,0,678,35247,"",1.00,0.80,0.86,0.00,0.00,1.08,1.08,"",78,1.4,3128,3.0,224771844,6.2,0,0.0,0,0.0,21,3.2,1082,3.2
"C4726","5","1011","43","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",141,1389,30692854,0,0,425,22093,"",0.26,0.15,0.14,0.00,0.00,0.89,0.89,"",2,1.4,-13,-0.9,709339,2.4,0,0.0,0,0.0,14,3.4,702,3.3
"C4726","5","1012","43","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",4309,41994,1258565156,0,0,576,29970,"",1.31,1.18,1.20,0.00,0.00,1.01,1.01,"",84,2.0,1256,3.1,85172919,7.3,0,0.0,0,0.0,22,4.0,1166,4.0
"C4726","5","1013","43","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1126,65644,2553619156,0,0,748,38901,"",0.65,0.71,0.80,0.00,0.00,1.13,1.13,"",-9,-0.8,1883,3.0,138889586,5.8,0,0.0,0,0.0,20,2.7,1029,2.7
"C4726","5","102","42","0","2000","A","","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",27203,440626,10951194894,0,0,478,24854,"",1.01,0.98,0.90,0.00,0.00,0.92,0.92,"",292,1.1,5401,1.2,568737319,5.5,0,0.0,0,0.0,19,4.1,999,4.2
