"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4862","0","10","40","0","2000","A","","Wichita, KS MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",14199,286278,9010055834,0,0,605,31473,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",27,0.2,-386,-0.1,222277866,2.5,0,0.0,0,0.0,15,2.5,818,2.7
"C4862","1","10","41","0","2000","A","","Wichita, KS MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56,5406,216849719,0,0,771,40110,"",0.62,0.86,0.83,0.00,0.00,0.97,0.97,"",5,9.8,501,10.2,18069133,9.1,0,0.0,0,0.0,-8,-1.0,-415,-1.0
"C4862","2","10","41","0","2000","A","","Wichita, KS MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",87,4114,146015435,0,0,683,35492,"",0.74,0.43,0.47,0.00,0.00,1.10,1.10,"",-1,-1.1,36,0.9,5976029,4.3,0,0.0,0,0.0,23,3.5,1153,3.4
"C4862","3","10","41","0","2000","A","","Wichita, KS MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",243,25757,695522110,0,0,519,27003,"",0.96,0.93,0.87,0.00,0.00,0.93,0.94,"",2,0.8,332,1.3,39974336,6.1,0,0.0,0,0.0,23,4.6,1219,4.7
"C4862","5","10","41","0","2000","A","","Wichita, KS MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",13814,251000,7951668570,0,0,609,31680,"",1.01,1.03,1.04,0.00,0.00,1.01,1.01,"",21,0.2,-1257,-0.5,158258368,2.0,0,0.0,0,0.0,15,2.5,785,2.5
"C4862","5","101","42","0","2000","A","","Wichita, KS MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2567,88332,3771501911,0,0,821,42697,"",1.09,1.56,1.84,0.00,0.00,1.18,1.18,"",-8,-0.3,-2697,-3.0,18781613,0.5,0,0.0,0,0.0,28,3.5,1471,3.6
"C4862","5","1011","43","0","2000","A","","Wichita, KS MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",222,1354,54918380,0,0,780,40563,"",0.95,0.36,0.53,0.00,0.00,1.47,1.47,"",-3,-1.3,148,12.3,11510289,26.5,0,0.0,0,0.0,88,12.7,4562,12.7
"C4862","5","1012","43","0","2000","A","","Wichita, KS MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1558,14696,446974658,0,0,585,30414,"",1.12,1.00,0.93,0.00,0.00,0.92,0.92,"",-9,-0.6,-380,-2.5,8838126,2.0,0,0.0,0,0.0,26,4.7,1352,4.7
"C4862","5","1013","43","0","2000","A","","Wichita, KS MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",786,72282,3269608873,0,0,870,45234,"",1.08,1.89,2.24,0.00,0.00,1.18,1.18,"",3,0.4,-2465,-3.3,-1566802,0.0,0,0.0,0,0.0,28,3.3,1471,3.4
"C4862","5","102","42","0","2000","A","","Wichita, KS MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",11247,162668,4180166659,0,0,494,25698,"",0.99,0.87,0.75,0.00,0.00,0.85,0.85,"",28,0.2,1440,0.9,139476755,3.5,0,0.0,0,0.0,12,2.5,636,2.5
"C4862","5","1021","43","0","2000","A","","Wichita, KS MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",3582,49835,1284171335,0,0,496,25769,"",1.07,0.88,0.82,0.00,0.00,0.94,0.94,"",-4,-0.1,82,0.2,50275185,4.1,0,0.0,0,0.0,19,4.0,968,3.9
"C4862","5","1023","43","0","2000","A","","Wichita, KS MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1579,12272,412316809,0,0,646,33597,"",1.23,0.74,0.53,0.00,0.00,0.72,0.72,"",19,1.2,664,5.7,24940498,6.4,0,0.0,0,0.0,4,0.6,227,0.7
"C4862","5","1024","43","0","2000","A","","Wichita, KS MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",2158,28434,805010266,0,0,544,28312,"",0.98,0.78,0.58,0.00,0.00,0.75,0.75,"",46,2.2,530,1.9,9142977,1.1,0,0.0,0,0.0,-4,-0.7,-210,-0.7
"C4862","5","1025","43","0","2000","A","","Wichita, KS MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1186,34568,1058735699,0,0,589,30628,"",0.98,1.09,1.20,0.00,0.00,1.10,1.10,"",-8,-0.7,-212,-0.6,36040857,3.5,0,0.0,0,0.0,24,4.2,1223,4.2
"C4862","5","1026","43","0","2000","A","","Wichita, KS MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1200,24657,269665091,0,0,210,10937,"",1.06,0.94,0.77,0.00,0.00,0.81,0.81,"",0,0.0,299,1.2,2802471,1.1,0,0.0,0,0.0,-1,-0.5,-19,-0.2
"C4862","5","1114","46","0","2000","A","","Wichita, KS MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,40,867221,0,0,421,21909,"",0.25,0.10,0.12,0.00,0.00,1.16,1.16,"",0,0.0,2,5.3,130469,17.7,0,0.0,0,0.0,48,12.9,2521,13.0
"C4862","5","11142","47","0","2000","A","","Wichita, KS MSA","Private","Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",4,40,867221,0,0,421,21909,"",0.27,0.12,0.13,0.00,0.00,1.17,1.17,"",0,0.0,2,5.3,130469,17.7,0,0.0,0,0.0,48,12.9,2521,13.0
"C4862","5","112","45","0","2000","A","","Wichita, KS MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",20,104,2571716,0,0,477,24828,"",0.54,0.24,0.30,0.00,0.00,1.26,1.26,"",1,5.3,-8,-7.1,-14973,-0.6,0,0.0,0,0.0,31,7.0,1629,7.0
