"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06033","0","10","70","0","2008","A","","Lake County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2850,15285,504617907,92877736,4183081,635,33014,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",75,2.7,-285,-1.8,14352910,2.9,-3602634,-3.7,-262635,-5.9,29,4.8,1526,4.8
"06033","1","10","71","0","2008","A","","Lake County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,149,7990249,0,0,1031,53626,"",0.89,0.48,0.53,0.00,0.00,1.12,1.12,"",0,0.0,-5,-3.2,294015,3.8,0,0.0,0,0.0,69,7.2,3623,7.2
"06033","1","102","72","0","2008","A","","Lake County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,149,7990249,0,0,1031,53626,"",0.89,0.48,0.54,0.00,0.00,1.12,1.12,"",0,0.0,-5,-3.2,294015,3.8,0,0.0,0,0.0,69,7.2,3623,7.2
"06033","1","1021","73","0","2008","A","","Lake County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.32,0.96,1.22,0.00,0.00,1.28,1.28,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","1028","73","0","2008","A","","Lake County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,59,3635627,0,0,1180,61361,"",0.57,0.36,0.41,0.00,0.00,1.12,1.12,"",0,0.0,2,3.5,462980,14.6,0,0.0,0,0.0,113,10.6,5863,10.6
"06033","1","48-49","74","0","2008","A","","Lake County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.35,1.04,1.30,0.00,0.00,1.25,1.25,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","491","75","0","2008","A","","Lake County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.36,1.06,1.34,0.00,0.00,1.27,1.27,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","4911","76","0","2008","A","","Lake County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.36,1.06,1.34,0.00,0.00,1.27,1.27,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","49111","77","0","2008","A","","Lake County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.36,1.06,1.34,0.00,0.00,1.27,1.27,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","491110","78","0","2008","A","","Lake County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,90,4354622,0,0,933,48519,"",1.36,1.06,1.34,0.00,0.00,1.27,1.27,"",0,0.0,-7,-7.2,-168965,-3.7,0,0.0,0,0.0,34,3.8,1764,3.8
"06033","1","92","74","0","2008","A","","Lake County, California","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,59,3635627,0,0,1180,61361,"",0.57,0.36,0.41,0.00,0.00,1.12,1.12,"",0,0.0,2,3.5,462980,14.6,0,0.0,0,0.0,113,10.6,5863,10.6
"06033","1","923","75","0","2008","A","","Lake County, California","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,593258,0,0,1113,57879,"",1.27,0.61,0.65,0.00,0.00,1.04,1.04,"",0,0.0,1,11.1,80570,15.7,0,0.0,0,0.0,66,6.3,3434,6.3
"06033","1","9231","76","0","2008","A","","Lake County, California","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,593258,0,0,1113,57879,"",1.27,0.61,0.65,0.00,0.00,1.04,1.04,"",0,0.0,1,11.1,80570,15.7,0,0.0,0,0.0,66,6.3,3434,6.3
"06033","1","92313","77","0","2008","A","","Lake County, California","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,593258,0,0,1113,57879,"",1.88,1.25,1.49,0.00,0.00,1.16,1.16,"",0,0.0,1,11.1,80570,15.7,0,0.0,0,0.0,66,6.3,3434,6.3
"06033","1","923130","78","0","2008","A","","Lake County, California","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,593258,0,0,1113,57879,"",1.88,1.25,1.49,0.00,0.00,1.16,1.16,"",0,0.0,1,11.1,80570,15.7,0,0.0,0,0.0,66,6.3,3434,6.3
"06033","1","924","75","0","2008","A","","Lake County, California","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,47,2981608,0,0,1222,63551,"",0.96,3.84,5.10,0.00,0.00,1.33,1.33,"",0,0.0,1,2.2,373826,14.3,0,0.0,0,0.0,126,11.5,6550,11.5
"06033","1","9241","76","0","2008","A","","Lake County, California","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,47,2981608,0,0,1222,63551,"",0.96,3.84,5.10,0.00,0.00,1.33,1.33,"",0,0.0,1,2.2,373826,14.3,0,0.0,0,0.0,126,11.5,6550,11.5
"06033","1","92412","77","0","2008","A","","Lake County, California","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,47,2981608,0,0,1222,63551,"",0.99,4.58,6.40,0.00,0.00,1.40,1.40,"",0,0.0,1,2.2,373826,14.3,0,0.0,0,0.0,126,11.5,6550,11.5
"06033","1","924120","78","0","2008","A","","Lake County, California","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,47,2981608,0,0,1222,63551,"",0.99,4.58,6.40,0.00,0.00,1.40,1.40,"",0,0.0,1,2.2,373826,14.3,0,0.0,0,0.0,126,11.5,6550,11.5
"06033","1","926","75","0","2008","A","","Lake County, California","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2,60761,0,0,561,29165,"",0.67,0.08,0.04,0.00,0.00,0.52,0.52,"",0,0.0,0,0.0,8584,16.5,0,0.0,0,0.0,59,11.8,3076,11.8
