"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06047","0","10","70","0","2008","A","","Merced County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6045,69893,2369564976,436445560,18899703,652,33903,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",269,4.7,-736,-1.0,84643797,3.7,-2089219,-0.5,-544219,-2.8,30,4.8,1552,4.8
"06047","1","10","71","0","2008","A","","Merced County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,763,45495554,0,0,1147,59627,"",0.72,0.53,0.64,0.00,0.00,1.21,1.21,"",1,3.3,7,0.9,4247114,10.3,0,0.0,0,0.0,97,9.2,5048,9.2
"06047","1","102","72","0","2008","A","","Merced County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,763,45495554,0,0,1147,59627,"",0.73,0.54,0.66,0.00,0.00,1.21,1.21,"",1,3.3,7,0.9,4247114,10.3,0,0.0,0,0.0,97,9.2,5048,9.2
"06047","1","1021","73","0","2008","A","","Merced County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,275,12885177,0,0,902,46912,"",0.86,0.64,0.77,0.00,0.00,1.20,1.20,"",0,0.0,1,0.4,-36467,-0.3,0,0.0,0,0.0,-4,-0.4,-190,-0.4
"06047","1","1023","73","0","2008","A","","Merced County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,221195,0,0,1063,55299,"",1.40,0.58,0.52,0.00,0.00,0.90,0.90,"",0,0.0,0,0.0,22115,11.1,0,0.0,0,0.0,42,4.1,2211,4.2
"06047","1","1028","73","0","2008","A","","Merced County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,484,32389182,0,0,1286,66874,"",0.65,0.65,0.77,0.00,0.00,1.19,1.19,"",1,9.1,6,1.3,4261466,15.2,0,0.0,0,0.0,154,13.6,7988,13.6
"06047","1","48-49","74","0","2008","A","","Merced County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,275,12885177,0,0,902,46912,"",0.88,0.70,0.82,0.00,0.00,1.18,1.18,"",0,0.0,1,0.4,-36467,-0.3,0,0.0,0,0.0,-4,-0.4,-190,-0.4
"06047","1","491","75","0","2008","A","","Merced County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,275,12885177,0,0,902,46912,"",0.89,0.71,0.85,0.00,0.00,1.19,1.19,"",0,0.0,1,0.4,-36467,-0.3,0,0.0,0,0.0,-4,-0.4,-190,-0.4
"06047","1","4911","76","0","2008","A","","Merced County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,275,12885177,0,0,902,46912,"",0.89,0.71,0.85,0.00,0.00,1.19,1.19,"",0,0.0,1,0.4,-36467,-0.3,0,0.0,0,0.0,-4,-0.4,-190,-0.4
"06047","1","49111","77","0","2008","A","","Merced County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,275,12885177,0,0,902,46912,"",0.89,0.71,0.85,0.00,0.00,1.19,1.19,"",0,0.0,1,0.4,-36467,-0.3,0,0.0,0,0.0,-4,-0.4,-190,-0.4
