"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12013","0","10","70","0","2008","A","","Calhoun County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",259,3029,82653997,15473541,153868,525,27291,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.8,121,4.2,2834731,3.6,-233445,-1.5,-23202,-13.1,-3,-0.6,-154,-0.6
"12013","1","10","71","0","2008","A","","Calhoun County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,24,1068727,0,0,845,43920,"",2.73,0.39,0.43,0.00,0.00,1.11,1.11,"",0,0.0,1,4.3,57657,5.7,0,0.0,0,0.0,3,0.4,119,0.3
"12013","1","102","72","0","2008","A","","Calhoun County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,24,1068727,0,0,845,43920,"",2.73,0.39,0.44,0.00,0.00,1.11,1.11,"",0,0.0,1,4.3,57657,5.7,0,0.0,0,0.0,3,0.4,119,0.3
"12013","1","1021","73","0","2008","A","","Calhoun County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.34,1.02,1.44,0.00,0.00,1.43,1.44,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","1028","73","0","2008","A","","Calhoun County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,231622,0,0,775,40282,"",2.52,0.19,0.16,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-5326,-2.2,0,0.0,0,0.0,-17,-2.1,-926,-2.2
"12013","1","48-49","74","0","2008","A","","Calhoun County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.42,1.11,1.52,0.00,0.00,1.40,1.40,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","491","75","0","2008","A","","Calhoun County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.45,1.13,1.58,0.00,0.00,1.42,1.42,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","4911","76","0","2008","A","","Calhoun County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.45,1.13,1.58,0.00,0.00,1.42,1.42,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","49111","77","0","2008","A","","Calhoun County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.45,1.13,1.58,0.00,0.00,1.42,1.42,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","491110","78","0","2008","A","","Calhoun County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,19,837105,0,0,866,45046,"",3.45,1.13,1.58,0.00,0.00,1.42,1.42,"",0,0.0,2,11.8,62983,8.1,0,0.0,0,0.0,7,0.8,385,0.9
"12013","1","92","74","0","2008","A","","Calhoun County, Florida","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,231622,0,0,775,40282,"",2.52,0.19,0.16,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-5326,-2.2,0,0.0,0,0.0,-17,-2.1,-926,-2.2
"12013","1","924","75","0","2008","A","","Calhoun County, Florida","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,72169,0,0,1388,72169,"",5.30,0.41,0.75,0.00,0.00,1.83,1.83,"",0,0.0,0,0.0,1912,2.7,0,0.0,0,0.0,37,2.7,1912,2.7
"12013","1","9241","76","0","2008","A","","Calhoun County, Florida","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,72169,0,0,1388,72169,"",5.30,0.41,0.75,0.00,0.00,1.83,1.83,"",0,0.0,0,0.0,1912,2.7,0,0.0,0,0.0,37,2.7,1912,2.7
"12013","1","92412","77","0","2008","A","","Calhoun County, Florida","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,72169,0,0,1388,72169,"",5.47,0.49,0.95,0.00,0.00,1.92,1.92,"",0,0.0,0,0.0,1912,2.7,0,0.0,0,0.0,37,2.7,1912,2.7
"12013","1","924120","78","0","2008","A","","Calhoun County, Florida","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,72169,0,0,1388,72169,"",5.47,0.49,0.95,0.00,0.00,1.92,1.92,"",0,0.0,0,0.0,1912,2.7,0,0.0,0,0.0,37,2.7,1912,2.7
