"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12133","0","10","70","0","2008","A","","Washington County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",479,6245,181867900,30669766,390428,560,29124,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.4,-164,-2.6,-2086155,-1.1,-3299774,-9.7,-47294,-10.8,8,1.4,420,1.5
"12133","1","10","71","0","2008","A","","Washington County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,45,1787524,0,0,761,39576,"",2.95,0.35,0.33,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,-130781,-6.8,0,0.0,0,0.0,-66,-8.0,-3451,-8.0
"12133","1","102","72","0","2008","A","","Washington County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,45,1787524,0,0,761,39576,"",2.95,0.36,0.34,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-130781,-6.8,0,0.0,0,0.0,-66,-8.0,-3451,-8.0
"12133","1","1021","73","0","2008","A","","Washington County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.01,1.02,1.25,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","1023","73","0","2008","A","","Washington County, Florida","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",17.70,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-113018,-100.0,0,0.0,0,0.0,-1087,-100.0,-56509,-100.0
"12133","1","1028","73","0","2008","A","","Washington County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,6,186748,0,0,607,31563,"",2.73,0.09,0.06,0.00,0.00,0.65,0.65,"",0,0.0,1,20.0,-27505,-12.8,0,0.0,0,0.0,-178,-22.7,-9247,-22.7
"12133","1","48-49","74","0","2008","A","","Washington County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.08,1.10,1.32,0.00,0.00,1.19,1.19,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","491","75","0","2008","A","","Washington County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.11,1.13,1.37,0.00,0.00,1.21,1.21,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","4911","76","0","2008","A","","Washington County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.11,1.13,1.37,0.00,0.00,1.21,1.21,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","49111","77","0","2008","A","","Washington County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.11,1.13,1.37,0.00,0.00,1.21,1.21,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","491110","78","0","2008","A","","Washington County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,39,1600776,0,0,784,40784,"",3.11,1.13,1.37,0.00,0.00,1.21,1.21,"",0,0.0,2,5.4,9742,0.6,0,0.0,0,0.0,-36,-4.4,-1833,-4.3
"12133","1","52","74","0","2008","A","","Washington County, Florida","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",17.80,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-113018,-100.0,0,0.0,0,0.0,-1087,-100.0,-56509,-100.0
"12133","1","522","75","0","2008","A","","Washington County, Florida","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",20.59,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-113018,-100.0,0,0.0,0,0.0,-1087,-100.0,-56509,-100.0
"12133","1","5222","76","0","2008","A","","Washington County, Florida","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",20.63,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-113018,-100.0,0,0.0,0,0.0,-1087,-100.0,-56509,-100.0
