"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13175","0","10","70","0","2008","A","","Laurens County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1135,19570,647928398,137987929,1916424,637,33108,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,1.2,-518,-2.6,9879438,1.5,-3921776,-2.8,-155591,-7.5,26,4.3,1345,4.2
"13175","1","10","71","0","2008","A","","Laurens County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,1029,68946981,0,0,1289,67015,"",2.11,2.57,3.57,0.00,0.00,1.39,1.39,"",0,0.0,40,4.0,4181037,6.5,0,0.0,0,0.0,29,2.3,1518,2.3
"13175","1","102","72","0","2008","A","","Laurens County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1029,68946981,0,0,1289,67015,"",2.12,2.61,3.63,0.00,0.00,1.39,1.39,"",0,0.0,40,4.0,4181037,6.5,0,0.0,0,0.0,29,2.3,1518,2.3
"13175","1","1021","73","0","2008","A","","Laurens County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.78,0.64,0.77,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","1025","73","0","2008","A","","Laurens County, Georgia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",22.26,20.66,31.69,0.00,0.00,1.53,1.53,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","1028","73","0","2008","A","","Laurens County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,41,2226033,0,0,1036,53856,"",2.30,0.20,0.19,0.00,0.00,0.98,0.98,"",0,0.0,-3,-6.8,-91666,-4.0,0,0.0,0,0.0,11,1.1,576,1.1
"13175","1","48-49","74","0","2008","A","","Laurens County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.82,0.70,0.82,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","491","75","0","2008","A","","Laurens County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.84,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","4911","76","0","2008","A","","Laurens County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.84,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","49111","77","0","2008","A","","Laurens County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.84,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","491110","78","0","2008","A","","Laurens County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,77,3536453,0,0,884,45978,"",1.84,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,94547,2.7,0,0.0,0,0.0,26,3.0,1374,3.1
"13175","1","62","74","0","2008","A","","Laurens County, Georgia","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",25.81,21.35,32.76,0.00,0.00,1.53,1.53,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","622","75","0","2008","A","","Laurens County, Georgia","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",55.76,22.95,34.57,0.00,0.00,1.50,1.51,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","6221","76","0","2008","A","","Laurens County, Georgia","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",58.19,23.58,35.64,0.00,0.00,1.51,1.51,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","62211","77","0","2008","A","","Laurens County, Georgia","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",58.19,23.58,35.64,0.00,0.00,1.51,1.51,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","622110","78","0","2008","A","","Laurens County, Georgia","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,911,63184495,0,0,1334,69389,"",58.19,23.58,35.64,0.00,0.00,1.51,1.51,"",0,0.0,43,5.0,4178156,7.1,0,0.0,0,0.0,27,2.1,1422,2.1
"13175","1","92","74","0","2008","A","","Laurens County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,41,2226033,0,0,1036,53856,"",2.30,0.20,0.19,0.00,0.00,0.98,0.98,"",0,0.0,-3,-6.8,-91666,-4.0,0,0.0,0,0.0,11,1.1,576,1.1
"13175","1","922","75","0","2008","A","","Laurens County, Georgia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,247752,0,0,2382,123876,"",1.96,0.06,0.12,0.00,0.00,1.96,1.96,"",0,0.0,0,0.0,18294,8.0,0,0.0,0,0.0,176,8.0,9147,8.0
"13175","1","9221","76","0","2008","A","","Laurens County, Georgia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,247752,0,0,2382,123876,"",1.96,0.06,0.12,0.00,0.00,1.96,1.96,"",0,0.0,0,0.0,18294,8.0,0,0.0,0,0.0,176,8.0,9147,8.0
"13175","1","92212","77","0","2008","A","","Laurens County, Georgia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,247752,0,0,2382,123876,"",3.87,0.11,0.21,0.00,0.00,1.84,1.84,"",0,0.0,0,0.0,18294,8.0,0,0.0,0,0.0,176,8.0,9147,8.0
