"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"16029","0","10","70","0","2008","A","","Caribou County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",272,3303,138854961,65845519,611592,808,42039,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.4,87,2.7,10107952,7.9,7698389,13.2,-226434,-27.0,38,4.9,2006,5.0
"16029","1","10","71","0","2008","A","","Caribou County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,49,2084589,0,0,815,42398,"",4.67,0.72,0.50,0.00,0.00,0.69,0.69,"",0,0.0,4,8.9,118602,6.0,0,0.0,0,0.0,-21,-2.5,-1049,-2.4
"16029","1","102","72","0","2008","A","","Caribou County, Idaho","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,49,2084589,0,0,815,42398,"",4.68,0.74,0.51,0.00,0.00,0.69,0.69,"",0,0.0,4,8.9,118602,6.0,0,0.0,0,0.0,-21,-2.5,-1049,-2.4
"16029","1","1021","73","0","2008","A","","Caribou County, Idaho","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.18,0.74,0.57,0.00,0.00,0.79,0.79,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","1023","73","0","2008","A","","Caribou County, Idaho","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",31.18,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","1028","73","0","2008","A","","Caribou County, Idaho","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,35,1529662,0,0,851,44231,"",6.01,0.99,0.62,0.00,0.00,0.63,0.63,"",0,0.0,4,12.9,106008,7.4,0,0.0,0,0.0,-32,-3.6,-1693,-3.7
"16029","1","48-49","74","0","2008","A","","Caribou County, Idaho","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.26,0.80,0.60,0.00,0.00,0.77,0.77,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","491","75","0","2008","A","","Caribou County, Idaho","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.28,0.82,0.62,0.00,0.00,0.78,0.78,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","4911","76","0","2008","A","","Caribou County, Idaho","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.28,0.82,0.62,0.00,0.00,0.78,0.78,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","49111","77","0","2008","A","","Caribou County, Idaho","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.28,0.82,0.62,0.00,0.00,0.78,0.78,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","491110","78","0","2008","A","","Caribou County, Idaho","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,15,554927,0,0,732,38052,"",3.28,0.82,0.62,0.00,0.00,0.78,0.78,"",0,0.0,1,7.1,12594,2.3,0,0.0,0,0.0,0,0.0,-6,0.0
"16029","1","52","74","0","2008","A","","Caribou County, Idaho","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",31.35,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","522","75","0","2008","A","","Caribou County, Idaho","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",36.25,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","5222","76","0","2008","A","","Caribou County, Idaho","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",36.33,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","52229","77","0","2008","A","","Caribou County, Idaho","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",36.33,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","522298","78","0","2008","A","","Caribou County, Idaho","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",78.75,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"16029","1","92","74","0","2008","A","","Caribou County, Idaho","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,35,1529662,0,0,851,44231,"",6.01,0.99,0.62,0.00,0.00,0.63,0.63,"",0,0.0,4,12.9,106008,7.4,0,0.0,0,0.0,-32,-3.6,-1693,-3.7
"16029","1","924","75","0","2008","A","","Caribou County, Idaho","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,1321251,0,0,905,47048,"",20.20,10.59,8.21,0.00,0.00,0.77,0.77,"",0,0.0,3,12.0,89374,7.3,0,0.0,0,0.0,-62,-6.4,-3233,-6.4
