"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18137","0","10","70","0","2008","A","","Ripley County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",754,12705,479690554,85250773,2588899,726,37756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-139,-1.1,13673737,2.9,-2804459,-3.2,-235585,-8.3,28,4.0,1474,4.1
"18137","1","10","71","0","2008","A","","Ripley County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,86,3494474,0,0,780,40555,"",2.81,0.33,0.24,0.00,0.00,0.74,0.74,"",1,7.1,-1,-1.1,-44618,-1.3,0,0.0,0,0.0,-7,-0.9,-359,-0.9
"18137","1","102","72","0","2008","A","","Ripley County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,86,3494474,0,0,780,40555,"",2.81,0.34,0.25,0.00,0.00,0.74,0.74,"",1,7.1,-1,-1.1,-44618,-1.3,0,0.0,0,0.0,-7,-0.9,-359,-0.9
"18137","1","1021","73","0","2008","A","","Ripley County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,76,3039261,0,0,771,40078,"",4.21,0.97,0.90,0.00,0.00,0.92,0.92,"",0,0.0,2,2.7,58942,2.0,0,0.0,0,0.0,-6,-0.8,-333,-0.8
"18137","1","1023","73","0","2008","A","","Ripley County, Indiana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,18361,0,0,1059,55083,"",11.25,0.00,0.21,0.00,0.00,0.80,0.80,"",0,0.0,-3,-100.0,-109938,-85.7,0,0.0,0,0.0,237,28.8,12317,28.8
"18137","1","1028","73","0","2008","A","","Ripley County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,436852,0,0,840,43685,"",1.30,0.07,0.05,0.00,0.00,0.70,0.70,"",1,50.0,0,0.0,6378,1.5,0,0.0,0,0.0,-9,-1.1,-466,-1.1
"18137","1","48-49","74","0","2008","A","","Ripley County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,76,3039261,0,0,771,40078,"",4.31,1.06,0.95,0.00,0.00,0.90,0.90,"",0,0.0,2,2.7,58942,2.0,0,0.0,0,0.0,-6,-0.8,-333,-0.8
"18137","1","491","75","0","2008","A","","Ripley County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,76,3039261,0,0,771,40078,"",4.34,1.08,0.99,0.00,0.00,0.92,0.92,"",0,0.0,2,2.7,58942,2.0,0,0.0,0,0.0,-6,-0.8,-333,-0.8
"18137","1","4911","76","0","2008","A","","Ripley County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,76,3039261,0,0,771,40078,"",4.34,1.08,0.99,0.00,0.00,0.92,0.92,"",0,0.0,2,2.7,58942,2.0,0,0.0,0,0.0,-6,-0.8,-333,-0.8
"18137","1","49111","77","0","2008","A","","Ripley County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,76,3039261,0,0,771,40078,"",4.34,1.08,0.99,0.00,0.00,0.92,0.92,"",0,0.0,2,2.7,58942,2.0,0,0.0,0,0.0,-6,-0.8,-333,-0.8
