"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18163","0","10","70","0","2008","A","","Vanderburgh County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4762,107333,4042385855,715455902,19237970,724,37662,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,396,0.4,163959184,4.2,416567,0.1,213125,1.1,27,3.9,1394,3.8
"18163","1","10","71","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,913,56065663,0,0,1181,61408,"",0.89,0.42,0.47,0.00,0.00,1.12,1.12,"",1,3.4,13,1.4,473132,0.9,0,0.0,0,0.0,-6,-0.5,-339,-0.5
"18163","1","102","72","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,913,56065663,0,0,1181,61408,"",0.89,0.42,0.47,0.00,0.00,1.12,1.12,"",1,3.4,13,1.4,473132,0.9,0,0.0,0,0.0,-6,-0.5,-339,-0.5
"18163","1","1021","73","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.36,0.80,1.04,0.00,0.00,1.29,1.29,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","1024","73","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",1.21,0.02,0.02,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","1025","73","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,127,9652592,0,0,1467,76305,"",2.65,0.53,0.78,0.00,0.00,1.48,1.48,"",0,0.0,6,5.0,191293,2.0,0,0.0,0,0.0,-43,-2.8,-2212,-2.8
"18163","1","1028","73","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,258,16824100,0,0,1256,65336,"",1.51,0.22,0.23,0.00,0.00,1.05,1.05,"",1,4.8,9,3.6,342679,2.1,0,0.0,0,0.0,-18,-1.4,-921,-1.4
"18163","1","48-49","74","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.37,0.87,1.10,0.00,0.00,1.26,1.26,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","491","75","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.38,0.89,1.14,0.00,0.00,1.28,1.28,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","4911","76","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.38,0.89,1.14,0.00,0.00,1.28,1.28,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","49111","77","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.38,0.89,1.14,0.00,0.00,1.28,1.28,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","491110","78","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,528,29514605,0,0,1075,55899,"",0.38,0.89,1.14,0.00,0.00,1.28,1.28,"",0,0.0,-2,-0.4,-65175,-0.2,0,0.0,0,0.0,2,0.2,97,0.2
"18163","1","54","74","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",1.28,0.02,0.02,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","541","75","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",1.28,0.02,0.02,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","5419","76","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",7.09,0.21,0.22,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","54199","77","0","2008","A","","Vanderburgh County, Indiana","Federal Government","All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",8.19,0.22,0.22,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","541990","78","0","2008","A","","Vanderburgh County, Indiana","Federal Government","All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,74366,0,0,1430,74366,"",8.19,0.22,0.22,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,4335,6.2,0,0.0,0,0.0,83,6.2,4335,6.2
"18163","1","62","74","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,127,9652592,0,0,1467,76305,"",3.08,0.54,0.80,0.00,0.00,1.48,1.48,"",0,0.0,6,5.0,191293,2.0,0,0.0,0,0.0,-43,-2.8,-2212,-2.8
"18163","1","621","75","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,127,9652592,0,0,1467,76305,"",13.92,15.17,21.69,0.00,0.00,1.43,1.44,"",0,0.0,6,5.0,191293,2.0,0,0.0,0,0.0,-43,-2.8,-2212,-2.8
"18163","1","6211","76","0","2008","A","","Vanderburgh County, Indiana","Federal Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,127,9652592,0,0,1467,76305,"",34.68,44.77,53.65,0.00,0.00,1.20,1.20,"",0,0.0,6,5.0,191293,2.0,0,0.0,0,0.0,-43,-2.8,-2212,-2.8
