"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19113","0","10","70","0","2008","A","","Linn County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6274,125840,5476673344,2156679270,37904146,837,43521,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,0.5,2441,2.0,258049316,4.9,131740827,6.5,1636686,4.5,24,3.0,1230,2.9
"19113","1","10","71","0","2008","A","","Linn County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,1134,71334066,0,0,1210,62914,"",1.13,0.44,0.44,0.00,0.00,0.99,0.99,"",1,2.0,8,0.7,2783048,4.1,0,0.0,0,0.0,39,3.3,2025,3.3
"19113","1","102","72","0","2008","A","","Linn County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,1134,71334066,0,0,1210,62914,"",1.13,0.45,0.44,0.00,0.00,0.99,1.00,"",1,2.0,8,0.7,2783048,4.1,0,0.0,0,0.0,39,3.3,2025,3.3
"19113","1","1021","73","0","2008","A","","Linn County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",0.97,0.82,0.92,0.00,0.00,1.12,1.12,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","1023","73","0","2008","A","","Linn County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,33,2695304,0,0,1575,81883,"",2.70,2.67,2.75,0.00,0.00,1.03,1.03,"",0,0.0,3,10.0,423716,18.7,0,0.0,0,0.0,119,8.2,6163,8.1
"19113","1","1028","73","0","2008","A","","Linn County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,471,33229608,0,0,1358,70626,"",1.41,0.35,0.34,0.00,0.00,0.98,0.98,"",1,3.8,27,6.1,2474156,8.0,0,0.0,0,0.0,25,1.9,1305,1.9
"19113","1","48-49","74","0","2008","A","","Linn County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",0.99,0.89,0.97,0.00,0.00,1.10,1.10,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","491","75","0","2008","A","","Linn County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",1.00,0.90,1.01,0.00,0.00,1.11,1.11,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","4911","76","0","2008","A","","Linn County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",1.00,0.90,1.01,0.00,0.00,1.11,1.11,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","49111","77","0","2008","A","","Linn County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",1.00,0.90,1.01,0.00,0.00,1.11,1.11,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","491110","78","0","2008","A","","Linn County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,630,35409154,0,0,1080,56168,"",1.00,0.90,1.01,0.00,0.00,1.11,1.11,"",0,0.0,-22,-3.4,-114824,-0.3,0,0.0,0,0.0,32,3.1,1697,3.1
"19113","1","52","74","0","2008","A","","Linn County, Iowa","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,33,2695304,0,0,1575,81883,"",2.72,2.74,2.77,0.00,0.00,1.01,1.01,"",0,0.0,3,10.0,423716,18.7,0,0.0,0,0.0,119,8.2,6163,8.1
"19113","1","522","75","0","2008","A","","Linn County, Iowa","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,70862,0,0,1817,94483,"",1.57,0.15,0.16,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,22003,45.0,0,0.0,0,0.0,-62,-3.3,-3235,-3.3
