"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19123","0","10","70","0","2008","A","","Mahaska County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",660,7917,257289381,115702535,1453834,625,32497,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.2,-118,-1.5,4957072,2.0,2759759,2.4,34658,2.4,21,3.5,1094,3.5
"19123","1","10","71","0","2008","A","","Mahaska County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,67,2677073,0,0,771,40106,"",2.99,0.41,0.35,0.00,0.00,0.85,0.85,"",0,0.0,-5,-6.9,-222900,-7.7,0,0.0,0,0.0,-4,-0.5,-218,-0.5
"19123","1","102","72","0","2008","A","","Mahaska County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,67,2677073,0,0,771,40106,"",3.00,0.42,0.36,0.00,0.00,0.85,0.85,"",0,0.0,-5,-6.9,-222900,-7.7,0,0.0,0,0.0,-4,-0.5,-218,-0.5
"19123","1","1021","73","0","2008","A","","Mahaska County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",3.93,1.07,1.14,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","1028","73","0","2008","A","","Mahaska County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,15,612315,0,0,812,42229,"",2.48,0.18,0.13,0.00,0.00,0.78,0.78,"",0,0.0,-5,-25.0,-309369,-33.6,0,0.0,0,0.0,-85,-9.5,-4439,-9.5
"19123","1","48-49","74","0","2008","A","","Mahaska County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",4.03,1.16,1.21,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","491","75","0","2008","A","","Mahaska County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",4.06,1.18,1.25,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","4911","76","0","2008","A","","Mahaska County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",4.06,1.18,1.25,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","49111","77","0","2008","A","","Mahaska County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",4.06,1.18,1.25,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","491110","78","0","2008","A","","Mahaska County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,52,2064758,0,0,760,39517,"",4.06,1.18,1.25,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,86469,4.4,0,0.0,0,0.0,31,4.3,1595,4.2
"19123","1","92","74","0","2008","A","","Mahaska County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,15,612315,0,0,812,42229,"",2.48,0.18,0.13,0.00,0.00,0.78,0.78,"",0,0.0,-5,-25.0,-309369,-33.6,0,0.0,0,0.0,-85,-9.5,-4439,-9.5
"19123","1","923","75","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.48,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-5,-100.0,-312752,-100.0,0,0.0,0,0.0,-1203,-100.0,-62550,-100.0
"19123","1","9231","76","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.48,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-5,-100.0,-312752,-100.0,0,0.0,0,0.0,-1203,-100.0,-62550,-100.0
"19123","1","92313","77","0","2008","A","","Mahaska County, Iowa","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.11,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-5,-100.0,-312752,-100.0,0,0.0,0,0.0,-1203,-100.0,-62550,-100.0
"19123","1","923130","78","0","2008","A","","Mahaska County, Iowa","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.11,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-5,-100.0,-312752,-100.0,0,0.0,0,0.0,-1203,-100.0,-62550,-100.0
"19123","1","924","75","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,181025,0,0,928,48273,"",2.08,0.63,0.61,0.00,0.00,1.02,1.03,"",0,0.0,0,0.0,-1911,-1.0,0,0.0,0,0.0,48,5.5,2539,5.6
"19123","1","9241","76","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,181025,0,0,928,48273,"",2.08,0.63,0.61,0.00,0.00,1.02,1.03,"",0,0.0,0,0.0,-1911,-1.0,0,0.0,0,0.0,48,5.5,2539,5.6
"19123","1","92412","77","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,181025,0,0,928,48273,"",2.15,0.75,0.76,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,-1911,-1.0,0,0.0,0,0.0,48,5.5,2539,5.6
"19123","1","924120","78","0","2008","A","","Mahaska County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,181025,0,0,928,48273,"",2.15,0.75,0.76,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,-1911,-1.0,0,0.0,0,0.0,48,5.5,2539,5.6
