"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20031","0","10","70","0","2008","A","","Coffey County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",269,4266,177385191,48640013,648162,800,41580,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.8,133,3.2,18769566,11.8,4023155,9.0,288906,80.4,62,8.4,3200,8.3
"20031","1","10","71","0","2008","A","","Coffey County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,49,1990502,0,0,783,40692,"",5.77,0.56,0.38,0.00,0.00,0.67,0.67,"",0,0.0,1,2.1,55462,2.9,0,0.0,0,0.0,0,0.0,-46,-0.1
"20031","1","102","72","0","2008","A","","Coffey County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,49,1990502,0,0,783,40692,"",5.78,0.57,0.38,0.00,0.00,0.67,0.67,"",0,0.0,1,2.1,55462,2.9,0,0.0,0,0.0,0,0.0,-46,-0.1
"20031","1","1021","73","0","2008","A","","Coffey County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.36,1.07,0.75,0.00,0.00,0.71,0.71,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","1024","73","0","2008","A","","Coffey County, Kansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",21.45,3.85,3.05,0.00,0.00,0.81,0.81,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","1028","73","0","2008","A","","Coffey County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,613393,0,0,879,45719,"",6.07,0.29,0.20,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,30821,5.3,0,0.0,0,0.0,33,3.9,1751,4.0
"20031","1","48-49","74","0","2008","A","","Coffey County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.49,1.16,0.79,0.00,0.00,0.69,0.69,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","491","75","0","2008","A","","Coffey County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.54,1.18,0.82,0.00,0.00,0.70,0.70,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","4911","76","0","2008","A","","Coffey County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.54,1.18,0.82,0.00,0.00,0.70,0.70,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","49111","77","0","2008","A","","Coffey County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.54,1.18,0.82,0.00,0.00,0.70,0.70,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","491110","78","0","2008","A","","Coffey County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,28,936103,0,0,651,33835,"",5.54,1.18,0.82,0.00,0.00,0.70,0.70,"",0,0.0,1,3.7,35405,3.9,0,0.0,0,0.0,15,2.4,782,2.4
"20031","1","54","74","0","2008","A","","Coffey County, Kansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",22.60,3.95,3.07,0.00,0.00,0.79,0.79,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","541","75","0","2008","A","","Coffey County, Kansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",22.60,3.95,3.07,0.00,0.00,0.79,0.79,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","5413","76","0","2008","A","","Coffey County, Kansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",39.81,5.57,4.40,0.00,0.00,0.81,0.81,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","54133","77","0","2008","A","","Coffey County, Kansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",39.91,5.85,4.60,0.00,0.00,0.80,0.80,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","541330","78","0","2008","A","","Coffey County, Kansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,441006,0,0,1083,56299,"",39.91,5.85,4.60,0.00,0.00,0.80,0.80,"",0,0.0,1,14.3,-10764,-2.4,0,0.0,0,0.0,-158,-12.7,-8240,-12.8
"20031","1","92","74","0","2008","A","","Coffey County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,613393,0,0,879,45719,"",6.07,0.29,0.20,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,30821,5.3,0,0.0,0,0.0,33,3.9,1751,4.0
"20031","1","924","75","0","2008","A","","Coffey County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,126348,0,0,1215,63174,"",5.11,0.59,0.61,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,9129,7.8,0,0.0,0,0.0,88,7.8,4564,7.8
