"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20123","0","10","70","0","2008","A","","Mitchell County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",293,3445,96339322,43791379,330899,538,27968,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.0,221,6.9,9971977,11.5,2306109,5.6,65156,24.5,23,4.5,1182,4.4
"20123","1","10","71","0","2008","A","","Mitchell County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,38,1372857,0,0,698,36287,"",5.30,0.54,0.48,0.00,0.00,0.89,0.89,"",0,0.0,-2,-5.0,-55803,-3.9,0,0.0,0,0.0,11,1.6,570,1.6
"20123","1","102","72","0","2008","A","","Mitchell County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,38,1372857,0,0,698,36287,"",5.31,0.55,0.49,0.00,0.00,0.89,0.89,"",0,0.0,-2,-5.0,-55803,-3.9,0,0.0,0,0.0,11,1.6,570,1.6
"20123","1","1021","73","0","2008","A","","Mitchell County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",5.91,1.28,1.29,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","1028","73","0","2008","A","","Mitchell County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,493465,0,0,863,44860,"",5.58,0.30,0.29,0.00,0.00,0.97,0.97,"",0,0.0,-2,-15.4,-58578,-10.6,0,0.0,0,0.0,62,7.7,3196,7.7
"20123","1","48-49","74","0","2008","A","","Mitchell County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",6.05,1.39,1.37,0.00,0.00,0.99,1.00,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","491","75","0","2008","A","","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",6.10,1.41,1.42,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","4911","76","0","2008","A","","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",6.10,1.41,1.42,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","49111","77","0","2008","A","","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",6.10,1.41,1.42,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","491110","78","0","2008","A","","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,27,879392,0,0,630,32772,"",6.10,1.41,1.42,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,2775,0.3,0,0.0,0,0.0,0,0.0,1,0.0
"20123","1","92","74","0","2008","A","","Mitchell County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,11,493465,0,0,863,44860,"",5.58,0.30,0.29,0.00,0.00,0.97,0.97,"",0,0.0,-2,-15.4,-58578,-10.6,0,0.0,0,0.0,62,7.7,3196,7.7
"20123","1","924","75","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,215745,0,0,1037,53936,"",9.37,1.45,1.93,0.00,0.00,1.33,1.33,"",0,0.0,-1,-20.0,-64257,-22.9,0,0.0,0,0.0,-40,-3.7,-2064,-3.7
"20123","1","9241","76","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,215745,0,0,1037,53936,"",9.37,1.45,1.93,0.00,0.00,1.33,1.33,"",0,0.0,-1,-20.0,-64257,-22.9,0,0.0,0,0.0,-40,-3.7,-2064,-3.7
"20123","1","92412","77","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,215745,0,0,1037,53936,"",9.67,1.73,2.42,0.00,0.00,1.40,1.40,"",0,0.0,-1,-20.0,-64257,-22.9,0,0.0,0,0.0,-40,-3.7,-2064,-3.7
"20123","1","924120","78","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,215745,0,0,1037,53936,"",9.67,1.73,2.42,0.00,0.00,1.40,1.40,"",0,0.0,-1,-20.0,-64257,-22.9,0,0.0,0,0.0,-40,-3.7,-2064,-3.7
"20123","1","926","75","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,277720,0,0,763,39674,"",9.81,1.17,0.98,0.00,0.00,0.84,0.84,"",0,0.0,-1,-12.5,5679,2.1,0,0.0,0,0.0,129,20.3,6699,20.3
"20123","1","9261","76","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,7,277720,0,0,763,39674,"",9.81,1.17,0.98,0.00,0.00,0.84,0.84,"",0,0.0,-1,-12.5,5679,2.1,0,0.0,0,0.0,129,20.3,6699,20.3
"20123","1","92611","77","0","2008","A","","Mitchell County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"",20.85,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
