"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20145","0","10","70","0","2008","A","","Pawnee County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",234,3423,95237008,24523837,173506,535,27825,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.2,-271,-7.3,-3464957,-3.5,-670236,-2.7,-61443,-26.2,21,4.1,1102,4.1
"20145","1","10","71","0","2008","A","","Pawnee County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,44,1834021,0,0,794,41291,"",4.83,0.63,0.65,0.00,0.00,1.02,1.02,"",0,0.0,-1,-2.2,23688,1.3,0,0.0,0,0.0,15,1.9,761,1.9
"20145","1","102","72","0","2008","A","","Pawnee County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,44,1834021,0,0,794,41291,"",4.84,0.64,0.66,0.00,0.00,1.02,1.02,"",0,0.0,-1,-2.2,23688,1.3,0,0.0,0,0.0,15,1.9,761,1.9
"20145","1","1021","73","0","2008","A","","Pawnee County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",4.93,1.00,1.22,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","1026","73","0","2008","A","","Pawnee County, Kansas","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",31.71,11.33,21.81,0.00,0.00,1.93,1.93,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","1028","73","0","2008","A","","Pawnee County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,323381,0,0,829,43117,"",4.19,0.22,0.19,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,-29607,-8.4,0,0.0,0,0.0,-38,-4.4,-1945,-4.3
"20145","1","48-49","74","0","2008","A","","Pawnee County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",5.05,1.08,1.29,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","491","75","0","2008","A","","Pawnee County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",5.09,1.11,1.34,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","4911","76","0","2008","A","","Pawnee County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",5.09,1.11,1.34,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","49111","77","0","2008","A","","Pawnee County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",5.09,1.11,1.34,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","491110","78","0","2008","A","","Pawnee County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,21,818360,0,0,749,38970,"",5.09,1.11,1.34,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,23656,3.0,0,0.0,0,0.0,21,2.9,1127,3.0
"20145","1","71","74","0","2008","A","","Pawnee County, Kansas","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",41.20,15.54,25.96,0.00,0.00,1.68,1.68,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","712","75","0","2008","A","","Pawnee County, Kansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",63.73,25.49,33.07,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","7121","76","0","2008","A","","Pawnee County, Kansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",63.73,25.49,33.07,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","71219","77","0","2008","A","","Pawnee County, Kansas","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",69.31,35.32,51.11,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","712190","78","0","2008","A","","Pawnee County, Kansas","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,692280,0,0,836,43494,"",69.31,35.32,51.11,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,29639,4.5,0,0.0,0,0.0,31,3.9,1643,3.9
"20145","1","92","74","0","2008","A","","Pawnee County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,323381,0,0,829,43117,"",4.19,0.22,0.19,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,-29607,-8.4,0,0.0,0,0.0,-38,-4.4,-1945,-4.3
"20145","1","924","75","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,77044,0,0,1046,54384,"",5.87,0.36,0.70,0.00,0.00,1.35,1.35,"",0,0.0,-1,-50.0,-30980,-28.7,0,0.0,0,0.0,7,0.7,372,0.7
"20145","1","9241","76","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,77044,0,0,1046,54384,"",5.87,0.36,0.70,0.00,0.00,1.35,1.35,"",0,0.0,-1,-50.0,-30980,-28.7,0,0.0,0,0.0,7,0.7,372,0.7
"20145","1","92412","77","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,77044,0,0,1046,54384,"",6.05,0.44,0.88,0.00,0.00,1.42,1.42,"",0,0.0,-1,-50.0,-30980,-28.7,0,0.0,0,0.0,7,0.7,372,0.7
"20145","1","924120","78","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,77044,0,0,1046,54384,"",6.05,0.44,0.88,0.00,0.00,1.42,1.42,"",0,0.0,-1,-50.0,-30980,-28.7,0,0.0,0,0.0,7,0.7,372,0.7
"20145","1","926","75","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,200847,0,0,748,38874,"",4.09,0.84,0.72,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,1143,0.6,0,0.0,0,0.0,-61,-7.5,-3169,-7.5
"20145","1","9261","76","0","2008","A","","Pawnee County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,200847,0,0,748,38874,"",4.09,0.84,0.72,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,1143,0.6,0,0.0,0,0.0,-61,-7.5,-3169,-7.5
"20145","1","92614","77","0","2008","A","","Pawnee County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,200847,0,0,748,38874,"",10.31,3.96,4.00,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,1143,0.6,0,0.0,0,0.0,-61,-7.5,-3169,-7.5
"20145","1","926140","78","0","2008","A","","Pawnee County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,200847,0,0,748,38874,"",10.31,3.96,4.00,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,1143,0.6,0,0.0,0,0.0,-61,-7.5,-3169,-7.5
"20145","1","928","75","0","2008","A","","Pawnee County, Kansas","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,45490,0,0,954,49625,"",16.32,0.07,0.08,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,230,0.5,0,0.0,0,0.0,151,18.8,7847,18.8
"20145","1","9281","76","0","2008","A","","Pawnee County, Kansas","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,45490,0,0,954,49625,"",16.32,0.07,0.08,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,230,0.5,0,0.0,0,0.0,151,18.8,7847,18.8
"20145","1","92811","77","0","2008","A","","Pawnee County, Kansas","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,45490,0,0,954,49625,"",18.30,0.08,0.08,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,230,0.5,0,0.0,0,0.0,151,18.8,7847,18.8
"20145","1","928110","78","0","2008","A","","Pawnee County, Kansas","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,45490,0,0,954,49625,"",18.30,0.08,0.08,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,230,0.5,0,0.0,0,0.0,151,18.8,7847,18.8
"20145","2","10","71","0","2008","A","","Pawnee County, Kansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,1361,43912516,0,0,620,32255,"",10.32,11.54,12.71,0.00,0.00,1.10,1.10,"",0,0.0,-114,-7.7,-2308332,-5.0,0,0.0,0,0.0,17,2.8,921,2.9
"20145","2","102","72","0","2008","A","","Pawnee County, Kansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,1361,43912516,0,0,620,32255,"",10.63,11.76,12.93,0.00,0.00,1.10,1.10,"",0,0.0,-114,-7.7,-2308332,-5.0,0,0.0,0,0.0,17,2.8,921,2.9
"20145","2","1025","73","0","2008","A","N","Pawnee County, Kansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",11.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20145","2","1028","73","0","2008","A","N","Pawnee County, Kansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,0,0,0,0,0,0,"N",11.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
