"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21105","0","10","70","0","2008","A","","Hickman County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",97,1034,27650319,7129367,194308,515,26754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-2.0,34,3.4,2093235,8.2,666904,10.3,19068,10.9,23,4.7,1193,4.7
"21105","1","10","71","0","2008","A","","Hickman County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,27,1022651,0,0,726,37759,"",7.28,1.27,1.24,0.00,0.00,0.97,0.97,"",0,0.0,3,12.5,86620,9.3,0,0.0,0,0.0,-11,-1.5,-577,-1.5
"21105","1","102","72","0","2008","A","","Hickman County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,27,1022651,0,0,726,37759,"",7.29,1.29,1.26,0.00,0.00,0.97,0.97,"",0,0.0,3,12.5,86620,9.3,0,0.0,0,0.0,-11,-1.5,-577,-1.5
"21105","1","1021","73","0","2008","A","","Hickman County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",5.95,2.05,2.58,0.00,0.00,1.22,1.23,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","1028","73","0","2008","A","","Hickman County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,520120,0,0,727,37827,"",10.11,1.27,1.06,0.00,0.00,0.85,0.85,"",0,0.0,3,27.3,107643,26.1,0,0.0,0,0.0,22,3.1,1162,3.2
"21105","1","48-49","74","0","2008","A","","Hickman County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",6.09,2.22,2.73,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","491","75","0","2008","A","","Hickman County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",6.14,2.27,2.83,0.00,0.00,1.21,1.22,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","4911","76","0","2008","A","","Hickman County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",6.14,2.27,2.83,0.00,0.00,1.21,1.22,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","49111","77","0","2008","A","","Hickman County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",6.14,2.27,2.83,0.00,0.00,1.21,1.22,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","491110","78","0","2008","A","","Hickman County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,502531,0,0,725,37690,"",6.14,2.27,2.83,0.00,0.00,1.21,1.22,"",0,0.0,0,0.0,-21023,-4.0,0,0.0,0,0.0,-40,-5.2,-2074,-5.2
"21105","1","92","74","0","2008","A","","Hickman County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,14,520120,0,0,727,37827,"",10.11,1.27,1.06,0.00,0.00,0.85,0.85,"",0,0.0,3,27.3,107643,26.1,0,0.0,0,0.0,22,3.1,1162,3.2
"21105","1","924","75","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,461310,0,0,696,36181,"",28.32,15.70,14.39,0.00,0.00,0.93,0.93,"",0,0.0,3,30.0,106879,30.2,0,0.0,0,0.0,31,4.7,1602,4.6
"21105","1","9241","76","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,461310,0,0,696,36181,"",28.32,15.70,14.39,0.00,0.00,0.93,0.93,"",0,0.0,3,30.0,106879,30.2,0,0.0,0,0.0,31,4.7,1602,4.6
"21105","1","92412","77","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,461310,0,0,696,36181,"",29.21,18.74,18.07,0.00,0.00,0.98,0.98,"",0,0.0,3,30.0,106879,30.2,0,0.0,0,0.0,31,4.7,1602,4.6
"21105","1","924120","78","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,461310,0,0,696,36181,"",29.21,18.74,18.07,0.00,0.00,0.98,0.98,"",0,0.0,3,30.0,106879,30.2,0,0.0,0,0.0,31,4.7,1602,4.6
"21105","1","926","75","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,58810,0,0,1131,58810,"",9.88,0.56,0.72,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,764,1.3,0,0.0,0,0.0,15,1.3,764,1.3
"21105","1","9261","76","0","2008","A","","Hickman County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,58810,0,0,1131,58810,"",9.88,0.56,0.72,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,764,1.3,0,0.0,0,0.0,15,1.3,764,1.3
"21105","1","92614","77","0","2008","A","","Hickman County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,58810,0,0,1131,58810,"",24.87,2.62,4.04,0.00,0.00,1.54,1.54,"",0,0.0,0,0.0,764,1.3,0,0.0,0,0.0,15,1.3,764,1.3
"21105","1","926140","78","0","2008","A","","Hickman County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,58810,0,0,1131,58810,"",24.87,2.62,4.04,0.00,0.00,1.54,1.54,"",0,0.0,0,0.0,764,1.3,0,0.0,0,0.0,15,1.3,764,1.3
"21105","2","10","71","0","2008","A","","Hickman County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,38,1210663,0,0,614,31930,"",13.84,1.07,1.21,0.00,0.00,1.13,1.13,"",-1,-9.1,-7,-15.6,-28559,-2.3,0,0.0,0,0.0,79,14.8,4134,14.9
"21105","2","102","72","0","2008","A","","Hickman County, Kentucky","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,38,1210663,0,0,614,31930,"",14.25,1.09,1.23,0.00,0.00,1.13,1.13,"",-1,-9.1,-7,-15.6,-28559,-2.3,0,0.0,0,0.0,79,14.8,4134,14.9
"21105","2","1025","73","0","2008","A","N","Hickman County, Kentucky","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.95,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","1026","73","0","2008","A","N","Hickman County, Kentucky","State Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",104.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","1028","73","0","2008","A","","Hickman County, Kentucky","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,24,801830,0,0,647,33643,"",15.35,1.65,1.89,0.00,0.00,1.15,1.15,"",0,0.0,-2,-7.7,-18703,-2.3,0,0.0,0,0.0,42,6.9,2185,6.9
"21105","2","62","74","0","2008","A","N","Hickman County, Kentucky","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","624","75","0","2008","A","N","Hickman County, Kentucky","State Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",34.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","6241","76","0","2008","A","N","Hickman County, Kentucky","State Government","Individual and family services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",45.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","62419","77","0","2008","A","N","Hickman County, Kentucky","State Government","Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",84.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","624190","78","0","2008","A","N","Hickman County, Kentucky","State Government","Other individual and family services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",84.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","71","74","0","2008","A","N","Hickman County, Kentucky","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",107.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","712","75","0","2008","A","N","Hickman County, Kentucky","State Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",116.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","7121","76","0","2008","A","N","Hickman County, Kentucky","State Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",116.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","71219","77","0","2008","A","N","Hickman County, Kentucky","State Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",155.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","712190","78","0","2008","A","N","Hickman County, Kentucky","State Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",155.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","92","74","0","2008","A","","Hickman County, Kentucky","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,24,801830,0,0,647,33643,"",15.35,1.65,1.89,0.00,0.00,1.15,1.15,"",0,0.0,-2,-7.7,-18703,-2.3,0,0.0,0,0.0,42,6.9,2185,6.9
"21105","2","921","75","0","2008","A","N","Hickman County, Kentucky","State Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",17.34,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","9211","76","0","2008","A","N","Hickman County, Kentucky","State Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",17.34,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","92113","77","0","2008","A","N","Hickman County, Kentucky","State Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",39.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21105","2","921130","78","0","2008","A","N","Hickman County, Kentucky","State Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",39.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
