"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22003","0","10","70","0","2008","A","","Allen Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",444,8584,262777743,31892052,340529,589,30612,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,-101,-1.2,13836899,5.6,-3128789,-8.9,-141945,-29.4,38,6.9,1947,6.8
"22003","1","10","71","0","2008","A","","Allen Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,593,40047429,0,0,1299,67572,"",4.13,3.37,5.11,0.00,0.00,1.52,1.52,"",0,0.0,7,1.2,3336167,9.1,0,0.0,0,0.0,94,7.8,4925,7.9
"22003","1","102","72","0","2008","A","","Allen Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,593,40047429,0,0,1299,67572,"",4.14,3.43,5.20,0.00,0.00,1.52,1.52,"",0,0.0,7,1.2,3336167,9.1,0,0.0,0,0.0,94,7.8,4925,7.9
"22003","1","1021","73","0","2008","A","","Allen Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.20,0.63,0.76,0.00,0.00,1.23,1.23,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
"22003","1","1028","73","0","2008","A","","Allen Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,560,38639712,0,0,1327,68979,"",3.68,6.10,8.29,0.00,0.00,1.36,1.36,"",0,0.0,4,0.7,3257673,9.2,0,0.0,0,0.0,103,8.4,5342,8.4
"22003","1","48-49","74","0","2008","A","","Allen Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.32,0.68,0.81,0.00,0.00,1.20,1.20,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
"22003","1","491","75","0","2008","A","","Allen Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.37,0.69,0.83,0.00,0.00,1.22,1.22,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
"22003","1","4911","76","0","2008","A","","Allen Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.37,0.69,0.83,0.00,0.00,1.22,1.22,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
"22003","1","49111","77","0","2008","A","","Allen Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.37,0.69,0.83,0.00,0.00,1.22,1.22,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
"22003","1","491110","78","0","2008","A","","Allen Parish, Louisiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,33,1407717,0,0,833,43314,"",5.37,0.69,0.83,0.00,0.00,1.22,1.22,"",0,0.0,3,10.0,78494,5.9,0,0.0,0,0.0,-19,-2.2,-993,-2.2
