"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22011","0","10","70","0","2008","A","","Beauregard Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",701,8713,311351149,63375561,893647,687,35735,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,4.5,212,2.5,30285582,10.8,5957510,10.4,81377,10.0,51,8.0,2674,8.1
"22011","1","10","71","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,74,3219696,0,0,836,43460,"",2.42,0.41,0.35,0.00,0.00,0.84,0.84,"",0,0.0,-1,-1.3,-27462,-0.8,0,0.0,0,0.0,6,0.7,308,0.7
"22011","1","102","72","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,74,3219696,0,0,836,43460,"",2.42,0.42,0.35,0.00,0.00,0.84,0.84,"",0,0.0,-1,-1.3,-27462,-0.8,0,0.0,0,0.0,6,0.7,308,0.7
"22011","1","1021","73","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,58,2451055,0,0,810,42138,"",2.88,1.08,1.12,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,1156,0.0,0,0.0,0,0.0,1,0.1,80,0.2
"22011","1","1028","73","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,768641,0,0,929,48292,"",2.33,0.17,0.14,0.00,0.00,0.82,0.81,"",0,0.0,-1,-5.9,-28618,-3.6,0,0.0,0,0.0,27,3.0,1394,3.0
"22011","1","48-49","74","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,58,2451055,0,0,810,42138,"",2.95,1.18,1.18,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,1156,0.0,0,0.0,0,0.0,1,0.1,80,0.2
"22011","1","488","75","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",57.84,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-116771,-100.0,0,0.0,0,0.0,-1225,-100.0,-63693,-100.0
"22011","1","4881","76","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",57.84,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-116771,-100.0,0,0.0,0,0.0,-1225,-100.0,-63693,-100.0
"22011","1","48811","77","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",57.84,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-116771,-100.0,0,0.0,0,0.0,-1225,-100.0,-63693,-100.0
"22011","1","488111","78","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",58.62,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-116771,-100.0,0,0.0,0,0.0,-1225,-100.0,-63693,-100.0
"22011","1","491","75","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,58,2451055,0,0,810,42138,"",2.55,1.20,1.22,0.00,0.00,1.02,1.02,"",0,0.0,2,3.6,117927,5.1,0,0.0,0,0.0,15,1.9,783,1.9
"22011","1","4911","76","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,58,2451055,0,0,810,42138,"",2.55,1.20,1.22,0.00,0.00,1.02,1.02,"",0,0.0,2,3.6,117927,5.1,0,0.0,0,0.0,15,1.9,783,1.9
"22011","1","49111","77","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,58,2451055,0,0,810,42138,"",2.55,1.20,1.22,0.00,0.00,1.02,1.02,"",0,0.0,2,3.6,117927,5.1,0,0.0,0,0.0,15,1.9,783,1.9
"22011","1","491110","78","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,58,2451055,0,0,810,42138,"",2.55,1.20,1.22,0.00,0.00,1.02,1.02,"",0,0.0,2,3.6,117927,5.1,0,0.0,0,0.0,15,1.9,783,1.9
"22011","1","92","74","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,16,768641,0,0,929,48292,"",2.33,0.17,0.14,0.00,0.00,0.82,0.81,"",0,0.0,-1,-5.9,-28618,-3.6,0,0.0,0,0.0,27,3.0,1394,3.0
"22011","1","921","75","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,86476,0,0,1663,86476,"",5.26,0.09,0.14,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,969,1.1,0,0.0,0,0.0,19,1.2,969,1.1
"22011","1","9211","76","0","2008","A","","Beauregard Parish, Louisiana","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,86476,0,0,1663,86476,"",5.26,0.09,0.14,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,969,1.1,0,0.0,0,0.0,19,1.2,969,1.1
