"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22021","0","10","70","0","2008","A","","Caldwell Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",259,2660,72753340,14294054,213234,526,27353,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,3.6,-6,-0.2,5906864,8.8,-318188,-2.2,-7060,-3.2,44,9.1,2281,9.1
"22021","1","10","71","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,28,1227427,0,0,856,44499,"",5.45,0.51,0.57,0.00,0.00,1.12,1.12,"",0,0.0,-3,-9.7,-67507,-5.2,0,0.0,0,0.0,51,6.3,2614,6.2
"22021","1","102","72","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,28,1227427,0,0,856,44499,"",5.46,0.52,0.58,0.00,0.00,1.12,1.12,"",0,0.0,-3,-9.7,-67507,-5.2,0,0.0,0,0.0,51,6.3,2614,6.2
"22021","1","1021","73","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,20,814473,0,0,796,41414,"",4.45,1.23,1.59,0.00,0.00,1.32,1.32,"",0,0.0,-1,-4.8,15041,1.9,0,0.0,0,0.0,67,9.2,3496,9.2
"22021","1","1024","73","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,347100,0,0,1113,57850,"",22.28,4.64,5.86,0.00,0.00,1.26,1.26,"",0,0.0,-1,-14.3,-36795,-9.6,0,0.0,0,0.0,95,9.3,4899,9.3
"22021","1","1028","73","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,2,65854,0,0,661,34359,"",6.31,0.07,0.05,0.00,0.00,0.76,0.76,"",0,0.0,-1,-33.3,-45753,-41.0,0,0.0,0,0.0,-170,-20.5,-8844,-20.5
"22021","1","48-49","74","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,20,814473,0,0,796,41414,"",4.56,1.33,1.68,0.00,0.00,1.29,1.29,"",0,0.0,-1,-4.8,15041,1.9,0,0.0,0,0.0,67,9.2,3496,9.2
"22021","1","491","75","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,20,814473,0,0,796,41414,"",4.60,1.36,1.74,0.00,0.00,1.30,1.31,"",0,0.0,-1,-4.8,15041,1.9,0,0.0,0,0.0,67,9.2,3496,9.2
"22021","1","4911","76","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,20,814473,0,0,796,41414,"",4.60,1.36,1.74,0.00,0.00,1.30,1.31,"",0,0.0,-1,-4.8,15041,1.9,0,0.0,0,0.0,67,9.2,3496,9.2
"22021","1","49111","77","0","2008","A","","Caldwell Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,20,814473,0,0,796,41414,"",4.60,1.36,1.74,0.00,0.00,1.30,1.31,"",0,0.0,-1,-4.8,15041,1.9,0,0.0,0,0.0,67,9.2,3496,9.2
