"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22105","0","10","70","0","2008","A","","Tangipahoa Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2702,42516,1354909800,274189574,3838988,613,31869,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,2.8,-131,-0.3,120038829,9.7,5127996,1.9,-46503,-1.2,56,10.1,2913,10.1
"22105","1","10","71","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,339,17663180,0,0,1001,52053,"",1.41,0.39,0.44,0.00,0.00,1.12,1.12,"",0,0.0,7,2.1,405361,2.3,0,0.0,0,0.0,3,0.3,137,0.3
"22105","1","102","72","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,339,17663180,0,0,1001,52053,"",1.41,0.40,0.45,0.00,0.00,1.12,1.12,"",0,0.0,7,2.1,405361,2.3,0,0.0,0,0.0,3,0.3,137,0.3
"22105","1","1021","73","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,179,8276263,0,0,888,46193,"",1.39,0.69,0.87,0.00,0.00,1.26,1.26,"",0,0.0,1,0.6,67367,0.8,0,0.0,0,0.0,2,0.2,140,0.3
"22105","1","1023","73","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,18,1048834,0,0,1121,58269,"",3.14,4.30,4.32,0.00,0.00,1.00,1.00,"",0,0.0,-1,-5.3,-28049,-2.6,0,0.0,0,0.0,45,4.2,2327,4.2
"22105","1","1028","73","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,142,8338083,0,0,1128,58650,"",1.57,0.31,0.35,0.00,0.00,1.11,1.11,"",0,0.0,7,5.2,366043,4.6,0,0.0,0,0.0,-8,-0.7,-439,-0.7
"22105","1","48-49","74","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,179,8276263,0,0,888,46193,"",1.42,0.74,0.92,0.00,0.00,1.23,1.23,"",0,0.0,1,0.6,67367,0.8,0,0.0,0,0.0,2,0.2,140,0.3
"22105","1","491","75","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,179,8276263,0,0,888,46193,"",1.43,0.76,0.95,0.00,0.00,1.25,1.25,"",0,0.0,1,0.6,67367,0.8,0,0.0,0,0.0,2,0.2,140,0.3
"22105","1","4911","76","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,179,8276263,0,0,888,46193,"",1.43,0.76,0.95,0.00,0.00,1.25,1.25,"",0,0.0,1,0.6,67367,0.8,0,0.0,0,0.0,2,0.2,140,0.3
"22105","1","49111","77","0","2008","A","","Tangipahoa Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,179,8276263,0,0,888,46193,"",1.43,0.76,0.95,0.00,0.00,1.25,1.25,"",0,0.0,1,0.6,67367,0.8,0,0.0,0,0.0,2,0.2,140,0.3
