"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24025","0","10","70","0","2008","A","","Harford County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5695,82631,3457760911,578675329,9709093,805,41846,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-80,-1.4,-958,-1.1,13960442,0.4,-29904968,-4.9,-956949,-9.0,13,1.6,647,1.6
"24025","1","10","71","0","2008","A","","Harford County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",52,7757,629438948,0,0,1560,81145,"",1.29,4.58,6.11,0.00,0.00,1.33,1.33,"",-1,-1.9,247,3.3,29680054,4.9,0,0.0,0,0.0,24,1.6,1279,1.6
"24025","1","102","72","0","2008","A","","Harford County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",52,7757,629438948,0,0,1560,81145,"",1.29,4.65,6.21,0.00,0.00,1.33,1.34,"",-1,-1.9,247,3.3,29680054,4.9,0,0.0,0,0.0,24,1.6,1279,1.6
"24025","1","1021","73","0","2008","A","","Harford County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,420,19587929,0,0,898,46694,"",0.96,0.83,0.80,0.00,0.00,0.97,0.97,"",0,0.0,-4,-0.9,44956,0.2,0,0.0,0,0.0,11,1.2,566,1.2
"24025","1","1024","73","0","2008","A","","Harford County, Maryland","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",7,744,56996512,0,0,1473,76591,"",7.09,18.51,20.25,0.00,0.00,1.09,1.09,"",-1,-12.5,-7,-0.9,1049428,1.9,0,0.0,0,0.0,40,2.8,2094,2.8
"24025","1","1025","73","0","2008","A","","Harford County, Maryland","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,85,2210712,0,0,502,26085,"",8.87,0.46,0.21,0.00,0.00,0.46,0.46,"",0,0.0,1,1.2,66620,3.1,0,0.0,0,0.0,11,2.2,535,2.1
"24025","1","1026","73","0","2008","A","","Harford County, Maryland","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",5,196,4282257,0,0,421,21904,"",6.51,5.75,3.72,0.00,0.00,0.65,0.65,"",0,0.0,-9,-4.4,160209,3.9,0,0.0,0,0.0,34,8.8,1796,8.9
"24025","1","1028","73","0","2008","A","","Harford County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,6313,546361538,0,0,1664,86544,"",0.98,7.15,8.91,0.00,0.00,1.25,1.25,"",0,0.0,267,4.4,28358841,5.5,0,0.0,0,0.0,16,1.0,867,1.0
"24025","1","48-49","74","0","2008","A","","Harford County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",19,420,19587929,0,0,898,46694,"",0.99,0.90,0.85,0.00,0.00,0.95,0.95,"",0,0.0,-4,-0.9,44956,0.2,0,0.0,0,0.0,11,1.2,566,1.2
"24025","1","481","75","0","2008","A","","Harford County, Maryland","Federal Government","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,42,582029,0,0,264,13749,"",265.79,69.42,63.48,0.00,0.00,0.91,0.91,"",0,0.0,4,10.5,83147,16.7,0,0.0,0,0.0,10,3.9,534,4.0
