"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24027","0","10","70","0","2008","A","","Howard County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8777,148289,7794900974,1249685119,20805284,1011,52566,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",107,1.2,1271,0.9,286031318,3.8,-4361897,-0.3,-1719579,-7.6,29,3.0,1492,2.9
"24027","1","10","71","0","2008","A","","Howard County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,621,38857285,0,0,1204,62614,"",0.53,0.20,0.17,0.00,0.00,0.82,0.82,"",3,10.0,2,0.3,417847,1.1,0,0.0,0,0.0,9,0.8,498,0.8
"24027","1","102","72","0","2008","A","","Howard County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,621,38857285,0,0,1204,62614,"",0.53,0.21,0.17,0.00,0.00,0.82,0.82,"",3,10.0,2,0.3,417847,1.1,0,0.0,0,0.0,9,0.8,498,0.8
"24027","1","1021","73","0","2008","A","","Howard County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.49,0.44,0.40,0.00,0.00,0.89,0.89,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","1023","73","0","2008","A","","Howard County, Maryland","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,27,2585092,0,0,1813,94289,"",0.97,1.85,1.85,0.00,0.00,0.98,0.99,"",0,0.0,-1,-3.6,314812,13.9,0,0.0,0,0.0,240,15.3,12477,15.3
"24027","1","1028","73","0","2008","A","","Howard County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,189,14473833,0,0,1469,76413,"",0.63,0.12,0.10,0.00,0.00,0.88,0.88,"",3,21.4,7,3.8,774097,5.7,0,0.0,0,0.0,17,1.2,932,1.2
"24027","1","48-49","74","0","2008","A","","Howard County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.50,0.48,0.42,0.00,0.00,0.87,0.87,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","491","75","0","2008","A","","Howard County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.51,0.49,0.43,0.00,0.00,0.89,0.89,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","4911","76","0","2008","A","","Howard County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.51,0.49,0.43,0.00,0.00,0.89,0.89,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","49111","77","0","2008","A","","Howard County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.51,0.49,0.43,0.00,0.00,0.89,0.89,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","491110","78","0","2008","A","","Howard County, Maryland","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,404,21798360,0,0,1038,53990,"",0.51,0.49,0.43,0.00,0.00,0.89,0.89,"",0,0.0,-6,-1.5,-671062,-3.0,0,0.0,0,0.0,-17,-1.6,-869,-1.6
"24027","1","52","74","0","2008","A","","Howard County, Maryland","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,2585092,0,0,1813,94289,"",0.97,1.90,1.86,0.00,0.00,0.96,0.96,"",0,0.0,-1,-3.6,314812,13.9,0,0.0,0,0.0,240,15.3,12477,15.3
"24027","1","524","75","0","2008","A","","Howard County, Maryland","Federal Government","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,2585092,0,0,1813,94289,"",7.50,4.19,3.46,0.00,0.00,0.81,0.81,"",0,0.0,-1,-3.6,314812,13.9,0,0.0,0,0.0,240,15.3,12477,15.3
