"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26091","0","10","70","0","2008","A","","Lenawee County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2036,28715,1019088587,198553446,9315360,682,35490,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.2,-1333,-4.4,4534787,0.4,-11594800,-5.5,-454139,-4.6,33,5.1,1726,5.1
"26091","1","10","71","0","2008","A","","Lenawee County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,220,9819122,0,0,858,44632,"",1.73,0.37,0.32,0.00,0.00,0.86,0.86,"",0,0.0,-5,-2.2,170931,1.8,0,0.0,0,0.0,32,3.9,1672,3.9
"26091","1","102","72","0","2008","A","","Lenawee County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,220,9819122,0,0,858,44632,"",1.74,0.38,0.33,0.00,0.00,0.87,0.87,"",0,0.0,-5,-2.2,170931,1.8,0,0.0,0,0.0,32,3.9,1672,3.9
"26091","1","1021","73","0","2008","A","","Lenawee County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.69,1.06,1.13,0.00,0.00,1.06,1.06,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","1023","73","0","2008","A","","Lenawee County, Michigan","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",4.17,0.35,0.42,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","1028","73","0","2008","A","","Lenawee County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,32,1611783,0,0,981,51033,"",0.80,0.10,0.09,0.00,0.00,0.87,0.87,"",0,0.0,1,3.2,66176,4.3,0,0.0,0,0.0,25,2.6,1308,2.6
"26091","1","48-49","74","0","2008","A","","Lenawee County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.76,1.15,1.20,0.00,0.00,1.04,1.04,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","491","75","0","2008","A","","Lenawee County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.78,1.17,1.24,0.00,0.00,1.05,1.05,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","4911","76","0","2008","A","","Lenawee County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.78,1.17,1.24,0.00,0.00,1.05,1.05,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","49111","77","0","2008","A","","Lenawee County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.78,1.17,1.24,0.00,0.00,1.05,1.05,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","491110","78","0","2008","A","","Lenawee County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,187,8130994,0,0,834,43385,"",2.78,1.17,1.24,0.00,0.00,1.05,1.05,"",0,0.0,-6,-3.1,103317,1.3,0,0.0,0,0.0,32,4.0,1683,4.0
"26091","1","52","74","0","2008","A","","Lenawee County, Michigan","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",4.19,0.36,0.42,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","522","75","0","2008","A","","Lenawee County, Michigan","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",4.84,0.67,0.91,0.00,0.00,1.37,1.37,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","5222","76","0","2008","A","","Lenawee County, Michigan","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",4.85,0.68,0.94,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","52229","77","0","2008","A","","Lenawee County, Michigan","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",4.85,0.68,0.94,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","522292","78","0","2008","A","","Lenawee County, Michigan","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,76345,0,0,1468,76345,"",12.43,1.32,1.97,0.00,0.00,1.50,1.49,"",0,0.0,0,0.0,1438,1.9,0,0.0,0,0.0,27,1.9,1438,1.9
"26091","1","92","74","0","2008","A","","Lenawee County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,1611783,0,0,981,51033,"",0.80,0.10,0.09,0.00,0.00,0.87,0.87,"",0,0.0,1,3.2,66176,4.3,0,0.0,0,0.0,25,2.6,1308,2.6
"26091","1","923","75","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,590676,0,0,1228,63857,"",1.78,0.29,0.32,0.00,0.00,1.06,1.06,"",0,0.0,-1,-10.0,-35770,-5.7,0,0.0,0,0.0,-18,-1.4,-948,-1.5
"26091","1","9231","76","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,590676,0,0,1228,63857,"",1.78,0.29,0.32,0.00,0.00,1.06,1.06,"",0,0.0,-1,-10.0,-35770,-5.7,0,0.0,0,0.0,-18,-1.4,-948,-1.5
"26091","1","92313","77","0","2008","A","","Lenawee County, Michigan","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,590676,0,0,1228,63857,"",2.63,0.60,0.73,0.00,0.00,1.19,1.19,"",0,0.0,-1,-10.0,-35770,-5.7,0,0.0,0,0.0,-18,-1.4,-948,-1.5
"26091","1","923130","78","0","2008","A","","Lenawee County, Michigan","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,590676,0,0,1228,63857,"",2.63,0.60,0.73,0.00,0.00,1.19,1.19,"",0,0.0,-1,-10.0,-35770,-5.7,0,0.0,0,0.0,-18,-1.4,-948,-1.5
"26091","1","924","75","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,602648,0,0,869,45199,"",1.35,0.57,0.51,0.00,0.00,0.88,0.88,"",0,0.0,1,8.3,55087,10.1,0,0.0,0,0.0,15,1.8,802,1.8
"26091","1","9241","76","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,602648,0,0,869,45199,"",1.35,0.57,0.51,0.00,0.00,0.88,0.88,"",0,0.0,1,8.3,55087,10.1,0,0.0,0,0.0,15,1.8,802,1.8
"26091","1","92412","77","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,602648,0,0,869,45199,"",1.39,0.67,0.64,0.00,0.00,0.93,0.93,"",0,0.0,1,8.3,55087,10.1,0,0.0,0,0.0,15,1.8,802,1.8
"26091","1","924120","78","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,602648,0,0,869,45199,"",1.39,0.67,0.64,0.00,0.00,0.93,0.93,"",0,0.0,1,8.3,55087,10.1,0,0.0,0,0.0,15,1.8,802,1.8
"26091","1","926","75","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,418459,0,0,894,46495,"",0.94,0.18,0.14,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,46859,12.6,0,0.0,0,0.0,107,13.6,5585,13.7
"26091","1","9261","76","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,418459,0,0,894,46495,"",0.94,0.18,0.14,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,46859,12.6,0,0.0,0,0.0,107,13.6,5585,13.7
"26091","1","92611","77","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,68246,0,0,437,22749,"",1.50,0.34,0.12,0.00,0.00,0.36,0.36,"",0,0.0,0,0.0,11792,20.9,0,0.0,0,0.0,42,10.6,2220,10.8
"26091","1","926110","78","0","2008","A","","Lenawee County, Michigan","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,68246,0,0,437,22749,"",1.50,0.34,0.12,0.00,0.00,0.36,0.36,"",0,0.0,0,0.0,11792,20.9,0,0.0,0,0.0,42,10.6,2220,10.8
