"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26125","0","10","70","0","2008","A","","Oakland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",39336,671918,35559895729,6007507289,294688896,1018,52923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",41,0.1,-20432,-3.0,-99614311,-0.3,-284087547,-4.5,-12265902,-4.0,28,2.8,1418,2.8
"26125","1","10","71","0","2008","A","","Oakland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",68,4593,266198698,0,0,1114,57953,"",0.24,0.33,0.25,0.00,0.00,0.75,0.75,"",0,0.0,-34,-0.7,3380199,1.3,0,0.0,0,0.0,22,2.0,1146,2.0
"26125","1","102","72","0","2008","A","","Oakland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",68,4593,266198698,0,0,1114,57953,"",0.24,0.34,0.26,0.00,0.00,0.75,0.75,"",0,0.0,-34,-0.7,3380199,1.3,0,0.0,0,0.0,22,2.0,1146,2.0
"26125","1","1021","73","0","2008","A","","Oakland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.29,0.96,0.88,0.00,0.00,0.91,0.91,"",-1,-2.4,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
"26125","1","1024","73","0","2008","A","","Oakland County, Michigan","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,2180377,0,0,1913,99485,"",0.15,0.07,0.08,0.00,0.00,1.12,1.12,"",0,0.0,-1,-4.3,87844,4.2,0,0.0,0,0.0,157,8.9,8174,9.0
"26125","1","1028","73","0","2008","A","","Oakland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,594,44056501,0,0,1426,74159,"",0.22,0.08,0.07,0.00,0.00,0.84,0.85,"",0,0.0,48,8.8,4909210,12.5,0,0.0,0,0.0,47,3.4,2461,3.4
"26125","1","48-49","74","0","2008","A","","Oakland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.30,1.05,0.93,0.00,0.00,0.89,0.89,"",-1,-2.4,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
"26125","1","491","75","0","2008","A","","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.30,1.07,0.96,0.00,0.00,0.90,0.90,"",0,0.0,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
"26125","1","4911","76","0","2008","A","","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.30,1.07,0.96,0.00,0.00,0.90,0.90,"",0,0.0,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
"26125","1","49111","77","0","2008","A","","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.30,1.07,0.96,0.00,0.00,0.90,0.90,"",0,0.0,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
"26125","1","491110","78","0","2008","A","","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,3977,219961820,0,0,1064,55304,"",0.30,1.07,0.96,0.00,0.00,0.90,0.90,"",0,0.0,-81,-2.0,-1616855,-0.7,0,0.0,0,0.0,14,1.3,695,1.3
