"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27000","0","10","50","0","2008","A","","Minnesota -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",169201,2679527,122791643200,43863075449,687717895,881,45826,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1205,0.7,-7955,-0.3,3535368131,3.0,1009466095,2.4,-30105512,-4.2,28,3.3,1451,3.3
"27000","1","10","51","0","2008","A","","Minnesota -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1871,33493,2068254166,0,0,1188,61751,"",1.56,0.61,0.57,0.00,0.00,0.93,0.93,"",10,0.5,519,1.6,83789685,4.2,0,0.0,0,0.0,31,2.7,1569,2.6
"27000","1","102","52","0","2008","A","","Minnesota -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1871,33493,2068254166,0,0,1188,61751,"",1.56,0.62,0.57,0.00,0.00,0.93,0.93,"",10,0.5,519,1.6,83789685,4.2,0,0.0,0,0.0,31,2.7,1569,2.6
"27000","1","1021","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",830,16160,890112734,0,0,1059,55080,"",1.41,0.98,1.03,0.00,0.00,1.05,1.05,"",2,0.2,-228,-1.4,-2466457,-0.3,0,0.0,0,0.0,12,1.1,613,1.1
"27000","1","1023","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",80,251,20028502,0,0,1536,79874,"",4.01,0.95,0.91,0.00,0.00,0.96,0.96,"",-1,-1.2,-6,-2.3,980596,5.1,0,0.0,0,0.0,109,7.6,5685,7.7
"27000","1","1024","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",32,474,36444623,0,0,1480,76941,"",1.09,0.36,0.36,0.00,0.00,1.00,1.00,"",0,0.0,-5,-1.0,371844,1.0,0,0.0,0,0.0,31,2.1,1593,2.1
"27000","1","1025","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",15,5545,411317990,0,0,1427,74178,"",1.12,0.92,1.09,0.00,0.00,1.19,1.18,"",3,25.0,499,9.9,48851298,13.5,0,0.0,0,0.0,46,3.3,2348,3.3
"27000","1","1026","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",15,141,6298646,0,0,860,44724,"",0.66,0.13,0.15,0.00,0.00,1.21,1.21,"",1,7.1,14,11.0,-156542,-2.4,0,0.0,0,0.0,-117,-12.0,-6104,-12.0
"27000","1","1027","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",1,48,3245723,0,0,1314,68331,"",0.69,0.41,0.73,0.00,0.00,1.79,1.79,"",0,0.0,-5,-9.4,140104,4.5,0,0.0,0,0.0,185,16.4,9642,16.4
"27000","1","1028","53","0","2008","A","","Minnesota -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",898,10875,700805948,0,0,1239,64440,"",1.73,0.38,0.32,0.00,0.00,0.85,0.85,"",5,0.6,250,2.4,36068842,5.4,0,0.0,0,0.0,36,3.0,1878,3.0
