"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28999","0","10","70","0","2008","A","","Unknown Or Undefined, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6296,44125,1893907911,418820516,7039236,825,42922,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",436,7.4,1754,4.1,181665722,10.6,22099823,5.6,254277,3.7,48,6.2,2511,6.2
"28999","1","10","71","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.02,0.00,0.00,0.00,0.00,0.37,0.37,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","102","72","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.02,0.00,0.00,0.00,0.00,0.37,0.37,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","1028","73","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.05,0.00,0.00,0.00,0.00,0.33,0.32,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","92","74","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.05,0.00,0.00,0.00,0.00,0.33,0.32,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","923","75","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.57,0.02,0.01,0.00,0.00,0.32,0.32,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","9231","76","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",0.57,0.02,0.01,0.00,0.00,0.32,0.32,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","92312","77","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",2.65,0.06,0.02,0.00,0.00,0.27,0.27,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","1","923120","78","0","2008","A","","Unknown Or Undefined, Mississippi","Federal Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,23123,0,0,445,23123,"",2.65,0.06,0.02,0.00,0.00,0.27,0.27,"",0,0.0,1,100.0,17407,304.5,0,0.0,0,0.0,181,68.6,9405,68.6
"28999","2","10","71","0","2008","A","N","Unknown Or Undefined, Mississippi","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
