"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29137","0","10","70","0","2008","A","","Monroe County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",251,2318,60279023,17952961,376155,500,26008,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-71,-3.0,2922930,5.1,1896100,11.8,51479,15.9,38,8.2,2001,8.3
"29137","1","10","71","0","2008","A","","Monroe County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,73,3586642,0,0,942,48964,"",5.62,1.54,2.00,0.00,0.00,1.29,1.29,"",0,0.0,-2,-2.7,-28538,-0.8,0,0.0,0,0.0,18,1.9,922,1.9
"29137","1","102","72","0","2008","A","","Monroe County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,73,3586642,0,0,942,48964,"",5.64,1.56,2.03,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.7,-28538,-0.8,0,0.0,0,0.0,18,1.9,922,1.9
"29137","1","1021","73","0","2008","A","","Monroe County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,1188997,0,0,715,37156,"",6.89,2.25,2.80,0.00,0.00,1.24,1.24,"",0,0.0,2,6.7,141163,13.5,0,0.0,0,0.0,47,7.0,2421,7.0
"29137","1","1024","73","0","2008","A","","Monroe County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,1806358,0,0,1208,62830,"",22.99,25.71,36.81,0.00,0.00,1.44,1.44,"",0,0.0,-4,-12.1,-196349,-9.8,0,0.0,0,0.0,26,2.2,1366,2.2
"29137","1","1028","73","0","2008","A","","Monroe County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,591287,0,0,910,47303,"",3.91,0.52,0.55,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,26648,4.7,0,0.0,0,0.0,41,4.7,2132,4.7
"29137","1","48-49","74","0","2008","A","","Monroe County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,1188997,0,0,715,37156,"",7.06,2.44,2.96,0.00,0.00,1.22,1.21,"",0,0.0,2,6.7,141163,13.5,0,0.0,0,0.0,47,7.0,2421,7.0
"29137","1","491","75","0","2008","A","","Monroe County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,1188997,0,0,715,37156,"",7.12,2.49,3.07,0.00,0.00,1.23,1.23,"",0,0.0,2,6.7,141163,13.5,0,0.0,0,0.0,47,7.0,2421,7.0
"29137","1","4911","76","0","2008","A","","Monroe County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,32,1188997,0,0,715,37156,"",7.12,2.49,3.07,0.00,0.00,1.23,1.23,"",0,0.0,2,6.7,141163,13.5,0,0.0,0,0.0,47,7.0,2421,7.0
"29137","1","49111","77","0","2008","A","","Monroe County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,32,1188997,0,0,715,37156,"",7.12,2.49,3.07,0.00,0.00,1.23,1.23,"",0,0.0,2,6.7,141163,13.5,0,0.0,0,0.0,47,7.0,2421,7.0
