"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30029","0","10","70","0","2008","A","","Flathead County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4508,41228,1324776892,731120347,8504924,618,32133,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,1.0,-183,-0.4,26799595,2.1,15712860,2.2,-1560286,-15.5,15,2.5,789,2.5
"30029","1","10","71","0","2008","A","","Flathead County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",41,799,41555914,0,0,1000,52015,"",1.28,0.95,1.05,0.00,0.00,1.11,1.11,"",0,0.0,5,0.6,-571976,-1.4,0,0.0,0,0.0,-20,-2.0,-1032,-1.9
"30029","1","102","72","0","2008","A","","Flathead County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",41,799,41555914,0,0,1000,52015,"",1.29,0.96,1.07,0.00,0.00,1.11,1.11,"",0,0.0,5,0.6,-571976,-1.4,0,0.0,0,0.0,-20,-2.0,-1032,-1.9
"30029","1","1021","73","0","2008","A","","Flathead County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,202,10575786,0,0,1006,52291,"",0.83,0.80,1.13,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,63207,0.6,0,0.0,0,0.0,3,0.3,141,0.3
"30029","1","1023","73","0","2008","A","","Flathead County, Montana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,288495,0,0,1091,56753,"",1.88,1.23,1.22,0.00,0.00,0.97,0.97,"",0,0.0,-1,-16.7,-3665,-1.3,0,0.0,0,0.0,114,11.7,5943,11.7
"30029","1","1025","73","0","2008","A","","Flathead County, Montana","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,1460179,0,0,2612,135831,"",2.80,0.12,0.36,0.00,0.00,3.09,3.09,"",0,0.0,1,10.0,299733,25.8,0,0.0,0,0.0,263,11.2,13679,11.2
"30029","1","1026","73","0","2008","A","","Flathead County, Montana","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,197,8203394,0,0,803,41748,"",1.65,11.58,18.58,0.00,0.00,1.61,1.61,"",0,0.0,-9,-4.4,-878286,-9.7,0,0.0,0,0.0,-44,-5.2,-2302,-5.2
"30029","1","1028","73","0","2008","A","","Flathead County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,384,21028060,0,0,1052,54713,"",1.81,0.87,0.90,0.00,0.00,1.03,1.03,"",0,0.0,13,3.5,-52965,-0.3,0,0.0,0,0.0,-40,-3.7,-2084,-3.7
"30029","1","22","74","0","2008","A","","Flathead County, Montana","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,16,1492892,0,0,1794,93306,"",27.41,4.10,6.41,0.00,0.00,1.56,1.56,"",0,0.0,1,6.7,184717,14.1,0,0.0,0,0.0,144,8.7,7524,8.8
"30029","1","221","75","0","2008","A","","Flathead County, Montana","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,1492892,0,0,1794,93306,"",27.41,4.10,6.41,0.00,0.00,1.56,1.56,"",0,0.0,1,6.7,184717,14.1,0,0.0,0,0.0,144,8.7,7524,8.8
