"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31051","0","10","70","0","2008","A","","Dixon County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",130,1846,51574075,14905210,168753,537,27935,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.8,64,3.6,5737754,12.5,1259616,9.2,-30015,-15.1,42,8.5,2206,8.6
"31051","1","10","71","0","2008","A","","Dixon County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,45,1826016,0,0,783,40729,"",10.86,1.19,1.19,0.00,0.00,1.00,1.00,"",0,0.0,2,4.7,81649,4.7,0,0.0,0,0.0,3,0.4,162,0.4
"31051","1","102","72","0","2008","A","","Dixon County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,45,1826016,0,0,783,40729,"",10.88,1.21,1.21,0.00,0.00,1.00,1.00,"",0,0.0,2,4.7,81649,4.7,0,0.0,0,0.0,3,0.4,162,0.4
"31051","1","1021","73","0","2008","A","","Dixon County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",15.53,1.94,2.07,0.00,0.00,1.05,1.05,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
"31051","1","1028","73","0","2008","A","","Dixon County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,23,1074424,0,0,915,47576,"",7.54,1.17,1.18,0.00,0.00,1.03,1.03,"",0,0.0,3,15.0,79186,8.0,0,0.0,0,0.0,-30,-3.2,-1572,-3.2
"31051","1","48-49","74","0","2008","A","","Dixon County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",15.91,2.11,2.19,0.00,0.00,1.03,1.03,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
"31051","1","491","75","0","2008","A","","Dixon County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",16.04,2.15,2.27,0.00,0.00,1.04,1.04,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
"31051","1","4911","76","0","2008","A","","Dixon County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",16.04,2.15,2.27,0.00,0.00,1.04,1.04,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
"31051","1","49111","77","0","2008","A","","Dixon County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",16.04,2.15,2.27,0.00,0.00,1.04,1.04,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
"31051","1","491110","78","0","2008","A","","Dixon County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,22,751592,0,0,650,33779,"",16.04,2.15,2.27,0.00,0.00,1.04,1.04,"",0,0.0,-1,-4.3,2463,0.3,0,0.0,0,0.0,17,2.7,850,2.6
