"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31067","0","10","70","0","2008","A","","Gage County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",750,9427,266833720,56360872,959437,544,28307,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.6,-460,-4.7,-1650338,-0.6,-4025880,-6.7,-209172,-17.9,22,4.2,1151,4.2
"31067","1","10","71","0","2008","A","","Gage County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,110,4601088,0,0,802,41702,"",3.01,0.57,0.58,0.00,0.00,1.01,1.01,"",0,0.0,-3,-2.7,-539198,-10.5,0,0.0,0,0.0,-70,-8.0,-3653,-8.1
"31067","1","102","72","0","2008","A","","Gage County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,110,4601088,0,0,802,41702,"",3.02,0.58,0.59,0.00,0.00,1.01,1.01,"",0,0.0,-3,-2.7,-539198,-10.5,0,0.0,0,0.0,-70,-8.0,-3653,-8.1
"31067","1","1021","73","0","2008","A","","Gage County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,57,2265932,0,0,766,39811,"",3.46,0.99,1.20,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,39198,1.8,0,0.0,0,0.0,10,1.3,516,1.3
"31067","1","1023","73","0","2008","A","","Gage County, Nebraska","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.31,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-5,-100.0,-326100,-100.0,0,0.0,0,0.0,-1368,-100.0,-71149,-100.0
"31067","1","1026","73","0","2008","A","","Gage County, Nebraska","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,18,653992,0,0,699,36333,"",9.89,4.63,7.35,0.00,0.00,1.59,1.59,"",0,0.0,2,12.5,-17570,-2.6,0,0.0,0,0.0,-92,-11.6,-4783,-11.6
"31067","1","1028","73","0","2008","A","","Gage County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,35,1681164,0,0,913,47468,"",2.18,0.35,0.36,0.00,0.00,1.01,1.01,"",0,0.0,-1,-2.8,-234726,-12.3,0,0.0,0,0.0,-118,-11.4,-6123,-11.4
"31067","1","48-49","74","0","2008","A","","Gage County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,57,2265932,0,0,766,39811,"",3.55,1.07,1.28,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,39198,1.8,0,0.0,0,0.0,10,1.3,516,1.3
"31067","1","491","75","0","2008","A","","Gage County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,57,2265932,0,0,766,39811,"",3.57,1.09,1.32,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,39198,1.8,0,0.0,0,0.0,10,1.3,516,1.3
"31067","1","4911","76","0","2008","A","","Gage County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,57,2265932,0,0,766,39811,"",3.57,1.09,1.32,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,39198,1.8,0,0.0,0,0.0,10,1.3,516,1.3
