"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33000","0","10","50","0","2008","A","","New Hampshire -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",49208,628763,28239035181,4471670513,55013449,864,44912,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",281,0.6,-1441,-0.2,596510369,2.2,-65539113,-1.4,-1510089,-2.7,20,2.4,1049,2.4
"33000","1","10","51","0","2008","A","","New Hampshire -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",407,7779,525425231,0,0,1299,67545,"",1.17,0.60,0.62,0.00,0.00,1.03,1.03,"",7,1.8,8,0.1,-13041714,-2.4,0,0.0,0,0.0,-34,-2.6,-1748,-2.5
"33000","1","102","52","0","2008","A","","New Hampshire -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",407,7779,525425231,0,0,1299,67545,"",1.17,0.61,0.64,0.00,0.00,1.03,1.04,"",7,1.8,8,0.1,-13041714,-2.4,0,0.0,0,0.0,-34,-2.6,-1748,-2.5
"33000","1","1021","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",231,3972,209264058,0,0,1013,52684,"",1.35,1.03,1.05,0.00,0.00,1.02,1.02,"",0,0.0,-97,-2.4,-3238255,-1.5,0,0.0,0,0.0,9,0.9,463,0.9
"33000","1","1022","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Information","State, by Supersector -- by ownership sector","All establishment sizes",4,16,1761798,0,0,2118,110112,"",10.25,0.51,0.83,0.00,0.00,1.61,1.61,"",0,0.0,0,0.0,156715,9.8,0,0.0,0,0.0,238,12.7,12340,12.6
"33000","1","1023","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",9,48,4278968,0,0,1711,88991,"",1.55,0.78,0.85,0.00,0.00,1.09,1.09,"",0,0.0,-7,-12.7,-341862,-7.4,0,0.0,0,0.0,98,6.1,5103,6.1
"33000","1","1024","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",6,222,17273193,0,0,1495,77720,"",0.70,0.73,0.75,0.00,0.00,1.03,1.03,"",1,20.0,-14,-5.9,-1351385,-7.3,0,0.0,0,0.0,-21,-1.4,-1114,-1.4
"33000","1","1025","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",1,577,58171187,0,0,1938,100788,"",0.26,0.41,0.67,0.00,0.00,1.64,1.64,"",0,0.0,52,9.9,-4266510,-6.8,0,0.0,0,0.0,-348,-15.2,-18065,-15.2
"33000","1","1026","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",2,16,697406,0,0,865,44994,"",0.30,0.06,0.07,0.00,0.00,1.24,1.24,"",0,0.0,1,6.7,-76669,-9.9,0,0.0,0,0.0,-116,-11.8,-6044,-11.8
"33000","1","1028","53","0","2008","A","","New Hampshire -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",154,2928,233978621,0,0,1537,79915,"",1.02,0.44,0.47,0.00,0.00,1.07,1.07,"",6,4.1,75,2.6,-3923748,-1.6,0,0.0,0,0.0,-66,-4.1,-3462,-4.2
