"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35033","0","10","70","0","2008","A","","Mora County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",117,874,25151795,9821430,143222,554,28786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.7,4,0.5,695719,2.8,664050,7.3,3587,2.6,14,2.6,684,2.4
"35033","1","10","71","0","2008","A","","Mora County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,49,1659649,0,0,658,34220,"",18.10,2.74,2.21,0.00,0.00,0.82,0.82,"",0,0.0,5,11.4,70462,4.4,0,0.0,0,0.0,-34,-4.9,-1762,-4.9
"35033","1","102","72","0","2008","A","","Mora County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,49,1659649,0,0,658,34220,"",18.13,2.78,2.25,0.00,0.00,0.82,0.82,"",0,0.0,5,11.4,70462,4.4,0,0.0,0,0.0,-34,-4.9,-1762,-4.9
"35033","1","1021","73","0","2008","A","","Mora County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",24.65,4.48,3.65,0.00,0.00,0.83,0.83,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
"35033","1","1026","73","0","2008","A","","Mora County, New Mexico","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,16,519698,0,0,641,33350,"",63.42,44.38,62.00,0.00,0.00,1.43,1.43,"",0,0.0,2,14.3,-34980,-6.3,0,0.0,0,0.0,-116,-15.3,-6035,-15.3
"35033","1","1028","73","0","2008","A","","Mora County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,493594,0,0,1008,52417,"",11.17,0.96,1.11,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,60985,14.1,0,0.0,0,0.0,39,4.0,2016,4.0
"35033","1","48-49","74","0","2008","A","","Mora County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",25.25,4.86,3.86,0.00,0.00,0.81,0.81,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
"35033","1","491","75","0","2008","A","","Mora County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",25.45,4.95,4.00,0.00,0.00,0.82,0.82,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
"35033","1","4911","76","0","2008","A","","Mora County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",25.45,4.95,4.00,0.00,0.00,0.82,0.82,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
"35033","1","49111","77","0","2008","A","","Mora County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",25.45,4.95,4.00,0.00,0.00,0.82,0.82,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
"35033","1","491110","78","0","2008","A","","Mora County, New Mexico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,24,646357,0,0,529,27505,"",25.45,4.95,4.00,0.00,0.00,0.82,0.82,"",0,0.0,2,9.1,44457,7.4,0,0.0,0,0.0,-9,-1.7,-490,-1.8
