"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35057","0","10","70","0","2008","A","","Torrance County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",297,3296,95689057,34538899,337555,558,29030,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.4,-135,-3.9,-2458511,-2.5,-2377548,-6.4,-2260,-0.7,8,1.5,420,1.5
"35057","1","10","71","0","2008","A","","Torrance County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,81,3323787,0,0,794,41289,"",7.13,1.20,1.17,0.00,0.00,0.98,0.98,"",0,0.0,-4,-4.7,-177427,-5.1,0,0.0,0,0.0,-3,-0.4,-145,-0.3
"35057","1","102","72","0","2008","A","","Torrance County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,81,3323787,0,0,794,41289,"",7.14,1.22,1.19,0.00,0.00,0.98,0.98,"",0,0.0,-4,-4.7,-177427,-5.1,0,0.0,0,0.0,-3,-0.4,-145,-0.3
"35057","1","1021","73","0","2008","A","","Torrance County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",5.83,0.69,0.91,0.00,0.00,1.29,1.29,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","1026","73","0","2008","A","","Torrance County, New Mexico","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,26,852958,0,0,623,32391,"",24.98,19.13,26.75,0.00,0.00,1.38,1.38,"",0,0.0,-5,-16.1,-216437,-20.2,0,0.0,0,0.0,-48,-7.2,-2481,-7.1
"35057","1","1028","73","0","2008","A","","Torrance County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,40,1855430,0,0,896,46580,"",8.80,1.14,1.09,0.00,0.00,0.97,0.97,"",0,0.0,1,2.6,18473,1.0,0,0.0,0,0.0,-8,-0.9,-421,-0.9
"35057","1","48-49","74","0","2008","A","","Torrance County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",5.97,0.75,0.97,0.00,0.00,1.26,1.26,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","491","75","0","2008","A","","Torrance County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",6.02,0.77,1.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","4911","76","0","2008","A","","Torrance County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",6.02,0.77,1.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","49111","77","0","2008","A","","Torrance County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",6.02,0.77,1.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","491110","78","0","2008","A","","Torrance County, New Mexico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,14,615399,0,0,826,42935,"",6.02,0.77,1.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-6.7,20537,3.5,0,0.0,0,0.0,50,6.4,2605,6.5
"35057","1","71","74","0","2008","A","","Torrance County, New Mexico","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,26,852958,0,0,623,32391,"",32.46,26.22,31.83,0.00,0.00,1.20,1.20,"",0,0.0,-5,-16.1,-216437,-20.2,0,0.0,0,0.0,-48,-7.2,-2481,-7.1
