"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37069","0","10","70","0","2008","A","","Franklin County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1080,11571,392949544,156657779,2560846,653,33959,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,3.0,-493,-4.1,-19975289,-4.8,-2218142,-1.4,-320939,-11.1,-5,-0.8,-270,-0.8
"37069","1","10","71","0","2008","A","","Franklin County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,77,3580142,0,0,895,46546,"",1.31,0.32,0.31,0.00,0.00,0.94,0.94,"",0,0.0,-6,-7.2,-163024,-4.4,0,0.0,0,0.0,25,2.9,1311,2.9
"37069","1","102","72","0","2008","A","","Franklin County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,77,3580142,0,0,895,46546,"",1.31,0.33,0.31,0.00,0.00,0.94,0.94,"",0,0.0,-6,-7.2,-163024,-4.4,0,0.0,0,0.0,25,2.9,1311,2.9
"37069","1","1021","73","0","2008","A","","Franklin County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.07,0.87,1.05,0.00,0.00,1.20,1.20,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
"37069","1","1028","73","0","2008","A","","Franklin County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,15,677425,0,0,883,45927,"",1.82,0.12,0.10,0.00,0.00,0.82,0.82,"",0,0.0,-4,-21.1,-203179,-23.1,0,0.0,0,0.0,7,0.8,379,0.8
"37069","1","48-49","74","0","2008","A","","Franklin County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.09,0.95,1.11,0.00,0.00,1.17,1.17,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
"37069","1","491","75","0","2008","A","","Franklin County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.10,0.97,1.15,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
"37069","1","4911","76","0","2008","A","","Franklin County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.10,0.97,1.15,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
"37069","1","49111","77","0","2008","A","","Franklin County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.10,0.97,1.15,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
"37069","1","491110","78","0","2008","A","","Franklin County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,62,2902717,0,0,898,46692,"",1.10,0.97,1.15,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.6,40155,1.4,0,0.0,0,0.0,30,3.5,1553,3.4
