"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39127","0","10","70","0","2008","A","","Perry County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",526,6051,190766457,38597599,1553885,606,31528,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-68,-1.1,1409020,0.7,-145403,-0.4,62259,4.2,11,1.8,580,1.9
"39127","1","10","71","0","2008","A","","Perry County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,69,2648564,0,0,744,38665,"",3.49,0.56,0.47,0.00,0.00,0.84,0.84,"",0,0.0,-6,-8.0,-224570,-7.8,0,0.0,0,0.0,11,1.5,568,1.5
"39127","1","102","72","0","2008","A","","Perry County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,69,2648564,0,0,744,38665,"",3.50,0.57,0.47,0.00,0.00,0.84,0.84,"",0,0.0,-6,-8.0,-224570,-7.8,0,0.0,0,0.0,11,1.5,568,1.5
"39127","1","1021","73","0","2008","A","","Perry County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.03,1.70,1.82,0.00,0.00,1.08,1.08,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","1028","73","0","2008","A","","Perry County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,199810,0,0,678,35261,"",1.86,0.09,0.06,0.00,0.00,0.67,0.67,"",1,50.0,0,0.0,-18624,-8.5,0,0.0,0,0.0,-32,-4.5,-1657,-4.5
"39127","1","48-49","74","0","2008","A","","Perry County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.18,1.84,1.93,0.00,0.00,1.05,1.05,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","491","75","0","2008","A","","Perry County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.23,1.88,2.00,0.00,0.00,1.07,1.07,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","4911","76","0","2008","A","","Perry County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.23,1.88,2.00,0.00,0.00,1.07,1.07,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","49111","77","0","2008","A","","Perry County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.23,1.88,2.00,0.00,0.00,1.07,1.07,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","491110","78","0","2008","A","","Perry County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,63,2448754,0,0,749,38972,"",6.23,1.88,2.00,0.00,0.00,1.07,1.07,"",0,0.0,-7,-10.0,-205946,-7.8,0,0.0,0,0.0,14,1.9,775,2.0
"39127","1","92","74","0","2008","A","","Perry County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,199810,0,0,678,35261,"",1.86,0.09,0.06,0.00,0.00,0.67,0.67,"",1,50.0,0,0.0,-18624,-8.5,0,0.0,0,0.0,-32,-4.5,-1657,-4.5
"39127","1","924","75","0","2008","A","","Perry County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,78977,0,0,1013,52651,"",2.61,0.41,0.36,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,-25811,-24.6,0,0.0,0,0.0,5,0.5,257,0.5
"39127","1","9241","76","0","2008","A","","Perry County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,78977,0,0,1013,52651,"",2.61,0.41,0.36,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,-25811,-24.6,0,0.0,0,0.0,5,0.5,257,0.5
"39127","1","92412","77","0","2008","A","","Perry County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,78977,0,0,1013,52651,"",2.69,0.49,0.45,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,-25811,-24.6,0,0.0,0,0.0,5,0.5,257,0.5
"39127","1","924120","78","0","2008","A","","Perry County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,78977,0,0,1013,52651,"",2.69,0.49,0.45,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,-25811,-24.6,0,0.0,0,0.0,5,0.5,257,0.5
"39127","1","926","75","0","2008","A","","Perry County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,120833,0,0,558,29000,"",3.64,0.38,0.22,0.00,0.00,0.55,0.54,"",1,100.0,0,0.0,7187,6.3,0,0.0,0,0.0,0,0.0,-16,-0.1
"39127","1","9261","76","0","2008","A","","Perry County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,120833,0,0,558,29000,"",3.64,0.38,0.22,0.00,0.00,0.55,0.54,"",1,100.0,0,0.0,7187,6.3,0,0.0,0,0.0,0,0.0,-16,-0.1
"39127","1","92611","77","0","2008","A","","Perry County, Ohio","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.81,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39127","1","926110","78","0","2008","A","","Perry County, Ohio","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.81,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39127","1","92614","77","0","2008","A","","Perry County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,120833,0,0,558,29000,"",4.59,1.79,1.20,0.00,0.00,0.64,0.64,"",0,0.0,0,0.0,7187,6.3,0,0.0,0,0.0,0,0.0,-16,-0.1
"39127","1","926140","78","0","2008","A","","Perry County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,120833,0,0,558,29000,"",4.59,1.79,1.20,0.00,0.00,0.64,0.64,"",0,0.0,0,0.0,7187,6.3,0,0.0,0,0.0,0,0.0,-16,-0.1
"39127","2","10","71","0","2008","A","","Perry County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,44,2062437,0,0,900,46785,"",2.55,0.21,0.30,0.00,0.00,1.41,1.41,"",-2,-16.7,-3,-6.4,9272,0.5,0,0.0,0,0.0,55,6.5,2867,6.5
"39127","2","102","72","0","2008","A","","Perry County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,44,2062437,0,0,900,46785,"",2.63,0.21,0.30,0.00,0.00,1.41,1.41,"",-2,-16.7,-3,-6.4,9272,0.5,0,0.0,0,0.0,55,6.5,2867,6.5
"39127","2","1028","73","0","2008","A","","Perry County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,44,2062437,0,0,900,46785,"",3.54,0.52,0.70,0.00,0.00,1.36,1.36,"",-2,-16.7,-3,-6.4,9272,0.5,0,0.0,0,0.0,55,6.5,2867,6.5
"39127","2","92","74","0","2008","A","","Perry County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,44,2062437,0,0,900,46785,"",3.54,0.52,0.70,0.00,0.00,1.36,1.36,"",-2,-16.7,-3,-6.4,9272,0.5,0,0.0,0,0.0,55,6.5,2867,6.5
"39127","2","921","75","0","2008","A","N","Perry County, Ohio","State Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
