"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40027","0","10","70","0","2008","A","","Cleveland County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4639,72253,2354509117,685741252,4521182,627,32587,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",108,2.4,-2766,-3.7,91110920,4.0,15858807,2.4,-2393271,-34.6,47,8.1,2416,8.0
"40027","1","10","71","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,770,54196503,0,0,1353,70362,"",0.76,0.52,0.77,0.00,0.00,1.48,1.48,"",1,4.2,4,0.5,1379019,2.6,0,0.0,0,0.0,27,2.0,1395,2.0
"40027","1","102","72","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,770,54196503,0,0,1353,70362,"",0.76,0.53,0.79,0.00,0.00,1.48,1.49,"",1,4.2,4,0.5,1379019,2.6,0,0.0,0,0.0,27,2.0,1395,2.0
"40027","1","1021","73","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.50,0.95,1.50,0.00,0.00,1.58,1.58,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
"40027","1","1028","73","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,351,29314087,0,0,1608,83595,"",1.20,0.45,0.70,0.00,0.00,1.55,1.55,"",0,0.0,-33,-8.6,-591442,-2.0,0,0.0,0,0.0,111,7.4,5767,7.4
"40027","1","48-49","74","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.51,1.03,1.59,0.00,0.00,1.54,1.55,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
"40027","1","491","75","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.51,1.05,1.64,0.00,0.00,1.57,1.57,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
"40027","1","4911","76","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.51,1.05,1.64,0.00,0.00,1.57,1.57,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
"40027","1","49111","77","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.51,1.05,1.64,0.00,0.00,1.57,1.57,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
"40027","1","491110","78","0","2008","A","","Cleveland County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,420,24882416,0,0,1140,59303,"",0.51,1.05,1.64,0.00,0.00,1.57,1.57,"",1,14.3,38,9.9,1970461,8.6,0,0.0,0,0.0,-15,-1.3,-741,-1.2
