"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40037","0","10","70","0","2008","A","","Creek County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1408,17670,621779730,222877144,1825838,677,35188,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,1.4,166,0.9,49619283,8.7,13946663,6.7,-1002829,-35.5,48,7.6,2501,7.7
"40037","1","10","71","0","2008","A","","Creek County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,106,4746332,0,0,860,44706,"",1.50,0.29,0.26,0.00,0.00,0.87,0.87,"",0,0.0,1,1.0,136614,3.0,0,0.0,0,0.0,19,2.3,977,2.2
"40037","1","102","72","0","2008","A","","Creek County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,106,4746332,0,0,860,44706,"",1.51,0.30,0.26,0.00,0.00,0.87,0.87,"",0,0.0,1,1.0,136614,3.0,0,0.0,0,0.0,19,2.3,977,2.2
"40037","1","1021","73","0","2008","A","","Creek County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.46,0.93,1.02,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","1028","73","0","2008","A","","Creek County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,274029,0,0,1090,56696,"",0.70,0.03,0.02,0.00,0.00,0.97,0.97,"",0,0.0,1,25.0,54285,24.7,0,0.0,0,0.0,96,9.7,4992,9.7
"40037","1","48-49","74","0","2008","A","","Creek County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.52,1.01,1.08,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","491","75","0","2008","A","","Creek County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.54,1.03,1.12,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","4911","76","0","2008","A","","Creek County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.54,1.03,1.12,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","49111","77","0","2008","A","","Creek County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.54,1.03,1.12,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","491110","78","0","2008","A","","Creek County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,101,4472303,0,0,849,44135,"",2.54,1.03,1.12,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,82329,1.9,0,0.0,0,0.0,15,1.8,742,1.7
"40037","1","92","74","0","2008","A","","Creek County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,5,274029,0,0,1090,56696,"",0.70,0.03,0.02,0.00,0.00,0.97,0.97,"",0,0.0,1,25.0,54285,24.7,0,0.0,0,0.0,96,9.7,4992,9.7
"40037","1","924","75","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,156509,0,0,1062,55238,"",0.98,0.21,0.22,0.00,0.00,1.08,1.08,"",0,0.0,1,50.0,54643,53.6,0,0.0,0,0.0,191,21.9,9964,22.0
"40037","1","9241","76","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,156509,0,0,1062,55238,"",0.98,0.21,0.22,0.00,0.00,1.08,1.08,"",0,0.0,1,50.0,54643,53.6,0,0.0,0,0.0,191,21.9,9964,22.0
"40037","1","92412","77","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,156509,0,0,1062,55238,"",1.01,0.25,0.27,0.00,0.00,1.14,1.14,"",0,0.0,1,50.0,54643,53.6,0,0.0,0,0.0,191,21.9,9964,22.0
"40037","1","924120","78","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,156509,0,0,1062,55238,"",1.01,0.25,0.27,0.00,0.00,1.14,1.14,"",0,0.0,1,50.0,54643,53.6,0,0.0,0,0.0,191,21.9,9964,22.0
"40037","1","926","75","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,36547,0,0,703,36547,"",0.68,0.03,0.02,0.00,0.00,0.61,0.61,"",0,0.0,0,0.0,1689,4.8,0,0.0,0,0.0,33,4.9,1689,4.8
"40037","1","9261","76","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,36547,0,0,703,36547,"",0.68,0.03,0.02,0.00,0.00,0.61,0.61,"",0,0.0,0,0.0,1689,4.8,0,0.0,0,0.0,33,4.9,1689,4.8
"40037","1","92611","77","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,490,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","1","926110","78","0","2008","A","","Creek County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,490,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","1","92614","77","0","2008","A","","Creek County, Oklahoma","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,36057,0,0,693,36057,"",1.71,0.15,0.11,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,1199,3.4,0,0.0,0,0.0,23,3.4,1199,3.4
"40037","1","926140","78","0","2008","A","","Creek County, Oklahoma","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,36057,0,0,693,36057,"",1.71,0.15,0.11,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,1199,3.4,0,0.0,0,0.0,23,3.4,1199,3.4
"40037","1","928","75","0","2008","A","","Creek County, Oklahoma","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,80973,0,0,1557,80973,"",2.71,0.01,0.02,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,-2047,-2.5,0,0.0,0,0.0,-40,-2.5,-2047,-2.5
"40037","1","9281","76","0","2008","A","","Creek County, Oklahoma","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,80973,0,0,1557,80973,"",2.71,0.01,0.02,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,-2047,-2.5,0,0.0,0,0.0,-40,-2.5,-2047,-2.5
"40037","1","92811","77","0","2008","A","","Creek County, Oklahoma","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,80973,0,0,1557,80973,"",3.04,0.02,0.02,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,-2047,-2.5,0,0.0,0,0.0,-40,-2.5,-2047,-2.5
"40037","1","928110","78","0","2008","A","","Creek County, Oklahoma","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,80973,0,0,1557,80973,"",3.04,0.02,0.02,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,-2047,-2.5,0,0.0,0,0.0,-40,-2.5,-2047,-2.5
"40037","2","10","71","0","2008","A","","Creek County, Oklahoma","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,287,9719908,201108,2011,651,33828,"",1.14,0.47,0.43,0.17,1.76,0.91,0.91,"",-1,-7.7,-13,-4.3,-226066,-2.3,-39065,-16.3,-390,-16.2,14,2.2,702,2.1
"40037","2","102","72","0","2008","A","","Creek County, Oklahoma","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,287,9719908,201108,2011,651,33828,"",1.18,0.48,0.44,0.18,1.82,0.91,0.91,"",-1,-7.7,-13,-4.3,-226066,-2.3,-39065,-16.3,-390,-16.2,14,2.2,702,2.1
"40037","2","1024","73","0","2008","A","N","Creek County, Oklahoma","State Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","1027","73","0","2008","A","N","Creek County, Oklahoma","State Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",35.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","1028","73","0","2008","A","","Creek County, Oklahoma","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,243,8464125,152270,1522,671,34904,"",1.32,0.97,0.89,0.25,2.49,0.91,0.91,"",-1,-9.1,-11,-4.3,-171759,-2.0,-8751,-5.4,-87,-5.4,16,2.4,860,2.5
"40037","2","56","74","0","2008","A","N","Creek County, Oklahoma","State Government","Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",11.99,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","561","75","0","2008","A","N","Creek County, Oklahoma","State Government","Administrative and support services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","5613","76","0","2008","A","N","Creek County, Oklahoma","State Government","Employment services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",14.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","56131","77","0","2008","A","N","Creek County, Oklahoma","State Government","Employment placement and executive search","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",14.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","561311","78","0","2008","A","N","Creek County, Oklahoma","State Government","Employment placement agencies","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",14.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","81","74","0","2008","A","N","Creek County, Oklahoma","State Government","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",35.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","811","75","0","2008","A","N","Creek County, Oklahoma","State Government","Repair and maintenance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",208.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","8112","76","0","2008","A","N","Creek County, Oklahoma","State Government","Electronic equipment repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1612.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","81121","77","0","2008","A","N","Creek County, Oklahoma","State Government","Electronic equipment repair and maintenance","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1612.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","811212","78","0","2008","A","N","Creek County, Oklahoma","State Government","Computer and office machine repair","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3225.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","92","74","0","2008","A","","Creek County, Oklahoma","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,243,8464125,152270,1522,671,34904,"",1.32,0.97,0.89,0.25,2.49,0.91,0.91,"",-1,-9.1,-11,-4.3,-171759,-2.0,-8751,-5.4,-87,-5.4,16,2.4,860,2.5
"40037","2","922","75","0","2008","A","N","Creek County, Oklahoma","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","9221","76","0","2008","A","N","Creek County, Oklahoma","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","92211","77","0","2008","A","N","Creek County, Oklahoma","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","922110","78","0","2008","A","N","Creek County, Oklahoma","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","92213","77","0","2008","A","N","Creek County, Oklahoma","State Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","922130","78","0","2008","A","N","Creek County, Oklahoma","State Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"40037","2","923","75","0","2008","A","","Creek County, Oklahoma","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,171,5813393,0,0,653,33980,"",2.46,3.09,2.82,0.00,0.00,0.91,0.91,"",0,0.0,-5,-2.8,66124,1.2,0,0.0,0,0.0,25,4.0,1310,4.0
"40037","2","9231","76","0","2008","A","","Creek County, Oklahoma","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,171,5813393,0,0,653,33980,"",2.46,3.09,2.82,0.00,0.00,0.91,0.91,"",0,0.0,-5,-2.8,66124,1.2,0,0.0,0,0.0,25,4.0,1310,4.0
"40037","2","92312","77","0","2008","A","N","Creek County, Oklahoma","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
