"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40099","0","10","70","0","2008","A","","Murray County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",306,5385,150065713,60920933,293090,536,27867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.3,200,3.9,17761825,13.4,8119520,15.4,-49996,-14.6,45,9.2,2350,9.2
"40099","1","10","71","0","2008","A","","Murray County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,79,3544016,0,0,862,44814,"",2.77,0.72,0.79,0.00,0.00,1.10,1.11,"",0,0.0,4,5.3,105695,3.1,0,0.0,0,0.0,-15,-1.7,-777,-1.7
"40099","1","102","72","0","2008","A","","Murray County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,79,3544016,0,0,862,44814,"",2.77,0.73,0.81,0.00,0.00,1.11,1.11,"",0,0.0,4,5.3,105695,3.1,0,0.0,0,0.0,-15,-1.7,-777,-1.7
"40099","1","1021","73","0","2008","A","","Murray County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.83,0.82,1.13,0.00,0.00,1.39,1.39,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","1026","73","0","2008","A","","Murray County, Oklahoma","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",48.50,22.96,45.55,0.00,0.00,1.98,1.98,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","1028","73","0","2008","A","","Murray County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,68709,0,0,1321,68709,"",1.07,0.02,0.03,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,1386,2.1,0,0.0,0,0.0,26,2.0,1386,2.1
"40099","1","48-49","74","0","2008","A","","Murray County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.90,0.89,1.20,0.00,0.00,1.36,1.36,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","491","75","0","2008","A","","Murray County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.92,0.90,1.24,0.00,0.00,1.38,1.38,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","4911","76","0","2008","A","","Murray County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.92,0.90,1.24,0.00,0.00,1.38,1.38,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","49111","77","0","2008","A","","Murray County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.92,0.90,1.24,0.00,0.00,1.38,1.38,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","491110","78","0","2008","A","","Murray County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,27,1197591,0,0,856,44493,"",2.92,0.90,1.24,0.00,0.00,1.38,1.38,"",0,0.0,2,8.0,90317,8.2,0,0.0,0,0.0,13,1.5,641,1.5
"40099","1","71","74","0","2008","A","","Murray County, Oklahoma","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",63.01,31.48,54.20,0.00,0.00,1.71,1.72,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","712","75","0","2008","A","","Murray County, Oklahoma","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",97.47,51.65,69.04,0.00,0.00,1.33,1.33,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","7121","76","0","2008","A","","Murray County, Oklahoma","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",97.47,51.65,69.04,0.00,0.00,1.33,1.33,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","71219","77","0","2008","A","","Murray County, Oklahoma","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",106.00,71.57,106.72,0.00,0.00,1.49,1.49,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","712190","78","0","2008","A","","Murray County, Oklahoma","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,51,2277716,0,0,856,44516,"",106.00,71.57,106.72,0.00,0.00,1.49,1.49,"",0,0.0,2,4.1,13992,0.6,0,0.0,0,0.0,-29,-3.3,-1526,-3.3
"40099","1","92","74","0","2008","A","","Murray County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,68709,0,0,1321,68709,"",1.07,0.02,0.03,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,1386,2.1,0,0.0,0,0.0,26,2.0,1386,2.1
