"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45045","0","10","70","0","2008","A","","Greenville County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",12834,241370,9383363410,1751003268,37320453,748,38875,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",396,3.2,3374,1.4,394887009,4.4,-21614715,-1.2,-1532303,-3.9,22,3.0,1108,2.9
"45045","1","10","71","0","2008","A","","Greenville County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,1815,108684642,0,0,1151,59870,"",0.59,0.37,0.39,0.00,0.00,1.06,1.06,"",-2,-3.6,25,1.4,2205716,2.1,0,0.0,0,0.0,7,0.6,390,0.7
"45045","1","102","72","0","2008","A","","Greenville County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,1815,108684642,0,0,1151,59870,"",0.60,0.37,0.40,0.00,0.00,1.06,1.06,"",-2,-3.6,25,1.4,2205716,2.1,0,0.0,0,0.0,7,0.6,390,0.7
"45045","1","1021","73","0","2008","A","","Greenville County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1123,61063849,0,0,1045,54360,"",0.43,0.76,0.92,0.00,0.00,1.22,1.22,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","1024","73","0","2008","A","","Greenville County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,26,2325237,0,0,1754,91186,"",0.45,0.22,0.30,0.00,0.00,1.40,1.40,"",0,0.0,2,8.3,264764,12.8,0,0.0,0,0.0,109,6.6,5630,6.6
"45045","1","1028","73","0","2008","A","","Greenville County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",34,667,45295556,0,0,1307,67960,"",0.87,0.26,0.27,0.00,0.00,1.05,1.05,"",-2,-5.6,9,1.4,2603712,6.1,0,0.0,0,0.0,59,4.7,3071,4.7
"45045","1","48-49","74","0","2008","A","","Greenville County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",19,1123,61063849,0,0,1045,54360,"",0.44,0.82,0.98,0.00,0.00,1.19,1.19,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","488","75","0","2008","A","","Greenville County, South Carolina","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.16,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45045","1","4881","76","0","2008","A","","Greenville County, South Carolina","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.16,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45045","1","48811","77","0","2008","A","","Greenville County, South Carolina","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.16,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45045","1","488111","78","0","2008","A","","Greenville County, South Carolina","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.20,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45045","1","491","75","0","2008","A","","Greenville County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,1123,61063849,0,0,1045,54360,"",0.42,0.84,1.01,0.00,0.00,1.20,1.21,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","4911","76","0","2008","A","","Greenville County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,1123,61063849,0,0,1045,54360,"",0.42,0.84,1.01,0.00,0.00,1.20,1.21,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","49111","77","0","2008","A","","Greenville County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,1123,61063849,0,0,1045,54360,"",0.42,0.84,1.01,0.00,0.00,1.20,1.21,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","491110","78","0","2008","A","","Greenville County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,1123,61063849,0,0,1045,54360,"",0.42,0.84,1.01,0.00,0.00,1.20,1.21,"",0,0.0,15,1.4,-662760,-1.1,0,0.0,0,0.0,-26,-2.4,-1342,-2.4
"45045","1","54","74","0","2008","A","","Greenville County, South Carolina","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,26,2325237,0,0,1754,91186,"",0.47,0.23,0.31,0.00,0.00,1.37,1.38,"",0,0.0,2,8.3,264764,12.8,0,0.0,0,0.0,109,6.6,5630,6.6
