"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45063","0","10","70","0","2008","A","","Lexington County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5700,98210,3326484449,646014917,12362801,651,33871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",62,1.1,2333,2.4,150281102,4.7,2408668,0.4,118663,1.0,14,2.2,743,2.2
"45063","1","10","71","0","2008","A","","Lexington County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,633,35021704,0,0,1063,55290,"",0.99,0.31,0.35,0.00,0.00,1.12,1.12,"",0,0.0,48,8.2,1381623,4.1,0,0.0,0,0.0,-43,-3.9,-2247,-3.9
"45063","1","102","72","0","2008","A","","Lexington County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,633,35021704,0,0,1063,55290,"",0.99,0.32,0.36,0.00,0.00,1.12,1.12,"",0,0.0,48,8.2,1381623,4.1,0,0.0,0,0.0,-43,-3.9,-2247,-3.9
"45063","1","1021","73","0","2008","A","","Lexington County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,365,17271681,0,0,910,47298,"",0.56,0.61,0.74,0.00,0.00,1.22,1.22,"",0,0.0,14,4.0,216048,1.3,0,0.0,0,0.0,-24,-2.6,-1282,-2.6
"45063","1","1024","73","0","2008","A","","Lexington County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,2155912,0,0,1771,92067,"",1.01,0.48,0.80,0.00,0.00,1.63,1.62,"",0,0.0,0,0.0,153861,7.7,0,0.0,0,0.0,115,6.9,5957,6.9
"45063","1","1028","73","0","2008","A","","Lexington County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",28,245,15594111,0,0,1225,63693,"",1.61,0.23,0.26,0.00,0.00,1.13,1.13,"",0,0.0,35,16.7,1011714,6.9,0,0.0,0,0.0,-108,-8.1,-5637,-8.1
"45063","1","48-49","74","0","2008","A","","Lexington County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,365,17271681,0,0,910,47298,"",0.57,0.66,0.78,0.00,0.00,1.19,1.19,"",0,0.0,14,4.0,216048,1.3,0,0.0,0,0.0,-24,-2.6,-1282,-2.6
"45063","1","488","75","0","2008","A","","Lexington County, South Carolina","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.11,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45063","1","4881","76","0","2008","A","","Lexington County, South Carolina","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.11,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45063","1","48811","77","0","2008","A","","Lexington County, South Carolina","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.11,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45063","1","488111","78","0","2008","A","","Lexington County, South Carolina","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.21,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45063","1","491","75","0","2008","A","","Lexington County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,365,17271681,0,0,910,47298,"",0.52,0.67,0.81,0.00,0.00,1.21,1.20,"",0,0.0,14,4.0,216048,1.3,0,0.0,0,0.0,-24,-2.6,-1282,-2.6
